elapsed_s,PC_RESERVED_56,PC_RESERVED_57,PC_RESERVED_58,PC_RESERVED_59,PC_S_BUSY_CYCLES,PC_S_WORKING_CYCLES,PC_S_STALL_CYCLES_VFD,PC_S_STALL_CYCLES_VPC_FE
0.219891,0,0,0,0,0,0,0,0
0.221290,0,0,0,0,0,0,0,0
0.222690,0,0,0,0,0,0,0,0
0.224087,0,0,0,0,0,0,0,0
0.225495,0,0,0,0,0,0,0,0
0.226895,0,0,0,0,0,0,0,0
0.228293,0,0,0,0,0,0,0,0
0.229765,0,0,0,0,0,0,0,0
0.231163,0,0,0,0,0,0,0,0
0.232682,0,0,0,0,0,0,0,0
0.234125,0,0,0,0,0,0,0,0
0.235505,0,0,0,0,0,0,0,0
0.236879,0,0,0,0,0,0,0,0
0.238252,0,0,0,0,0,0,0,0
0.239625,0,0,0,0,0,0,0,0
0.241000,0,0,0,0,0,0,0,0
0.242374,0,0,0,0,0,0,0,0
0.243747,0,0,0,0,0,0,0,0
0.245119,0,0,0,0,0,0,0,0
0.246533,0,0,0,0,0,0,0,0
0.247941,0,0,0,0,0,0,0,0
0.249300,0,0,0,0,0,0,0,0
0.250657,0,0,0,0,0,0,0,0
0.252014,0,0,0,0,0,0,0,0
0.253374,0,0,0,0,0,0,0,0
0.254762,0,0,0,0,0,0,0,0
0.256124,0,0,0,0,0,0,0,0
0.257490,0,0,0,0,0,0,0,0
0.258850,0,0,0,0,0,0,0,0
0.260208,0,0,0,0,0,0,0,0
0.261566,0,0,0,0,0,0,0,0
0.262922,0,0,0,0,0,0,0,0
0.264310,0,0,0,0,0,0,0,0
0.265710,0,0,0,0,0,0,0,0
0.267090,0,0,0,0,0,0,0,0
0.268472,0,0,0,0,0,0,0,0
0.269756,0,0,0,0,0,0,0,0
0.271136,0,0,0,0,0,0,0,0
0.272512,0,0,0,0,0,0,0,0
0.273859,0,0,0,0,0,0,0,0
0.275292,0,0,0,0,0,0,0,0
0.276632,0,0,0,0,0,0,0,0
0.277914,0,0,0,0,0,0,0,0
0.279302,0,0,0,0,0,0,0,0
0.280587,0,0,0,0,0,0,0,0
0.281855,0,0,0,0,0,0,0,0
0.283232,0,0,0,0,0,0,0,0
0.284500,0,0,0,0,0,0,0,0
0.285856,0,0,0,0,0,0,0,0
0.287308,0,0,0,0,318,396,0,0
0.288742,0,0,0,0,0,0,0,0
0.290127,0,0,0,0,0,0,0,0
0.291504,0,0,0,0,0,0,0,0
0.292930,0,0,0,0,0,0,0,0
0.294307,0,0,0,0,0,0,0,0
0.295699,0,0,0,0,0,0,0,0
0.297099,0,0,0,0,0,0,0,0
0.298459,0,0,0,0,0,0,0,0
0.299818,0,0,0,0,0,0,0,0
0.301197,0,0,0,0,1623,2022,24,0
0.302447,0,0,0,0,0,0,0,0
0.303814,0,0,0,0,0,0,0,0
0.305182,0,0,0,0,0,0,0,0
0.306550,0,0,0,0,0,0,0,0
0.307916,0,0,0,0,0,0,0,0
0.309296,0,0,0,0,0,0,0,0
0.310669,0,0,0,0,0,0,0,0
0.312059,0,0,0,0,0,0,0,0
0.313486,0,0,0,0,0,0,0,0
0.314894,0,0,0,0,0,0,0,0
0.316296,0,0,0,0,0,0,0,0
0.317825,0,0,0,0,0,0,0,0
0.319226,0,0,0,0,0,0,0,0
0.320708,0,0,0,0,0,0,0,0
0.322119,0,0,0,0,0,0,0,0
0.323518,0,0,0,0,0,0,0,0
0.324971,0,0,0,0,0,0,0,0
0.326383,0,0,0,0,0,0,0,0
0.327834,0,0,0,0,0,0,0,0
0.329235,0,0,0,0,0,0,0,0
0.330703,0,0,0,0,0,0,0,0
0.332104,0,0,0,0,0,0,0,0
0.333515,0,0,0,0,0,0,0,0
0.334916,0,0,0,0,0,0,0,0
0.336318,0,0,0,0,0,0,0,0
0.337832,0,0,0,0,0,0,0,0
0.339233,0,0,0,0,0,0,0,0
0.340643,0,0,0,0,0,0,0,0
0.342046,0,0,0,0,0,0,0,0
0.343446,0,0,0,0,0,0,0,0
0.344902,0,0,0,0,0,0,0,0
0.346312,0,0,0,0,0,0,0,0
0.347719,0,0,0,0,0,0,0,0
0.349128,0,0,0,0,0,0,0,0
0.350536,0,0,0,0,0,0,0,0
0.351943,0,0,0,0,0,0,0,0
0.353350,0,0,0,0,0,0,0,0
0.354887,0,0,0,0,0,0,0,0
0.356472,0,0,0,0,0,0,0,0
0.358050,0,0,0,0,0,0,0,0
