group,counter,n_runs,majority_label,majority_label_count,label_consistency,ratio_mean,ratio_std,ratio_cv,corr_mean,corr_std,total_all_mean,total_all_std,total_w128_mean,total_w128_std,total_w256_mean,total_w256_std,total_w512_mean,total_w512_std,total_w1024_mean,total_w1024_std,total_w2048_mean,total_w2048_std,stable_strong_scaling,near_16x_scaling
CP,CP_AHB_STALL_SQE_GMU,2,flat_or_saturated,2,1.0,0.0,0.0,,-0.4766031238193982,5.551115123125783e-17,5597.0,3658.570485859197,5597.0,3658.570485859197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
HLSQ,HLSQ_UCHE_LATENCY_CYCLES,2,flat_or_saturated,2,1.0,0.7992733878292462,0.18753422352994722,0.23463088648462715,-0.07413798611458906,0.1353517707809642,5121.0,449.7199128346442,1348.5,350.017856687341,803.5,3.5355339059327378,979.0,113.13708498984761,945.0,189.50461735799473,1045.0,26.870057685088806,False,False
SP,SP_FS_STAGE_2X_WAVES,2,flat_or_saturated,2,1.0,1.0,0.0,0.0,0.0,0.0,5120.0,0.0,1024.0,0.0,1024.0,0.0,1024.0,0.0,1024.0,0.0,1024.0,0.0,False,False
HLSQ,HLSQ_FS_DATA_WAIT_PROGRAMMING,2,flat_or_saturated,2,1.0,1.0084745762711864,0.011984860698077044,0.011884147582967153,0.23830156190969912,0.3370093007873882,3594.0,8.48528137423857,714.0,8.48528137423857,720.0,0.0,720.0,0.0,720.0,0.0,720.0,0.0,False,False
CP,CP_ICACHE_MISSES,2,flat_or_saturated,2,1.0,0.8809168270874188,0.08753758813566438,0.09937100239654917,-0.6788774357151969,0.3374116554717007,3223.5,156.27059864222701,667.0,21.213203435596427,643.0,1.4142135623730951,663.5,28.991378028648448,661.5,27.577164466275352,588.5,77.07463914933368,False,False
UCHE,UCHE_VBIF_READ_BEATS_VFD,1,active_mixed,1,1.0,,0.0,,0.6044977194662983,0.0,2596.0,0.0,0.0,0.0,0.0,0.0,996.0,0.0,800.0,0.0,800.0,0.0,False,False
RBBM,RBBM_US_COM_BUSY,2,flat_or_saturated,2,1.0,1.052799853841235,0.4655910915129839,0.4422408398084715,0.2108052278431954,0.972142213809774,2395.0,0.0,530.0,120.20815280171308,445.0,0.0,445.0,0.0,445.0,0.0,530.0,120.20815280171308,False,False
CP,CP_SQE_SAVE_SDS_STATE,2,moderate_width_scaling,1,0.5,13.84,8.33443192758544,0.60219883869837,0.7868068268218784,0.10678149995716328,2295.0,1046.5180361560904,75.0,0.0,0.0,0.0,0.0,0.0,1182.0,421.4356415871823,1038.0,625.0823945689081,False,False
HLSQ,HLSQ_FS_STALL_CYCLES,2,flat_or_saturated,2,1.0,0.9423607876109211,0.6180967936987245,0.6559024970316595,0.2627467977151841,0.9485904085920126,2129.5,501.3387078612622,580.0,380.42344827836257,387.0,59.39696961966999,345.0,0.0,388.5,61.518289963229634,429.0,0.0,False,False
RBBM,RBBM_US_VSC_BUSY,2,flat_or_saturated,2,1.0,0.9296776232616941,0.1025796499888197,0.11033894698780401,-0.26067145327747504,0.6276401969581242,2107.5,41.71930009000631,453.5,2.1213203435596424,421.5,44.54772721475249,421.5,44.54772721475249,389.5,0.7071067811865476,421.5,44.54772721475249,False,False
