run,group,chunk,csv_path,n_rows,n_counters,n_regions_detected,expected_regions,region_ok
sweep_20260625_174559,UCHE,4,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/09_UCHE/UCHE_chunk004.csv,2391,24,0,5,False
sweep_20260625_174559,UCHE,5,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/09_UCHE/UCHE_chunk005.csv,2384,24,0,5,False
sweep_20260625_174559,UCHE,6,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/09_UCHE/UCHE_chunk006.csv,2387,24,0,5,False
sweep_20260625_174559,UCHE,7,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/09_UCHE/UCHE_chunk007.csv,2404,24,0,5,False
sweep_20260625_174559,UCHE,8,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/09_UCHE/UCHE_chunk008.csv,2399,24,0,5,False
sweep_20260625_174559,UCHE,9,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/09_UCHE/UCHE_chunk009.csv,2504,11,0,5,False
sweep_20260625_174559,TP,1,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/10_TP/TP_chunk001.csv,2494,12,0,5,False
sweep_20260625_174559,TP,2,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/10_TP/TP_chunk002.csv,2479,12,0,5,False
sweep_20260625_174559,TP,3,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/10_TP/TP_chunk003.csv,2483,12,0,5,False
sweep_20260625_174559,TP,4,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/10_TP/TP_chunk004.csv,2483,12,5,5,True
sweep_20260625_174559,TP,5,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/10_TP/TP_chunk005.csv,2497,12,0,5,False
sweep_20260625_174559,TP,6,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/10_TP/TP_chunk006.csv,2485,12,5,5,True
sweep_20260625_174559,TP,7,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/10_TP/TP_chunk007.csv,2483,12,0,5,False
sweep_20260625_174559,TP,8,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/10_TP/TP_chunk008.csv,2492,12,0,5,False
sweep_20260625_174559,TP,9,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/10_TP/TP_chunk009.csv,2479,12,0,5,False
sweep_20260625_174559,TP,10,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/10_TP/TP_chunk010.csv,2483,12,0,5,False
sweep_20260625_174559,TP,11,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/10_TP/TP_chunk011.csv,2496,12,0,5,False
sweep_20260625_174559,TP,12,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/10_TP/TP_chunk012.csv,2498,11,0,5,False
sweep_20260625_174559,SP,1,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/11_SP/SP_chunk001.csv,2400,24,5,5,True
sweep_20260625_174559,SP,2,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/11_SP/SP_chunk002.csv,2385,24,5,5,True
sweep_20260625_174559,SP,3,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/11_SP/SP_chunk003.csv,2394,24,5,5,True
sweep_20260625_174559,SP,4,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/11_SP/SP_chunk004.csv,2394,24,5,5,True
sweep_20260625_174559,SP,5,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/11_SP/SP_chunk005.csv,2386,24,5,5,True
sweep_20260625_174559,SP,6,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/11_SP/SP_chunk006.csv,2386,24,5,5,True
sweep_20260625_174559,SP,7,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/11_SP/SP_chunk007.csv,2385,24,5,5,True
sweep_20260625_174559,SP,8,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/11_SP/SP_chunk008.csv,2389,24,5,5,True
sweep_20260625_174559,SP,9,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/11_SP/SP_chunk009.csv,2471,13,5,5,True
