elapsed_s,HLSQ_BV_INS_BUF_FULL_BLOCK_CPI,HLSQ_VS_DES_BUF_FULL_BLOCK_CPI,HLSQ_FS_DES_BUF_FULL_BLOCK_CPI,HLSQ_BV_DES_BUF_FULL_BLOCK_CPI,HLSQ_PRIMITIVE_COUNT,HLSQ_LPAC2BV_SWITCH_CNT
0.847412,0,0,0,0,0,0
0.848970,0,0,0,0,0,0
0.850529,0,0,0,0,0,0
0.852088,0,0,0,0,0,0
0.853648,0,0,0,0,0,0
0.855207,0,0,0,0,0,0
0.856765,0,0,0,0,0,0
0.858380,0,0,0,0,0,0
0.859938,0,0,0,0,0,0
0.861495,0,0,0,0,0,0
0.863058,0,0,0,0,0,0
0.864615,0,0,0,0,0,0
0.866176,0,0,0,0,0,0
0.867735,0,0,0,0,0,0
0.869306,0,0,0,0,0,0
0.870869,0,0,0,0,0,0
0.872427,0,0,0,0,0,0
0.874030,0,0,0,0,0,0
0.875591,0,0,0,0,0,0
0.877147,0,0,0,0,0,0
0.878708,0,0,0,0,0,0
0.880280,0,0,0,0,0,0
0.881841,0,0,0,0,0,0
0.883400,0,0,0,0,0,0
0.884957,0,0,0,0,0,0
0.886516,0,0,0,0,0,0
0.888076,0,0,0,0,0,0
0.889637,0,0,0,0,0,0
0.891287,0,0,0,0,0,0
0.892845,0,0,0,0,0,0
0.894404,0,0,0,0,0,0
0.895963,0,0,0,0,0,0
0.897520,0,0,0,0,0,0
0.898943,0,0,0,0,0,0
0.900345,0,0,0,0,0,0
0.901881,0,0,0,0,0,0
0.903439,0,0,0,0,0,0
0.904994,0,0,0,0,0,0
0.906517,0,0,0,0,0,0
0.907929,0,0,0,0,0,0
0.909455,0,0,0,0,0,0
0.911021,0,0,0,0,0,0
0.912593,0,0,0,0,0,0
0.914156,0,0,0,0,0,0
0.915718,0,0,0,0,0,0
0.917278,0,0,0,0,0,0
0.918838,0,0,0,0,0,0
0.920388,0,0,0,0,0,0
0.921823,0,0,0,0,0,0
0.923289,0,0,0,0,0,0
0.924818,0,0,0,0,0,0
0.926379,0,0,0,0,0,0
0.927812,0,0,0,0,0,0
0.929342,0,0,0,0,0,0
0.930908,0,0,0,0,0,0
0.932468,0,0,0,0,0,0
0.933927,0,0,0,0,0,0
0.935461,0,0,0,0,0,0
0.937020,0,0,0,0,0,0
0.938627,0,0,0,0,0,0
0.940188,0,0,0,0,0,0
0.941752,0,0,0,0,0,0
0.943315,0,0,0,0,0,0
0.944889,0,0,0,0,0,0
0.946450,0,0,0,0,0,0
0.948012,0,0,0,0,0,0
0.949655,0,0,0,0,0,0
0.951155,0,0,0,0,0,0
0.952559,0,0,0,0,0,0
0.954132,0,0,0,0,0,0
0.955708,0,0,0,0,0,0
0.957270,0,0,0,0,0,0
0.958836,0,0,0,0,0,0
0.960395,0,0,0,0,0,0
0.961960,0,0,0,0,0,0
0.963523,0,0,0,0,0,0
0.965083,0,0,0,0,0,0
0.966658,0,0,0,0,0,0
0.968220,0,0,0,0,0,0
0.969784,0,0,0,0,0,0
0.971393,0,0,0,0,0,0
0.972953,0,0,0,0,0,0
0.974514,0,0,0,0,0,0
0.976076,0,0,0,0,0,0
0.977654,0,0,0,0,0,0
0.979217,0,0,0,0,0,0
0.980778,0,0,0,0,0,0
0.982341,0,0,0,0,0,0
0.983895,0,0,0,0,0,0
0.985447,0,0,0,0,0,0
0.987086,0,0,0,0,0,0
0.988611,0,0,0,0,0,0
0.990014,0,0,0,0,0,0
0.991420,0,0,0,0,0,0
