elapsed_s,HLSQ_BV_SP_HCTX_ACTIVE_CNT,HLSQ_VS_SP_HCTX_ACTIVE_CYC,HLSQ_FS_SP_HCTX_ACTIVE_CYC,HLSQ_BV_SP_HCTX_ACTIVE_CYC,HLSQ_VS_SP_CCTX_ACTIVE_CNT,HLSQ_FS_SP_CCTX_ACTIVE_CNT
0.295193,0,0,0,0,0,0
0.296752,0,0,0,0,0,0
0.298312,0,0,0,0,0,0
0.299919,0,0,0,0,0,0
0.301480,0,0,0,0,0,0
0.303054,0,0,0,0,0,0
0.304619,0,0,0,0,0,0
0.306179,0,0,0,0,0,0
0.307742,0,0,0,0,0,0
0.309303,0,0,0,0,0,0
0.310861,0,0,0,0,0,0
0.312426,0,0,0,0,0,0
0.313999,0,0,0,0,0,0
0.315606,0,0,0,0,0,0
0.317168,0,0,0,0,0,0
0.318728,0,0,0,0,0,0
0.320288,0,0,0,0,0,0
0.321849,0,0,0,0,0,0
0.323411,0,0,0,0,0,0
0.324986,0,0,0,0,0,0
0.326546,0,0,0,0,0,0
0.328108,0,0,0,0,0,0
0.329660,0,0,0,0,0,0
0.331316,0,0,0,0,0,0
0.332775,0,0,0,0,0,0
0.334177,0,0,0,0,0,0
0.335714,0,0,0,0,0,0
0.337273,0,0,0,0,0,0
0.338830,0,0,0,0,0,0
0.340442,0,0,0,0,0,0
0.341999,0,0,0,0,0,0
0.343561,0,0,0,0,0,0
0.345120,0,0,0,0,0,0
0.346690,0,0,0,0,0,0
0.348293,0,0,0,0,0,0
0.349854,0,0,0,0,0,0
0.351414,0,0,0,0,0,0
0.352973,0,0,0,0,0,0
0.354531,0,0,0,0,0,0
0.356090,0,0,0,0,0,0
0.357663,0,0,0,0,0,0
0.359223,0,0,0,0,0,0
0.360782,0,0,0,0,0,0
0.362340,0,0,0,0,0,0
0.363945,0,0,0,0,0,0
0.365505,0,0,0,0,0,0
0.367062,0,0,0,0,0,0
0.368640,0,0,0,0,0,0
0.370197,0,0,0,0,0,0
0.371758,0,0,0,0,0,0
0.373318,0,0,0,0,0,0
0.374876,0,0,0,0,0,0
0.376439,0,0,0,0,0,0
0.377996,0,0,0,0,0,0
0.379615,0,0,0,0,0,0
0.381175,0,0,0,0,0,0
0.382734,0,0,0,0,0,0
0.384294,0,0,0,0,0,0
0.385854,0,0,0,0,0,0
0.387414,0,0,0,0,0,0
0.388970,0,0,0,0,0,0
0.390539,0,0,0,0,0,0
0.392097,0,0,0,0,0,0
0.393655,0,0,0,0,0,0
0.395215,0,0,0,0,0,0
0.396775,0,0,0,0,0,0
0.398332,0,0,0,0,0,0
0.399892,0,0,0,0,0,0
0.401464,0,0,0,0,0,0
0.403049,0,0,0,0,0,0
0.404590,0,0,0,0,0,0
0.406150,0,0,0,0,0,0
0.407713,0,0,0,0,0,0
0.409274,0,0,0,0,0,0
0.410833,0,0,0,0,0,0
0.412358,0,0,0,0,0,0
0.413889,0,0,0,0,0,0
0.415452,0,0,0,0,0,0
0.417014,0,0,0,0,0,0
0.418573,0,0,0,0,0,0
0.420134,0,0,0,0,0,0
0.421697,0,0,0,0,0,0
0.423273,0,0,0,0,0,0
0.424834,0,0,0,0,0,0
0.426393,0,0,0,0,0,0
0.428000,0,0,0,0,0,0
0.429563,0,0,0,0,0,0
0.431122,0,0,0,0,0,0
0.432693,0,0,0,0,0,0
0.434259,0,0,0,0,0,0
0.435691,0,0,0,0,0,0
0.437219,0,0,0,0,0,0
0.438777,0,0,0,0,0,0
0.440334,0,0,0,0,0,0
0.441893,0,0,0,0,0,0
0.443454,0,0,0,0,0,0
0.445072,0,0,0,0,0,0
0.446629,0,0,0,0,0,0
0.448189,0,0,0,0,0,0
0.449748,0,0,0,0,0,0
0.451309,0,0,0,0,0,0
0.452868,0,0,0,0,0,0
0.454425,0,0,0,0,0,0
0.455996,0,0,0,0,0,0
0.457556,0,0,0,0,0,0
0.459113,0,0,0,0,0,0
0.460603,0,0,0,0,0,0
