elapsed_s,HLSQ_BV_STALL_CYCLES,HLSQ_VSBR_DEREF_CYCLES,HLSQ_FS_DEREF_CYCLES,HLSQ_LPAC_DEREF_CYCLES,HLSQ_BV_DEREF_CYCLES,HLSQ_VSBR_S2W_CYCLES
0.333658,0,0,0,0,0,0
0.335232,0,0,0,0,0,0
0.336794,0,0,0,0,0,0
0.338354,0,0,0,0,0,0
0.339967,0,0,0,0,0,0
0.341527,0,0,0,0,0,0
0.343089,0,0,0,0,0,0
0.344650,0,0,0,0,0,0
0.346221,0,0,0,0,0,0
0.347789,0,0,0,0,0,0
0.349347,0,0,0,0,0,0
0.350909,0,0,0,0,0,0
0.352348,0,0,0,0,0,0
0.353883,0,0,0,0,0,0
0.355446,0,0,0,0,0,0
0.357022,0,0,0,0,0,0
0.358585,0,0,0,0,0,0
0.360147,0,0,0,0,0,0
0.361708,0,0,0,0,0,0
0.363313,0,0,0,0,0,0
0.364877,0,0,0,0,0,0
0.366441,0,0,0,0,0,0
0.368007,0,0,0,0,0,0
0.369560,0,0,0,0,0,0
0.370991,0,0,0,0,0,0
0.372523,0,0,0,0,0,0
0.374084,0,0,0,0,0,0
0.375650,0,0,0,0,0,0
0.377212,0,0,0,0,0,0
0.378832,0,0,0,0,0,0
0.380395,0,0,0,0,0,0
0.381957,0,0,0,0,0,0
0.383519,0,0,0,0,0,0
0.385083,0,0,0,0,0,0
0.386646,0,0,0,0,0,0
0.388208,0,0,0,0,0,0
0.389781,0,0,0,0,0,0
0.391345,0,0,0,0,0,0
0.392908,0,0,0,0,0,0
0.394472,0,0,0,0,0,0
0.396078,0,0,0,0,0,0
0.397638,0,0,0,0,0,0
0.399203,0,0,0,0,0,0
0.400780,0,0,0,0,0,0
0.402341,0,0,0,0,0,0
0.403925,0,0,0,0,0,0
0.405486,0,0,0,0,0,0
0.407049,0,0,0,0,0,0
0.408612,0,0,0,0,0,0
0.410173,0,0,0,0,0,0
0.411753,0,0,0,0,0,0
0.413314,0,0,0,0,0,0
0.414877,0,0,0,0,0,0
0.416440,0,0,0,0,0,0
