elapsed_s,TP_QUADS_CONSTANT_MULTIPLIED,TP_FRONTEND_WORKING_CYCLES,TP_L1_TAG_WORKING_CYCLES,TP_L1_DATA_WRITE_WORKING_CYCLES,TP_PRE_L1_DECOM_WORKING_CYCLES,TP_BACKEND_WORKING_CYCLES,TP_L1_5_CACHE_WORKING_CYCLES,TP_STARVE_CYCLES_SP,TP_STARVE_CYCLES_UCHE,TP_STALL_CYCLES_UFC,TP_FORMAT_DECOMP_POINT,TP_FILTER_POINT_FP16
0.377682,0,0,0,0,0,0,0,0,0,0,0,0
0.379276,0,0,0,0,0,0,0,0,0,0,0,0
0.380873,0,0,0,0,0,0,0,0,0,0,0,0
0.382458,0,0,0,0,0,0,0,0,0,0,0,0
0.384043,0,0,0,0,0,0,0,0,0,0,0,0
0.385504,0,0,0,0,0,0,0,0,0,0,0,0
0.387023,0,0,0,0,0,0,0,0,0,0,0,0
0.388693,0,0,0,0,0,0,0,0,0,0,0,0
0.390286,0,0,0,0,0,0,0,0,0,0,0,0
0.391880,0,0,0,0,0,0,0,0,0,0,0,0
0.393475,0,0,0,0,0,0,0,0,0,0,0,0
0.395071,0,0,0,0,0,0,0,0,0,0,0,0
0.396665,0,0,0,0,0,0,0,0,0,0,0,0
0.398260,0,0,0,0,0,0,0,0,0,0,0,0
0.399748,0,0,0,0,0,0,0,0,0,0,0,0
0.401381,0,0,0,0,0,0,0,0,0,0,0,0
0.402976,0,0,0,0,0,0,0,0,0,0,0,0
0.404569,0,0,0,0,0,0,0,0,0,0,0,0
0.406208,0,0,0,0,0,0,0,0,0,0,0,0
0.407801,0,0,0,0,0,0,0,0,0,0,0,0
0.409398,0,0,0,0,0,0,0,0,0,0,0,0
0.411005,0,0,0,0,0,0,0,0,0,0,0,0
0.412598,0,0,0,0,0,0,0,0,0,0,0,0
0.414246,0,0,0,0,0,0,0,0,0,0,0,0
0.415840,0,0,0,0,0,0,0,0,0,0,0,0
0.417480,0,0,0,0,0,0,0,0,0,0,0,0
0.419076,0,0,0,0,0,0,0,0,0,0,0,0
0.420672,0,0,0,0,0,0,0,0,0,0,0,0
0.422281,0,0,0,0,0,0,0,0,0,0,0,0
0.423749,0,0,0,0,0,0,0,0,0,0,0,0
0.425534,0,0,0,0,0,0,0,0,0,0,0,0
0.427043,0,0,0,0,0,0,0,0,0,0,0,0
0.428489,0,0,0,0,0,0,0,0,0,0,0,0
0.429928,0,0,0,0,0,0,0,0,0,0,0,0
0.431359,0,0,0,0,0,0,0,0,0,0,0,0
0.432803,0,0,0,0,0,0,0,0,0,0,0,0
0.434277,0,0,0,0,0,0,0,0,0,0,0,0
0.435903,0,0,0,0,0,0,0,0,0,0,0,0
0.437499,0,0,0,0,0,0,0,0,0,0,0,0
0.439094,0,0,0,0,0,0,0,0,0,0,0,0
0.440691,0,0,0,0,0,0,0,0,0,0,0,0
0.442285,0,0,0,0,0,0,0,0,0,0,0,0
0.443893,0,0,0,0,0,0,0,0,0,0,0,0
0.445488,0,0,0,0,0,0,0,0,0,0,0,0
0.447074,0,0,0,0,0,0,0,0,0,0,0,0
0.448770,0,0,0,0,0,0,0,0,0,0,0,0
0.450405,0,0,0,0,0,0,0,0,0,0,0,0
0.451998,0,0,0,0,0,0,0,0,0,0,0,0
0.453593,0,0,0,0,0,0,0,0,0,0,0,0
0.455201,0,0,0,0,0,0,0,0,0,0,0,0
0.460681,0,0,0,0,0,0,0,0,0,0,0,0
0.462140,0,0,0,0,0,0,0,0,0,0,0,0
0.463579,0,0,0,0,0,0,0,0,0,0,0,0
0.465148,0,0,0,0,0,0,0,0,0,0,0,0
0.466602,0,0,0,0,0,0,0,0,0,0,0,0
0.467991,0,0,0,0,0,0,0,0,0,0,0,0
0.469376,0,0,0,0,0,0,0,0,0,0,0,0
0.470759,0,0,0,0,0,0,0,0,0,0,0,0
0.472142,0,0,0,0,0,0,0,0,0,0,0,0
