elapsed_s,RB_EARLY_Z_ARB3_GRANT,RB_LATE_Z_ARB3_GRANT,RB_EARLY_Z_SKIP_GRANT,RB_VRS_1X1_QUADS,RB_VRS_2X1_QUADS,RB_VRS_1X2_QUADS,RB_VRS_2X2_QUADS,RB_VRS_2X4_QUADS
0.707413,0,0,0,0,0,0,0,0
0.709041,0,0,0,0,0,0,0,0
0.710617,0,0,0,0,0,0,0,0
0.712239,0,0,0,0,0,0,0,0
0.713816,0,0,0,0,0,0,0,0
0.715390,0,0,0,0,0,0,0,0
0.716967,0,0,0,0,0,0,0,0
0.718558,0,0,0,0,0,0,0,0
0.720135,0,0,0,0,0,0,0,0
0.721712,0,0,0,0,0,0,0,0
0.723287,0,0,0,0,0,0,0,0
0.724863,0,0,0,0,0,0,0,0
0.726440,0,0,0,0,0,0,0,0
0.728017,0,0,0,0,0,0,0,0
0.729525,0,0,0,0,0,0,0,0
0.731071,0,0,0,0,0,0,0,0
0.732647,0,0,0,0,0,0,0,0
0.734225,0,0,0,0,0,0,0,0
0.735867,0,0,0,0,0,0,0,0
0.737507,0,0,0,0,0,0,0,0
0.739081,0,0,0,0,0,0,0,0
0.740671,0,0,0,0,0,0,0,0
0.742248,0,0,0,0,0,0,0,0
0.743827,0,0,0,0,0,0,0,0
0.745404,0,0,0,0,0,0,0,0
0.746980,0,0,0,0,0,0,0,0
0.748558,0,0,0,0,0,0,0,0
0.750159,0,0,0,0,0,0,0,0
0.751735,0,0,0,0,0,0,0,0
0.753135,0,0,0,0,0,0,0,0
0.754550,0,0,0,0,0,0,0,0
0.756092,0,0,0,0,0,0,0,0
0.757668,0,0,0,0,0,0,0,0
0.759241,0,0,0,0,0,0,0,0
0.760857,0,0,0,0,0,0,0,0
0.762446,0,0,0,0,0,0,0,0
0.764742,0,0,0,0,0,0,0,0
0.766311,0,0,0,0,0,0,0,0
0.767984,0,0,0,0,0,0,0,0
0.769547,0,0,0,0,0,0,0,0
0.771112,0,0,0,0,0,0,0,0
0.772567,0,0,0,0,0,0,0,0
0.774109,0,0,0,0,0,0,0,0
0.775683,0,0,0,0,0,0,0,0
0.777262,0,0,0,0,0,0,0,0
0.778834,0,0,0,0,0,0,0,0
0.780410,0,0,0,0,0,0,0,0
0.781984,0,0,0,0,0,0,0,0
0.783570,0,0,0,0,0,0,0,0
0.785147,0,0,0,0,0,0,0,0
0.786720,0,0,0,0,0,0,0,0
0.788295,0,0,0,0,0,0,0,0
0.789867,0,0,0,0,0,0,0,0
0.791314,0,0,0,0,0,0,0,0
0.792905,0,0,0,0,0,0,0,0
0.794493,0,0,0,0,0,0,0,0
0.796069,0,0,0,0,0,0,0,0
0.797642,0,0,0,0,0,0,0,0
0.799215,0,0,0,0,0,0,0,0
0.800788,0,0,0,0,0,0,0,0
0.802363,0,0,0,0,0,0,0,0
0.803938,0,0,0,0,0,0,0,0
0.805525,0,0,0,0,0,0,0,0
0.807096,0,0,0,0,0,0,0,0
0.808714,0,0,0,0,0,0,0,0
0.810288,0,0,0,0,0,0,0,0
0.811862,0,0,0,0,0,0,0,0
0.813436,0,0,0,0,0,0,0,0
0.815008,0,0,0,0,0,0,0,0
0.816478,0,0,0,0,0,0,0,0
0.818042,0,0,0,0,0,0,0,0
0.819614,0,0,0,0,0,0,0,0
0.821076,0,0,0,0,0,0,0,0
0.822488,0,0,0,0,0,0,0,0
0.824028,0,0,0,0,0,0,0,0
0.825647,0,0,0,0,0,0,0,0
0.827233,0,0,0,0,0,0,0,0
0.828808,0,0,0,0,0,0,0,0
0.830382,0,0,0,0,0,0,0,0
0.831958,0,0,0,0,0,0,0,0
0.833532,0,0,0,0,0,0,0,0
