elapsed_s,TSE_MVC_STALL_VPC,TSE_VPC_STARVE_TSE,TSE_WORKING_CYCLE_L0
1.214125,0,0,0
1.215651,0,0,0
1.217379,0,0,0
1.219158,0,0,0
1.220755,0,0,0
1.222488,0,0,0
1.224265,0,0,0
1.226040,0,0,0
1.227879,0,0,0
1.229448,0,0,0
1.230994,0,0,0
1.232723,0,0,0
1.234486,0,0,0
1.236320,0,0,0
1.238410,0,0,0
1.240021,0,0,0
1.241557,0,0,0
1.243270,0,0,0
1.244858,0,0,0
1.246595,0,0,0
1.248368,0,0,0
1.250150,0,0,0
1.251820,0,0,0
1.253554,0,0,0
1.255189,0,0,0
1.256993,0,0,0
1.258769,0,0,0
1.260623,0,0,0
1.262421,0,0,0
1.264192,0,0,0
1.265971,0,0,0
1.267819,0,0,0
1.269594,0,0,0
1.271368,0,0,0
1.272969,0,0,0
1.274701,0,0,0
1.276714,0,0,0
1.279120,0,0,0
1.280781,0,0,0
1.282310,0,0,0
1.283915,0,0,0
1.285439,0,0,0
1.286957,0,0,0
1.288623,0,0,0
1.290120,0,0,0
1.291895,0,0,0
1.293425,0,0,0
1.294956,0,0,0
1.296468,0,0,0
1.298043,0,0,0
1.299842,0,0,0
1.301368,0,0,0
1.302889,0,0,0
1.304409,0,0,0
1.305946,0,0,0
1.307671,0,0,0
1.309458,0,0,0
1.311036,0,0,0
1.312772,0,0,0
1.314548,0,0,0
1.316223,0,0,0
1.317961,0,0,0
1.319736,0,0,0
1.321515,0,0,0
1.323292,0,0,0
1.325072,0,0,0
1.326869,0,0,0
1.328649,0,0,0
1.330428,0,0,0
1.332280,0,0,0
1.334062,0,0,0
1.335838,0,0,0
1.337430,0,0,0
1.339165,0,0,0
1.340950,0,0,0
1.342729,0,0,0
1.344506,0,0,0
1.346427,0,0,0
1.348298,0,0,0
1.350081,0,0,0
1.351856,0,0,0
1.353634,0,0,0
1.355398,0,0,0
1.357044,0,0,0
1.358850,0,0,0
1.360688,0,0,0
1.362499,0,0,0
1.364147,0,0,0
1.366018,0,0,0
1.367852,0,0,0
1.369645,0,0,0
1.371420,0,0,0
1.373279,0,0,0
1.375054,0,0,0
1.376831,0,0,0
1.378412,0,0,0
1.380046,0,0,0
1.381780,0,0,0
1.383556,0,0,0
1.385337,0,0,0
1.387115,0,0,0
1.388895,0,0,0
1.390694,0,0,0
1.392470,0,0,0
1.394244,0,0,0
1.395849,0,0,0
1.397581,0,0,0
1.399358,0,0,0
1.400959,0,0,0
1.402696,0,0,0
1.404705,0,0,0
1.406496,0,0,0
1.408270,0,0,0
1.410053,0,0,0
1.411923,0,0,0
1.413703,0,0,0
1.415465,0,0,0
1.417033,0,0,0
1.419177,0,0,0
1.421017,0,0,0
1.422708,0,0,0
1.424438,0,0,0
1.426218,0,0,0
1.427880,0,0,0
1.429793,0,0,0
1.431523,0,0,0
1.433214,0,0,0
1.434947,0,0,0
1.436725,0,0,0
1.438500,0,0,0
1.440268,0,0,0
1.442049,0,0,0
1.443644,0,0,0
1.445204,0,0,0
1.447120,0,0,0
1.448840,0,0,0
1.450354,0,0,0
1.451929,0,0,0
1.453444,0,0,0
1.454983,0,0,0
1.456714,0,0,0
1.458493,0,0,0
1.460347,0,0,0
1.462133,0,0,0
1.463907,0,0,0
1.465501,0,0,0
1.467235,0,0,0
1.468808,0,0,0
1.470333,0,0,0
1.471849,0,0,0
1.473362,0,0,0
1.474868,0,0,0
1.476386,0,0,0
1.477868,0,0,0
1.479425,0,0,0
1.480896,0,0,0
1.482375,0,0,0
1.483930,0,0,0
1.485448,0,0,0
1.486979,0,0,0
1.488704,0,0,0
1.490477,0,0,0
1.492149,0,0,0
1.494038,0,0,0
1.495816,0,0,0
1.497610,0,0,0
1.499388,0,0,0
1.501246,0,0,0
1.503023,0,0,0
1.504803,0,0,0
1.506580,0,0,0
1.508252,0,0,0
1.509994,0,0,0
1.511765,0,0,0
1.513530,0,0,0
1.515227,0,0,0
1.516952,0,0,0
1.518749,0,0,0
1.520523,0,0,0
1.522201,0,0,0
1.523806,0,0,0
1.525532,0,0,0
1.527303,0,0,0
1.528903,0,0,0
1.530639,0,0,0
1.532490,0,0,0
1.534069,0,0,0
1.535784,0,0,0
1.537489,0,0,0
1.539118,0,0,0
1.540958,0,0,0
1.542746,0,0,0
1.544785,0,0,0
1.546407,0,0,0
1.548001,0,0,0
