elapsed_s,VFD_ATTR_INFO_FIFO_FULL,VFD_DECODED_ATTRIBUTE_BYTES,VFD_NUM_ATTRIBUTES,VFD_UPPER_SHADER_FIBERS,VFD_LOWER_SHADER_FIBERS,VFD_MODE_0_FIBERS,VFD_MODE_1_FIBERS,VFD_MODE_2_FIBERS
0.729956,0,0,0,0,0,0,0,0
0.731699,0,0,0,0,0,0,0,0
0.733038,0,0,0,0,0,0,0,0
0.734397,0,0,0,0,0,0,0,0
0.735775,0,0,0,0,0,0,0,0
0.737110,0,0,0,0,0,0,0,0
0.738573,0,0,0,0,0,0,0,0
0.740014,0,0,0,0,0,0,0,0
0.741476,0,0,0,0,0,0,0,0
0.742963,0,0,0,0,0,0,0,0
0.744673,0,0,0,0,0,0,0,0
0.746005,0,0,0,0,0,0,0,0
0.747336,0,0,0,0,0,0,0,0
0.748667,0,0,0,0,0,0,0,0
0.750021,0,0,0,0,0,0,0,0
0.758666,0,0,0,0,0,0,0,0
0.760043,0,0,0,0,0,0,0,0
0.761377,0,0,0,0,0,0,0,0
0.762726,0,0,0,0,0,0,0,0
0.764059,0,0,0,0,0,0,0,0
0.765388,0,0,0,0,0,0,0,0
0.766752,0,0,0,0,0,0,0,0
0.768086,0,0,0,0,0,0,0,0
0.769419,0,0,0,0,0,0,0,0
0.770758,0,0,0,0,0,0,0,0
0.772198,0,0,0,0,0,0,0,0
0.773716,0,0,0,0,0,0,0,0
0.775159,0,0,0,0,0,0,0,0
0.776589,0,0,0,0,0,0,0,0
0.777950,0,0,0,0,0,0,0,0
0.779419,0,0,0,0,0,0,0,0
0.780866,0,0,0,0,0,0,0,0
