elapsed_s,TSE_VP0_TRANSFORM_WORKING_CYCLE_L2,TSE_VP1_TRANSFORM_WORKING_CYCLE_L2,TSE_VP2_TRANSFORM_WORKING_CYCLE_L2,TSE_VERTEX_GEN_WORKING_CYCLE_L1
0.333008,0,0,0,0
0.334444,0,0,0,0
0.335967,0,0,0,0
0.337516,0,0,0,0
0.339073,0,0,0,0
0.340622,0,0,0,0
0.342219,0,0,0,0
0.343771,0,0,0,0
0.345334,0,0,0,0
0.346822,0,0,0,0
0.348342,0,0,0,0
0.349895,0,0,0,0
0.351447,0,0,0,0
0.352998,0,0,0,0
0.354550,0,0,0,0
0.356116,0,0,0,0
0.357716,0,0,0,0
0.359268,0,0,0,0
0.360818,0,0,0,0
0.362370,0,0,0,0
0.363922,0,0,0,0
0.365472,0,0,0,0
0.367041,0,0,0,0
0.368591,0,0,0,0
0.370145,0,0,0,0
0.371697,0,0,0,0
0.373246,0,0,0,0
0.374840,0,0,0,0
0.376391,0,0,0,0
0.377958,0,0,0,0
0.379510,0,0,0,0
0.381062,0,0,0,0
0.382614,0,0,0,0
0.384166,0,0,0,0
0.385720,0,0,0,0
0.387272,0,0,0,0
0.388835,0,0,0,0
0.390431,0,0,0,0
0.391984,0,0,0,0
0.393534,0,0,0,0
0.395091,0,0,0,0
0.396641,0,0,0,0
0.398194,0,0,0,0
0.399761,0,0,0,0
0.401311,0,0,0,0
0.402734,0,0,0,0
0.404254,0,0,0,0
0.405807,0,0,0,0
0.407403,0,0,0,0
0.408953,0,0,0,0
0.410518,0,0,0,0
0.412069,0,0,0,0
0.413617,0,0,0,0
0.415239,0,0,0,0
0.416789,0,0,0,0
0.418342,0,0,0,0
0.419895,0,0,0,0
0.421458,0,0,0,0
0.423015,0,0,0,0
0.424565,0,0,0,0
0.426118,0,0,0,0
0.427669,0,0,0,0
0.429219,0,0,0,0
0.430771,0,0,0,0
0.432337,0,0,0,0
0.433891,0,0,0,0
0.435442,0,0,0,0
0.436993,0,0,0,0
0.438587,0,0,0,0
0.440139,0,0,0,0
0.441693,0,0,0,0
0.443258,0,0,0,0
0.444808,0,0,0,0
0.446361,0,0,0,0
0.447913,0,0,0,0
0.449462,0,0,0,0
0.451018,0,0,0,0
0.452568,0,0,0,0
0.454992,0,0,0,0
0.456481,0,0,0,0
0.458034,0,0,0,0
0.459586,0,0,0,0
0.461136,0,0,0,0
