elapsed_s,HLSQ_BV_SP_CCTX_ACTIVE_CNT,HLSQ_VS_SP_SCTX_ACTIVE_CNT,HLSQ_FS_SP_SCTX_ACTIVE_CNT,HLSQ_BV_SP_SCTX_ACTIVE_CNT,HLSQ_VS_SP_CTX_ALIVE_CYCLE,HLSQ_FS_SP_CTX_ALIVE_CYCLE
0.991431,0,0,0,0,0,0
0.992995,0,0,0,0,0,0
0.994557,0,0,0,0,0,0
0.996130,0,0,0,0,0,0
0.997697,0,0,0,0,0,0
0.999258,0,0,0,0,0,0
1.000821,0,0,0,0,0,0
1.002384,0,0,0,0,0,0
1.003944,0,0,0,0,0,0
1.005550,0,0,0,0,0,0
1.007126,0,0,0,0,0,0
1.008691,0,0,0,0,0,0
1.010254,0,0,0,0,0,0
1.011815,0,0,0,0,0,0
1.013421,0,0,0,0,0,0
1.014983,0,0,0,0,0,0
1.016547,0,0,0,0,0,0
1.018114,0,0,0,0,0,0
1.019665,0,0,0,0,0,0
1.021135,0,0,0,0,0,0
1.022666,0,0,0,0,0,0
1.024224,0,0,0,0,0,0
1.025692,0,0,0,0,0,0
1.027093,0,0,0,0,0,0
1.028631,0,0,0,0,0,0
1.030238,0,0,0,0,0,0
1.031797,0,0,0,0,0,0
1.033357,0,0,0,0,0,0
1.034918,0,0,0,0,0,0
1.036479,0,0,0,0,0,0
1.038039,0,0,0,0,0,0
1.039488,0,0,0,0,0,0
1.041025,0,0,0,0,0,0
1.042588,0,0,0,0,0,0
1.044150,0,0,0,0,0,0
1.045718,0,0,0,0,0,0
1.047280,0,0,0,0,0,0
1.048844,0,0,0,0,0,0
1.050437,0,0,0,0,0,0
1.051879,0,0,0,0,0,0
1.053349,0,0,0,0,0,0
1.054756,0,0,0,0,0,0
1.056153,0,0,0,0,0,0
1.057628,0,0,0,0,0,0
1.059022,0,0,0,0,0,0
1.060448,0,0,0,0,0,0
1.061851,0,0,0,0,0,0
1.063252,0,0,0,0,0,0
1.064654,0,0,0,0,0,0
1.066055,0,0,0,0,0,0
1.067456,0,0,0,0,0,0
1.068892,0,0,0,0,0,0
