elapsed_s,HLSQ_STALL_CYCLES_VPC_BE,HLSQ_RESERVED_19,HLSQ_RESERVED_20,HLSQ_VSBR_STALL_CYCLES,HLSQ_FS_STALL_CYCLES,HLSQ_LPAC_STALL_CYCLES
0.931446,0,0,0,0,0,0
0.933023,0,0,0,0,0,0
0.934581,0,0,0,0,0,0
0.936140,0,0,0,0,0,0
0.937700,0,0,0,0,0,0
0.939258,0,0,0,0,0,0
0.940818,0,0,0,0,0,0
0.942378,0,0,0,0,0,0
0.943950,0,0,0,0,0,0
0.945555,0,0,0,0,0,0
0.947112,0,0,0,0,0,0
0.948673,0,0,0,0,0,0
0.950231,0,0,0,0,0,0
0.951791,0,0,0,0,0,0
0.953351,0,0,0,0,0,0
0.954923,0,0,0,0,0,0
0.956483,0,0,0,0,0,0
0.958042,0,0,0,0,0,0
0.959600,0,0,0,0,0,0
0.961164,0,0,0,0,0,0
0.962722,0,0,0,0,0,0
0.964282,0,0,0,0,0,0
0.965856,0,0,0,0,0,0
0.967414,0,0,0,0,0,0
0.969075,0,0,0,0,0,0
0.970510,0,0,0,0,0,0
0.972025,0,0,0,0,0,0
0.973557,0,0,0,0,0,0
0.975116,0,0,0,0,0,0
0.976737,0,0,0,0,0,0
0.978297,0,0,0,0,0,0
0.979858,0,0,0,0,0,0
0.981419,0,0,0,0,0,0
0.982978,0,0,0,0,0,0
0.984425,0,0,0,0,0,0
0.985978,0,0,0,0,0,0
0.987425,0,0,0,0,0,0
0.989013,0,0,0,0,0,0
0.990571,0,0,0,0,0,0
0.992178,0,0,0,0,0,0
0.993738,0,0,0,0,0,0
0.995297,0,0,0,0,0,0
0.996857,0,0,0,0,0,0
0.998438,0,0,0,0,0,0
1.000000,0,0,0,0,0,0
1.001557,0,0,0,0,0,0
1.002995,0,0,0,0,0,0
1.004533,0,0,0,0,0,0
1.006095,0,0,0,0,0,0
1.007654,0,0,0,0,0,0
1.009095,0,0,0,0,0,0
1.010500,0,0,0,0,0,0
1.012030,0,0,0,0,0,0
1.013582,0,0,0,0,0,0
1.015133,0,0,0,0,0,0
1.016570,0,0,0,0,0,0
1.018106,0,0,0,0,0,0
1.019679,0,0,0,0,0,0
1.021287,0,0,0,0,0,0
1.022838,0,0,0,0,0,0
1.024309,0,0,0,0,0,0
1.025840,0,0,0,0,0,0
1.027399,0,0,0,0,0,0
1.029013,0,0,0,0,0,0
1.030588,0,0,0,0,0,0
1.032151,0,0,0,0,0,0
1.033713,0,0,0,0,0,0
1.035273,0,0,0,0,0,0
1.036834,0,0,0,0,0,0
1.038397,0,0,0,0,0,0
1.039960,0,0,0,0,0,0
1.041454,0,0,0,0,0,0
1.042987,0,0,0,0,0,0
1.044551,0,0,0,0,0,0
1.046114,0,0,0,0,0,0
1.047675,0,0,0,0,0,0
1.049113,0,0,0,0,0,0
1.050517,0,0,0,0,0,0
1.052055,0,0,0,0,0,0
1.053616,0,0,0,0,0,0
1.055308,0,0,0,0,0,0
1.056916,0,0,0,0,0,0
1.058480,0,0,0,0,0,0
1.060044,0,0,0,0,0,0
1.061607,0,0,0,0,0,0
1.063181,0,0,0,0,0,0
1.064744,0,0,0,0,0,0
1.066306,0,0,0,0,0,0
1.067871,0,0,0,0,0,0
1.069434,0,0,0,0,0,0
1.070996,0,0,0,0,0,0
1.072604,0,0,0,0,0,0
1.074181,0,0,0,0,0,0
1.075746,0,0,0,0,0,0
1.077300,0,0,0,0,0,0
1.078853,0,0,0,0,0,0
1.080281,0,0,0,0,0,0
1.081814,0,0,0,0,0,0
1.083374,0,0,0,0,0,0
1.085004,0,0,0,0,0,0
1.086565,0,0,0,0,0,0
1.088174,0,0,0,0,0,0
1.089739,0,0,0,0,0,0
1.091300,0,0,0,0,0,0
1.092862,0,0,0,0,0,0
1.094426,0,0,0,0,0,0
1.095880,0,0,0,0,0,0
1.097418,0,0,0,0,0,0
1.098983,0,0,0,0,0,0
1.100551,0,0,0,0,0,0
1.102115,0,0,0,0,0,0
1.103680,0,0,0,0,0,0
1.105185,0,0,0,0,0,0
