elapsed_s,HLSQ_NEVER_COUNT,HLSQ_BUSY_CYCLES,HLSQ_STALL_CYCLES_SP_STATE,HLSQ_STALL_CYCLES_SP_FS_STAGE,HLSQ_UCHE_LATENCY_CYCLES,HLSQ_UCHE_LATENCY_COUNT
0.225070,0,104,0,0,0,0
0.226502,0,104,0,0,0,0
0.227993,0,104,0,0,0,0
0.229546,0,104,0,0,0,0
0.231243,0,104,0,0,0,0
0.232795,0,104,0,0,0,0
0.234229,0,104,0,0,0,0
0.235795,0,104,0,0,0,0
0.237356,0,104,0,0,0,0
0.238918,0,104,0,0,0,0
0.240481,0,104,0,0,0,0
0.242058,0,104,0,0,0,0
0.243665,0,104,0,0,0,0
0.245226,0,104,0,0,0,0
0.246789,0,104,0,0,0,0
0.248352,0,104,0,0,0,0
0.249917,0,104,0,0,0,0
0.251480,0,104,0,0,0,0
0.253054,0,104,0,0,0,0
0.254619,0,104,0,0,0,0
0.256173,0,104,0,0,0,0
0.257772,0,104,0,0,0,0
0.259382,0,104,0,0,0,0
0.260786,0,104,0,0,0,0
0.262316,0,104,0,0,0,0
0.263891,0,104,0,0,0,0
0.265453,0,104,0,0,0,0
0.267016,0,104,0,0,0,0
0.268579,0,104,0,0,0,0
0.270143,0,104,0,0,0,0
0.271697,0,104,0,0,0,0
0.273249,0,104,0,0,0,0
0.274736,0,104,0,0,0,0
0.276269,0,104,0,0,0,0
0.277830,0,104,0,0,0,0
0.279463,0,104,0,0,0,0
0.281024,0,104,0,0,0,0
0.282588,0,104,0,0,0,0
0.284151,0,104,0,0,0,0
0.285726,0,104,0,0,0,0
0.287293,0,104,0,0,0,0
0.288855,0,104,0,0,0,0
0.290463,0,104,0,0,0,0
0.292026,0,104,0,0,0,0
0.293587,0,104,0,0,0,0
0.295153,0,104,0,0,0,0
0.296728,0,104,0,0,0,0
0.298292,0,104,0,0,0,0
0.299854,0,104,0,0,0,0
0.301415,0,104,0,0,0,0
0.302924,0,104,0,0,0,0
0.304465,0,104,0,0,0,0
0.306028,0,104,0,0,0,0
0.307650,0,104,0,0,0,0
0.309211,0,104,0,0,0,0
0.310773,0,104,0,0,0,0
0.312336,0,104,0,0,0,0
0.313900,0,104,0,0,0,0
0.315463,0,104,0,0,0,0
0.316973,0,104,0,0,0,0
0.318555,0,104,0,0,0,0
0.320118,0,104,0,0,0,0
0.321678,0,104,0,0,0,0
0.323246,0,104,0,0,0,0
0.324806,0,104,0,0,0,0
0.326371,0,104,0,0,0,0
0.327923,0,104,0,0,0,0
0.329489,0,104,0,0,0,0
0.330922,0,104,0,0,0,0
0.332451,0,104,0,0,0,0
0.334006,0,104,0,0,0,0
0.335500,0,104,0,0,0,0
0.336981,0,104,0,0,0,0
0.338429,0,104,0,0,0,0
0.340277,0,104,0,0,0,0
0.341697,0,104,0,0,0,0
0.343103,0,104,0,0,0,0
0.344695,0,104,0,0,0,0
0.347770,0,104,0,0,0,0
0.349170,0,104,0,0,0,0
0.350583,0,104,0,0,0,0
0.351981,0,104,0,0,0,0
0.353372,0,104,0,0,0,0
0.354840,0,104,0,0,0,0
0.356434,0,104,0,0,0,0
0.358111,0,104,0,0,0,0
0.359551,0,104,0,0,0,0
0.360955,0,104,0,0,0,0
0.362349,0,104,0,0,0,0
0.363739,0,104,0,0,0,0
0.365128,0,104,0,0,0,0
0.366518,0,104,0,0,0,0
0.367909,0,104,0,0,0,0
0.369299,0,104,0,0,0,0
0.370728,0,104,0,0,0,0
0.372264,0,104,0,0,0,0
0.373826,0,104,0,0,0,0
0.375459,0,104,0,0,0,0
