elapsed_s,SP_TTU_GPR_WR_REQ,SP_GPR_CACHE_SRC0_GPR_RDCNT,SP_GPR_CACHE_SRC0_GPR_CACHE_HIT_RDCNT,SP_GPR_CACHE_SRC0_GPR_CACHE_HINT_RDCNT,SP_GPR_CACHE_SRC1_RDCNT,SP_GPR_CACHE_SRC1_GPR_CACHE_HIT_RDCNT,SP_GPR_CACHE_SRC1_GPR_CACHE_HINT_RDCNT,SP_GPR_CACHE_SRC2_RDCNT,SP_GPR_CACHE_SRC2_GPR_CACHE_HIT_RDCNT,SP_GPR_CACHE_SRC2_GPR_CACHE_HINT_RDCNT,SP_UCHE_READ_BURST,SP_UCHE_WRITE_BURST,SP_LDST_GMEM_REQ_NUM
0.086325,0,0,0,1902,0,0,0,0,0,0,0,0,0
0.087880,0,0,0,0,0,0,0,0,0,0,0,0,0
0.089285,0,0,0,0,0,0,0,0,0,0,0,0,0
0.090685,0,0,0,0,0,0,0,0,0,0,0,0,0
0.092127,0,0,0,0,0,0,0,0,0,0,0,0,0
0.093533,0,0,0,0,0,0,0,0,0,0,0,0,0
0.094943,0,0,0,0,0,0,0,0,0,0,0,0,0
0.096422,0,0,0,0,0,0,0,0,0,0,0,0,0
0.097819,504070,902131,0,2351286,247496,1080070,905882,3096413,2662146,3180969,2735601,24,24
0.099065,1578089,2788073,0,7171992,621870,3369461,2638448,9395993,7971027,9402809,7977573,0,0
0.100360,1652980,2921065,0,7444803,595471,3312622,2550710,9049731,7664671,9031000,7655711,0,0
0.101606,1584544,2792246,0,7137254,597781,3233422,2538055,9084622,7715030,9096100,7715841,0,0
0.102851,1587314,2811453,0,7182206,599893,3286461,2550956,9027690,7632322,9000703,7633874,0,0
0.104142,1646035,2908622,0,7410294,611433,3413035,2611367,9360570,7965213,9390355,7963526,0,0
0.105387,1578260,2788058,0,7128339,593602,3208666,2548931,9087543,7707101,9085861,7705745,0,0
0.106631,1591542,2812493,0,7186149,600852,3334346,2531523,8999538,7632668,8998938,7633463,0,0
0.107875,1576357,2772877,0,7070928,587824,3203770,2525535,9013826,7644364,9012579,7645327,0,0
0.109118,1580409,2804980,0,7170547,599043,3223612,2548722,9062028,7652974,8996427,7629565,0,0
0.110363,1591736,2803935,0,7122543,597592,3317912,2530604,9017393,7682201,9084005,7705558,0,0
0.111611,1583359,2805598,0,7193825,601191,3234320,2557929,9095704,7679455,9031770,7658244,0,0
0.112855,1590879,2803457,0,7122705,596818,3314328,2530686,9015887,7680605,9079615,7702265,0,0
0.114100,1578763,2796824,0,7188058,601046,3202391,2551157,9082755,7681157,9013081,7636982,0,0
0.115403,740716,1296248,0,3247655,268428,1557529,1117574,3930776,3321951,3916233,3293610,0,0
0.116891,0,0,0,0,0,0,0,0,0,0,0,0,0
