elapsed_s,TSE_BE_CLIP_PLANES,TSE_BE_EMPTY_BBOX_KILLED_PRIM,TSE_BE_ST1_VP_PARAMS_CACHE_MISS,TSE_BE_ST2_VPORT_VP_PARAMS_CACHE_MISS
1.498635,0,0,0,0
1.500082,0,0,0,0
1.501490,0,0,0,0
1.502885,0,0,0,0
1.504277,0,0,0,0
1.505667,0,0,0,0
1.507059,0,0,0,0
1.508448,0,0,0,0
1.509966,0,0,0,0
1.511522,0,0,0,0
1.512968,0,0,0,0
1.514532,0,0,0,0
1.516130,0,0,0,0
1.517722,0,0,0,0
1.519317,0,0,0,0
1.520912,0,0,0,0
1.522505,0,0,0,0
1.523995,0,0,0,0
1.525559,0,0,0,0
1.527154,0,0,0,0
1.528738,0,0,0,0
1.530321,0,0,0,0
1.531983,0,0,0,0
1.533607,0,0,0,0
1.535215,0,0,0,0
1.536807,0,0,0,0
1.538398,0,0,0,0
1.539995,0,0,0,0
1.541587,0,0,0,0
1.543181,0,0,0,0
1.544773,0,0,0,0
1.546377,0,0,0,0
1.547925,0,0,0,0
1.549486,0,0,0,0
1.551079,0,0,0,0
1.552670,0,0,0,0
1.554132,0,0,0,0
1.555752,0,0,0,0
1.557360,0,0,0,0
1.558956,0,0,0,0
1.560550,0,0,0,0
1.562142,0,0,0,0
1.563734,0,0,0,0
1.565328,0,0,0,0
1.566924,0,0,0,0
1.568530,0,0,0,0
1.570122,0,0,0,0
1.571765,0,0,0,0
1.573358,0,0,0,0
1.574953,0,0,0,0
1.576548,0,0,0,0
1.578141,0,0,0,0
1.579749,0,0,0,0
1.581344,0,0,0,0
1.582939,0,0,0,0
1.584533,0,0,0,0
1.586125,0,0,0,0
1.587768,0,0,0,0
1.589360,0,0,0,0
1.590969,0,0,0,0
1.592563,0,0,0,0
1.594156,0,0,0,0
1.595749,0,0,0,0
1.597346,0,0,0,0
