elapsed_s,TSE_CLIP_VP_FMUL_0_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_1_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_2_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_3_WORKING_CYCLE_L3
0.410266,0,0,0,0
0.411817,0,0,0,0
0.413369,0,0,0,0
0.414809,0,0,0,0
0.416330,0,0,0,0
0.417882,0,0,0,0
0.419434,0,0,0,0
0.420983,0,0,0,0
0.422448,0,0,0,0
0.423969,0,0,0,0
0.425535,0,0,0,0
0.427086,0,0,0,0
0.428636,0,0,0,0
0.430232,0,0,0,0
0.431783,0,0,0,0
0.433332,0,0,0,0
0.435027,0,0,0,0
0.436590,0,0,0,0
0.438185,0,0,0,0
0.439735,0,0,0,0
0.441283,0,0,0,0
0.442837,0,0,0,0
0.444385,0,0,0,0
0.445979,0,0,0,0
0.447543,0,0,0,0
0.449091,0,0,0,0
0.450645,0,0,0,0
0.452193,0,0,0,0
0.453787,0,0,0,0
0.455338,0,0,0,0
0.456886,0,0,0,0
0.458450,0,0,0,0
0.460000,0,0,0,0
0.461551,0,0,0,0
0.463103,0,0,0,0
0.464651,0,0,0,0
0.466202,0,0,0,0
0.467752,0,0,0,0
0.469313,0,0,0,0
0.470805,0,0,0,0
0.472193,0,0,0,0
0.473710,0,0,0,0
0.475260,0,0,0,0
0.476808,0,0,0,0
0.478401,0,0,0,0
0.479841,0,0,0,0
0.481364,0,0,0,0
0.482915,0,0,0,0
0.484463,0,0,0,0
0.486056,0,0,0,0
0.487606,0,0,0,0
0.489155,0,0,0,0
0.490723,0,0,0,0
0.492272,0,0,0,0
0.493866,0,0,0,0
0.495416,0,0,0,0
0.496963,0,0,0,0
0.498514,0,0,0,0
0.500064,0,0,0,0
0.501628,0,0,0,0
0.503224,0,0,0,0
0.504772,0,0,0,0
0.506321,0,0,0,0
0.507749,0,0,0,0
0.509273,0,0,0,0
0.510831,0,0,0,0
0.512395,0,0,0,0
0.513948,0,0,0,0
0.515490,0,0,0,0
0.517031,0,0,0,0
0.518572,0,0,0,0
0.520037,0,0,0,0
0.521434,0,0,0,0
0.522831,0,0,0,0
0.524219,0,0,0,0
0.525608,0,0,0,0
0.527159,0,0,0,0
0.528709,0,0,0,0
0.530260,0,0,0,0
0.531812,0,0,0,0
0.533378,0,0,0,0
0.534930,0,0,0,0
0.536480,0,0,0,0
0.538031,0,0,0,0
0.539582,0,0,0,0
0.541130,0,0,0,0
0.542685,0,0,0,0
0.544247,0,0,0,0
0.545798,0,0,0,0
0.547349,0,0,0,0
0.548897,0,0,0,0
0.550361,0,0,0,0
0.551880,0,0,0,0
0.553432,0,0,0,0
0.554995,0,0,0,0
0.556544,0,0,0,0
0.558139,0,0,0,0
0.559689,0,0,0,0
0.561238,0,0,0,0
0.562792,0,0,0,0
0.564340,0,0,0,0
0.565949,0,0,0,0
0.567498,0,0,0,0
0.569047,0,0,0,0
0.570559,0,0,0,0
0.572078,0,0,0,0
0.573629,0,0,0,0
0.575224,0,0,0,0
0.576786,0,0,0,0
0.578336,0,0,0,0
0.579887,0,0,0,0
0.581439,0,0,0,0
0.583032,0,0,0,0
0.584580,0,0,0,0
0.586131,0,0,0,0
0.587695,0,0,0,0
0.589243,0,0,0,0
0.590798,0,0,0,0
0.592346,0,0,0,0
0.593898,0,0,0,0
0.595449,0,0,0,0
0.596997,0,0,0,0
0.598625,0,0,0,0
0.600174,0,0,0,0
0.601725,0,0,0,0
0.603275,0,0,0,0
0.604823,0,0,0,0
0.606416,0,0,0,0
0.607966,0,0,0,0
0.609785,0,0,0,0
0.611339,0,0,0,0
0.612887,0,0,0,0
0.614481,0,0,0,0
0.616033,0,0,0,0
0.617585,0,0,0,0
0.619136,0,0,0,0
0.620699,0,0,0,0
0.622294,0,0,0,0
0.623846,0,0,0,0
0.625398,0,0,0,0
0.626949,0,0,0,0
0.628498,0,0,0,0
0.630093,0,0,0,0
0.631658,0,0,0,0
0.633208,0,0,0,0
0.634763,0,0,0,0
0.636312,0,0,0,0
0.637908,0,0,0,0
0.639459,0,0,0,0
0.641008,0,0,0,0
0.642634,0,0,0,0
0.644183,0,0,0,0
0.645736,0,0,0,0
0.647287,0,0,0,0
0.648836,0,0,0,0
0.650559,0,0,0,0
0.651923,0,0,0,0
0.653309,0,0,0,0
0.654670,0,0,0,0
0.656089,0,0,0,0
0.657478,0,0,0,0
0.658863,0,0,0,0
0.660375,0,0,0,0
0.661972,0,0,0,0
0.663538,0,0,0,0
0.665087,0,0,0,0
0.666642,0,0,0,0
0.668192,0,0,0,0
0.669787,0,0,0,0
0.671339,0,0,0,0
0.672887,0,0,0,0
0.674321,0,0,0,0
0.675833,0,0,0,0
0.677501,0,0,0,0
0.679095,0,0,0,0
0.680642,0,0,0,0
0.682192,0,0,0,0
0.683741,0,0,0,0
0.685302,0,0,0,0
0.686716,0,0,0,0
0.688489,0,0,0,0
0.689908,0,0,0,0
