elapsed_s,TP_DIVERGENT_QUADS_RECEIVED,TP_PRT_NON_RESIDENT_EVENTS,TP_OUTPUT_PIXELS_POINT,TP_OUTPUT_PIXELS_BILINEAR,TP_OUTPUT_PIXELS_MIP,TP_OUTPUT_PIXELS_ANISO,TP_OUTPUT_PIXELS_ZERO_LOD,TP_FLAG_CACHE_REQUESTS,TP_FLAG_CACHE_MISSES,TP_L1_5_L2_REQUESTS,TP_2D_OUTPUT_PIXELS,TP_2D_OUTPUT_PIXELS_POINT
0.546986,0,0,0,0,0,0,0,0,0,0,0,0
0.548415,0,0,0,0,0,0,0,0,0,0,0,0
0.549843,0,0,0,0,0,0,0,0,0,0,0,0
0.551229,0,0,0,0,0,0,0,0,0,0,0,0
0.552666,0,0,0,0,0,0,0,0,0,0,0,0
0.554094,0,0,0,0,0,0,0,0,0,0,0,0
0.555567,0,0,0,0,0,0,0,0,0,0,0,0
0.557037,0,0,0,0,0,0,0,0,0,0,0,0
0.558465,0,0,0,0,0,0,0,0,0,0,0,0
0.559895,0,0,0,0,0,0,0,0,0,0,0,0
0.561540,0,0,0,0,0,0,0,0,0,0,0,0
0.563024,0,0,0,0,0,0,0,0,0,0,0,0
0.564460,0,0,0,0,0,0,0,0,0,0,0,0
0.566425,0,0,0,0,0,0,0,0,0,0,0,0
0.567862,0,0,0,0,0,0,0,0,0,0,0,0
0.569287,0,0,0,0,0,0,0,0,0,0,0,0
0.570803,0,0,0,0,0,0,0,0,0,0,0,0
0.572309,0,0,0,0,0,0,0,0,0,0,0,0
0.573743,0,0,0,0,0,0,0,0,0,0,0,0
0.575169,0,0,0,0,0,0,0,0,0,0,0,0
0.576599,0,0,0,0,0,0,0,0,0,0,0,0
0.578026,0,0,0,0,0,0,0,0,0,0,0,0
0.579456,0,0,0,0,0,0,0,0,0,0,0,0
0.580885,0,0,0,0,0,0,0,0,0,0,0,0
0.582442,0,0,0,0,0,0,0,0,0,0,0,0
0.583930,0,0,0,0,0,0,0,0,0,0,0,0
0.585365,0,0,0,0,0,0,0,0,0,0,0,0
0.586798,0,0,0,0,0,0,0,0,0,0,0,0
0.588271,0,0,0,0,0,0,0,0,0,0,0,0
