elapsed_s,HLSQ_DUAL_FS_PROG_ACTIVE,HLSQ_DUAL_VS_PROG_ACTIVE,HLSQ_FS_BATCH_COUNT_ZERO,HLSQ_VS_BATCH_COUNT_ZERO,HLSQ_WAVE_PENDING_NO_QUAD,HLSQ_WAVE_PENDING_NO_PRIM_BASE
0.437299,0,0,2476602,2476494,0,0
0.438861,0,0,2488764,2488926,0,0
0.440423,0,0,2536968,2536860,0,0
0.441983,0,0,2481366,2481294,0,0
0.443589,0,0,2490732,2490726,0,0
0.445151,0,0,2482962,2483058,0,0
0.446727,0,0,2487780,2487678,0,0
0.448289,0,0,2479416,2479470,0,0
0.449850,0,0,2471334,2471364,0,0
0.451457,0,0,2483598,2483556,0,0
0.453018,0,0,2478108,2478012,0,0
0.454579,0,0,2508750,2508924,0,0
0.456144,0,0,2481858,2481858,0,0
0.457717,0,0,2482542,2482440,0,0
0.459325,0,0,2488986,2488914,0,0
0.460887,0,0,2481246,2481300,0,0
0.462447,0,0,2496762,2497116,0,0
0.464012,0,0,2481180,2480730,0,0
0.465571,0,0,2542716,2542734,0,0
0.467178,0,0,2492178,2492178,0,0
0.468754,0,0,2477886,2477946,0,0
0.470314,0,0,2480826,2480748,0,0
0.471876,0,0,2541744,2541708,0,0
0.473436,0,0,2481252,2481348,0,0
0.474999,0,0,2765394,2765388,0,0
0.476606,0,0,2483556,2483484,0,0
0.478166,0,0,2480790,2480934,0,0
0.479741,0,0,2479386,2479284,0,0
0.481302,0,0,2473494,2473596,0,0
0.482865,0,0,2754396,2754228,0,0
0.484470,0,0,2488446,2488530,0,0
0.486031,0,0,2484780,2484684,0,0
0.487593,0,0,2486238,2486328,0,0
0.489154,0,0,2487984,2487942,0,0
0.490730,0,0,2488410,2488404,0,0
0.492291,0,0,2475438,2475372,0,0
0.494043,0,0,2521938,2526120,0,0
0.495584,0,0,3042306,3038364,0,0
0.497124,0,0,2470362,2470164,0,0
0.498540,0,0,2440608,2440536,0,0
0.499992,0,0,2405844,2405928,0,0
0.501410,0,0,2429796,2429868,0,0
0.502813,0,0,2338458,2338284,0,0
0.504212,0,0,2205024,2205024,0,0
0.505724,0,0,2502204,2502264,0,0
0.507333,0,0,2556300,2556288,0,0
0.508897,0,0,2492808,2492712,0,0
0.510458,0,0,2508858,2508978,0,0
0.512038,0,0,2490828,2490732,0,0
0.513600,0,0,2551644,2551788,0,0
0.515208,0,0,2492226,2492034,0,0
0.516771,0,0,2489424,2489538,0,0
0.518332,0,0,2482596,2482464,0,0
0.519961,0,0,2458668,2458854,0,0
0.521515,0,0,2463402,2463390,0,0
0.522964,0,0,2719614,2719434,0,0
0.524544,0,0,2483958,2484036,0,0
0.526103,0,0,2448336,2448270,0,0
0.527663,0,0,2494404,2494494,0,0
0.529225,0,0,2492484,2492358,0,0
0.530789,0,0,2767434,2767518,0,0
0.532394,0,0,2495118,2495016,0,0
0.533967,0,0,2490000,2490180,0,0
0.535530,0,0,2548362,2548356,0,0
0.537091,0,0,2553300,2553300,0,0
0.538652,0,0,2462022,2461854,0,0
0.540086,0,0,2383890,2383848,0,0
0.541490,0,0,2320896,2320920,0,0
0.543020,0,0,2498388,2498460,0,0
0.544595,0,0,2486976,2486952,0,0
0.546156,0,0,2487150,2487192,0,0
0.547763,0,0,2549526,2549412,0,0
0.549325,0,0,2485086,2485056,0,0
0.550889,0,0,2492436,2492520,0,0
0.552453,0,0,2491032,2491122,0,0
0.554014,0,0,2549952,2549850,0,0
0.555634,0,0,2496162,2496258,0,0
0.557197,0,0,2489412,2489712,0,0
0.558761,0,0,2502864,2502546,0,0
0.560323,0,0,2500098,2500032,0,0
0.561885,0,0,2553036,2552904,0,0
0.563493,0,0,2495034,2495118,0,0
0.565055,0,0,2496924,2496852,0,0
0.566630,0,0,2525730,2525790,0,0
0.568198,0,0,2493330,2493426,0,0
0.569759,0,0,2491644,2491560,0,0
0.571403,0,0,2546028,2546028,0,0
0.572964,0,0,2482986,2482890,0,0
0.574525,0,0,2766678,2767932,0,0
0.576136,0,0,2499756,2498460,0,0
0.577708,0,0,2496480,2496504,0,0
0.579316,0,0,2490552,2490696,0,0
0.580879,0,0,2546910,2546718,0,0
0.582439,0,0,2522262,2522292,0,0
0.584002,0,0,2455392,2455380,0,0
0.585553,0,0,2464026,2464086,0,0
0.587057,0,0,2425320,2425314,0,0
0.588478,0,0,2851344,2851446,0,0
0.589949,0,0,2501166,2501046,0,0
0.591375,0,0,2345916,2346006,0,0
0.592845,0,0,2629734,2629638,0,0
0.594277,0,0,2387364,2387298,0,0
