elapsed_s,RAS_SLICE_BLOCK_EMPTY,RAS_SAMPLE_MASK_GEN_LANE_0_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_1_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_2_WORKING_CC_L2
0.236560,0,0,0,0
0.238110,0,0,0,0
0.239660,0,0,0,0
0.241225,0,0,0,0
0.242822,0,0,0,0
0.244371,0,0,0,0
0.245920,0,0,0,0
0.247471,0,0,0,0
0.249163,0,0,0,0
0.251336,0,0,0,0
0.252764,0,0,0,0
0.254162,0,0,0,0
0.255550,0,0,0,0
0.256937,0,0,0,0
0.258361,0,0,0,0
0.259742,0,0,0,0
0.261157,0,0,0,0
0.262705,0,0,0,0
0.264265,0,0,0,0
0.265816,0,0,0,0
0.267365,0,0,0,0
0.268913,0,0,0,0
0.270506,0,0,0,0
0.272052,0,0,0,0
0.273646,0,0,0,0
0.275207,0,0,0,0
0.276633,0,0,0,0
0.278212,0,0,0,0
0.279763,0,0,0,0
0.281316,0,0,0,0
0.282866,0,0,0,0
0.284416,0,0,0,0
0.285978,0,0,0,0
0.287530,0,0,0,0
0.289082,0,0,0,0
0.290677,0,0,0,0
0.292228,0,0,0,0
0.293780,0,0,0,0
0.295331,0,0,0,0
0.296894,0,0,0,0
0.298450,0,0,0,0
0.299999,0,0,0,0
0.301552,0,0,0,0
0.303102,0,0,0,0
0.304652,0,0,0,0
0.306165,0,0,0,0
0.307694,0,0,0,0
0.309247,0,0,0,0
0.310799,0,0,0,0
0.312348,0,0,0,0
0.313900,0,0,0,0
0.315452,0,0,0,0
0.317004,0,0,0,0
0.318567,0,0,0,0
0.320115,0,0,0,0
0.321711,0,0,0,0
0.323261,0,0,0,0
0.324810,0,0,0,0
0.326366,0,0,0,0
0.327916,0,0,0,0
0.329387,0,0,0,0
0.330938,0,0,0,0
0.332487,0,0,0,0
0.334037,0,0,0,0
0.335589,0,0,0,0
0.337141,0,0,0,0
0.338735,0,0,0,0
0.340299,0,0,0,0
0.341850,0,0,0,0
0.343400,0,0,0,0
0.345039,0,0,0,0
0.346655,0,0,0,0
0.348205,0,0,0,0
0.349757,0,0,0,0
0.351321,0,0,0,0
0.352870,0,0,0,0
0.354427,0,0,0,0
0.355977,0,0,0,0
0.357530,0,0,0,0
0.359127,0,0,0,0
0.360677,0,0,0,0
0.362246,0,0,0,0
0.363796,0,0,0,0
0.365348,0,0,0,0
0.366900,0,0,0,0
0.368447,0,0,0,0
0.370041,0,0,0,0
0.371592,0,0,0,0
0.373156,0,0,0,0
0.374706,0,0,0,0
0.376254,0,0,0,0
0.377805,0,0,0,0
0.379355,0,0,0,0
0.380903,0,0,0,0
0.382497,0,0,0,0
0.383933,0,0,0,0
0.385392,0,0,0,0
0.386937,0,0,0,0
0.388485,0,0,0,0
0.390035,0,0,0,0
0.391584,0,0,0,0
0.393136,0,0,0,0
0.394700,0,0,0,0
0.396249,0,0,0,0
0.397799,0,0,0,0
0.399348,0,0,0,0
0.400896,0,0,0,0
0.402449,0,0,0,0
0.403996,0,0,0,0
0.405562,0,0,0,0
0.407112,0,0,0,0
0.408662,0,0,0,0
0.410301,0,0,0,0
0.411850,0,0,0,0
0.413401,0,0,0,0
0.414951,0,0,0,0
0.416512,0,0,0,0
0.418106,0,0,0,0
0.419657,0,0,0,0
0.421208,0,0,0,0
0.422757,0,0,0,0
0.424304,0,0,0,0
0.425854,0,0,0,0
0.427417,0,0,0,0
0.429047,0,0,0,0
0.430444,0,0,0,0
0.431961,0,0,0,0
0.433555,0,0,0,0
0.435106,0,0,0,0
0.436653,0,0,0,0
0.438271,0,0,0,0
0.439819,0,0,0,0
0.441369,0,0,0,0
0.442797,0,0,0,0
0.444319,0,0,0,0
0.445869,0,0,0,0
0.447411,0,0,0,0
0.449113,0,0,0,0
0.450700,0,0,0,0
0.452247,0,0,0,0
0.453797,0,0,0,0
