elapsed_s,HLSQ_FS_S2W_CYCLES,HLSQ_LPAC_S2W_CYCLES,HLSQ_BV_S2W_CYCLES,HLSQ_VSBR_WAIT_FS_S2W,HLSQ_FS_WAIT_VS_S2W,HLSQ_LPAC_WAIT_VS_S2W
0.709703,0,0,0,0,0,0
0.711269,0,0,0,0,0,0
0.712845,0,0,0,0,0,0
0.714408,0,0,0,0,0,0
0.715969,0,0,0,0,0,0
0.717528,0,0,0,0,0,0
0.719089,0,0,0,0,0,0
0.720650,0,0,0,0,0,0
0.722214,0,0,0,0,0,0
0.723835,0,0,0,0,0,0
0.725395,0,0,0,0,0,0
0.726958,0,0,0,0,0,0
0.728520,0,0,0,0,0,0
0.730079,0,0,0,0,0,0
0.731575,0,0,0,0,0,0
0.732970,0,0,0,0,0,0
0.734374,0,0,0,0,0,0
0.735900,0,0,0,0,0,0
0.737458,0,0,0,0,0,0
0.739062,0,0,0,0,0,0
0.740622,0,0,0,0,0,0
0.742182,0,0,0,0,0,0
0.743742,0,0,0,0,0,0
0.745313,0,0,0,0,0,0
0.746875,0,0,0,0,0,0
0.748435,0,0,0,0,0,0
0.749993,0,0,0,0,0,0
0.751555,0,0,0,0,0,0
0.753111,0,0,0,0,0,0
0.754594,0,0,0,0,0,0
0.756144,0,0,0,0,0,0
0.757704,0,0,0,0,0,0
0.759265,0,0,0,0,0,0
0.760826,0,0,0,0,0,0
0.762436,0,0,0,0,0,0
0.763997,0,0,0,0,0,0
0.765556,0,0,0,0,0,0
0.767128,0,0,0,0,0,0
0.768690,0,0,0,0,0,0
0.770252,0,0,0,0,0,0
0.771857,0,0,0,0,0,0
0.773416,0,0,0,0,0,0
0.774976,0,0,0,0,0,0
0.776537,0,0,0,0,0,0
0.778204,0,0,0,0,0,0
0.779668,0,0,0,0,0,0
0.781197,0,0,0,0,0,0
0.782759,0,0,0,0,0,0
0.784320,0,0,0,0,0,0
0.785880,0,0,0,0,0,0
0.787445,0,0,0,0,0,0
0.789017,0,0,0,0,0,0
0.790579,0,0,0,0,0,0
0.792140,0,0,0,0,0,0
0.793698,0,0,0,0,0,0
0.795257,0,0,0,0,0,0
0.796816,0,0,0,0,0,0
0.798282,0,0,0,0,0,0
0.799773,0,0,0,0,0,0
0.801298,0,0,0,0,0,0
0.802772,0,0,0,0,0,0
0.804305,0,0,0,0,0,0
0.805865,0,0,0,0,0,0
0.807431,0,0,0,0,0,0
0.808990,0,0,0,0,0,0
0.810566,0,0,0,0,0,0
0.812128,0,0,0,0,0,0
0.813688,0,0,0,0,0,0
0.815248,0,0,0,0,0,0
0.816811,0,0,0,0,0,0
0.818374,0,0,0,0,0,0
0.819979,0,0,0,0,0,0
0.821552,0,0,0,0,0,0
0.823115,0,0,0,0,0,0
0.824548,0,0,0,0,0,0
0.826074,0,0,0,0,0,0
0.827503,0,0,0,0,0,0
0.828906,0,0,0,0,0,0
0.830437,0,0,0,0,0,0
0.832010,0,0,0,0,0,0
0.833570,0,0,0,0,0,0
0.835174,0,0,0,0,0,0
0.836727,0,0,0,0,0,0
0.838310,0,0,0,0,0,0
0.839868,0,0,0,0,0,0
0.841426,0,0,0,0,0,0
0.842876,0,0,0,0,0,0
0.844410,0,0,0,0,0,0
0.845996,0,0,0,0,0,0
0.848196,0,0,0,0,0,0
0.849607,0,0,0,0,0,0
