elapsed_s,TSE_MVC_STALL_VPC,TSE_VPC_STARVE_TSE,TSE_WORKING_CYCLE_L0
0.130338,0,0,0
0.131882,0,0,0
0.133431,0,0,0
0.134977,0,0,0
0.136522,0,0,0
0.138071,0,0,0
0.139618,0,0,0
0.141175,0,0,0
0.142806,0,0,0
0.144351,0,0,0
0.146128,0,0,0
0.147517,0,0,0
0.149028,0,0,0
0.150576,0,0,0
0.152130,0,0,0
0.153675,0,0,0
0.155222,0,0,0
0.156766,0,0,0
0.158312,0,0,0
0.159860,0,0,0
0.161409,0,0,0
0.162968,0,0,0
0.164512,0,0,0
0.166060,0,0,0
0.167606,0,0,0
0.169152,0,0,0
0.170703,0,0,0
0.172249,0,0,0
0.173809,0,0,0
0.175472,0,0,0
0.177016,0,0,0
0.178565,0,0,0
0.180121,0,0,0
0.181565,0,0,0
0.182959,0,0,0
0.184483,0,0,0
0.186031,0,0,0
0.188420,0,0,0
0.189943,0,0,0
0.191652,0,0,0
0.193049,0,0,0
0.194462,0,0,0
0.195844,0,0,0
0.197179,0,0,0
0.198690,0,0,0
0.200040,0,0,0
0.201374,0,0,0
0.202708,0,0,0
0.204040,0,0,0
0.205386,0,0,0
0.206726,0,0,0
0.208031,0,0,0
0.209386,0,0,0
0.210695,0,0,0
0.211999,0,0,0
0.213303,0,0,0
0.214608,0,0,0
0.215921,0,0,0
0.217230,0,0,0
0.218535,0,0,0
0.219839,0,0,0
0.221143,0,0,0
0.222453,0,0,0
0.223741,0,0,0
0.225098,0,0,0
0.226456,0,0,0
0.227813,0,0,0
0.229171,0,0,0
0.230529,0,0,0
0.231778,0,0,0
0.233135,0,0,0
0.234491,0,0,0
0.235846,0,0,0
0.237256,0,0,0
0.238613,0,0,0
0.239974,0,0,0
0.241447,0,0,0
0.242888,0,0,0
0.244843,0,0,0
0.246741,0,0,0
0.248328,0,0,0
0.249710,180,684,0
0.251557,0,0,0
0.252938,0,0,0
0.254483,0,0,0
0.255907,0,0,0
0.257287,0,0,0
0.258678,0,0,0
0.260057,1671,2688,0
0.261353,990,1563,0
0.262722,0,0,0
0.264101,0,0,0
0.265481,0,0,0
0.266861,0,0,0
0.268240,0,0,0
0.269630,0,0,0
0.271049,0,0,0
0.272448,0,0,0
0.273824,0,0,0
0.275624,0,0,0
0.276998,0,0,0
0.278456,0,0,0
0.279837,0,0,0
0.281207,0,0,0
0.282577,0,0,0
0.283951,0,0,0
0.285421,0,0,0
0.286856,0,0,0
0.288233,0,0,0
0.289688,0,0,0
0.291072,0,0,0
0.292445,0,0,0
0.293821,0,0,0
0.295201,0,0,0
0.296709,0,0,0
0.298264,0,0,0
0.299807,0,0,0
0.301366,0,0,0
0.302959,0,0,0
0.304503,0,0,0
0.306050,0,0,0
0.307597,0,0,0
0.309140,0,0,0
0.310690,0,0,0
0.312248,0,0,0
0.313796,0,0,0
0.315341,0,0,0
0.316884,0,0,0
0.318498,0,0,0
0.320088,0,0,0
0.321634,0,0,0
0.323193,0,0,0
0.324736,0,0,0
0.326282,0,0,0
0.327828,0,0,0
0.329377,0,0,0
0.330921,0,0,0
0.332465,0,0,0
0.334024,0,0,0
0.335612,0,0,0
0.337156,0,0,0
0.338706,0,0,0
0.340249,0,0,0
0.341796,0,0,0
0.343341,0,0,0
0.344897,0,0,0
0.346386,0,0,0
0.347771,0,0,0
0.349284,0,0,0
0.350873,0,0,0
0.352417,0,0,0
0.353963,0,0,0
0.355522,0,0,0
0.357066,0,0,0
0.358666,0,0,0
0.360210,0,0,0
0.361758,0,0,0
0.363303,0,0,0
0.364845,0,0,0
0.366400,0,0,0
0.367922,0,0,0
0.369471,0,0,0
0.371018,0,0,0
0.372564,0,0,0
0.374013,0,0,0
0.375571,0,0,0
0.376953,0,0,0
0.378366,0,0,0
0.379697,0,0,0
0.381028,0,0,0
0.382408,0,0,0
0.383738,0,0,0
0.385063,0,0,0
0.386493,0,0,0
0.387835,0,0,0
0.389166,0,0,0
0.390501,0,0,0
0.391831,0,0,0
0.393160,0,0,0
0.394493,0,0,0
0.395822,0,0,0
0.397151,0,0,0
0.398546,0,0,0
0.399971,0,0,0
0.401281,0,0,0
0.402586,0,0,0
0.403890,0,0,0
0.405193,0,0,0
0.406498,0,0,0
0.407803,0,0,0
0.409116,0,0,0
0.410430,0,0,0
0.411735,0,0,0
0.413039,0,0,0
0.414349,0,0,0
0.415696,0,0,0
0.417061,0,0,0
0.418419,0,0,0
0.419780,0,0,0
0.421137,0,0,0
0.422493,0,0,0
0.423851,0,0,0
0.425208,0,0,0
0.426564,0,0,0
0.427921,0,0,0
0.429360,0,0,0
0.430621,0,0,0
0.431953,0,0,0
0.433372,0,0,0
0.434762,0,0,0
0.436176,0,0,0
0.437593,0,0,0
0.440957,180,684,0
0.442580,0,0,0
0.443961,0,0,0
0.445453,0,0,0
0.446912,0,0,0
0.448291,0,0,0
0.449668,0,0,0
0.451120,2703,4299,0
0.452462,0,0,0
0.453842,0,0,0
0.455222,0,0,0
0.456603,0,0,0
0.457982,0,0,0
0.459364,0,0,0
0.460744,0,0,0
0.462131,0,0,0
0.463517,0,0,0
0.464894,0,0,0
0.466267,0,0,0
0.467638,0,0,0
