elapsed_s,TSE_NEVER_COUNT,TSE_BE_BUSY_CYCLES,TSE_BE_CLIPPING_CYCLES,TSE_BE_STALL_CYCLES_RAS
0.358694,0,0,0,0
0.360084,0,0,0,0
0.361471,0,0,0,0
0.362857,0,0,0,0
0.364243,0,0,0,0
0.365627,0,0,0,0
0.367150,0,0,0,0
0.368705,0,0,0,0
0.370299,0,0,0,0
0.371851,0,0,0,0
0.373401,0,0,0,0
0.374949,0,0,0,0
0.376501,0,0,0,0
0.378066,0,0,0,0
0.379619,0,0,0,0
0.381169,0,0,0,0
0.382717,0,0,0,0
0.384267,0,0,0,0
0.385816,0,0,0,0
0.387895,0,0,0,0
0.389453,0,0,0,0
0.390873,0,0,0,0
0.392392,0,0,0,0
0.393941,0,0,0,0
0.395371,0,0,0,0
0.396898,0,0,0,0
0.398448,0,0,0,0
0.400014,0,0,0,0
0.401610,0,0,0,0
0.403865,0,0,0,0
0.405254,0,0,0,0
0.406650,0,0,0,0
0.408036,0,0,0,0
0.409416,0,0,0,0
0.410803,0,0,0,0
0.412180,0,0,0,0
0.413559,0,0,0,0
0.414937,0,0,0,0
0.416314,0,0,0,0
0.417750,0,0,0,0
0.419106,0,0,0,0
0.420493,0,0,0,0
0.421854,0,0,0,0
0.423206,0,0,0,0
0.424707,0,0,0,0
0.426062,0,0,0,0
0.427415,0,0,0,0
0.428769,0,0,0,0
0.430123,0,0,0,0
0.431526,0,0,0,0
0.432922,0,0,0,0
0.434262,0,0,0,0
0.435601,0,0,0,0
0.436940,0,0,0,0
0.438280,0,0,0,0
0.439618,0,0,0,0
0.440958,0,0,0,0
0.442297,0,0,0,0
0.443839,0,0,0,0
0.445180,0,0,0,0
0.446520,0,0,0,0
0.447859,0,0,0,0
0.449228,0,0,0,0
0.450639,0,0,0,0
0.452049,0,0,0,0
0.453460,0,0,0,0
0.454875,0,0,0,0
0.456179,0,0,0,0
0.457588,0,0,0,0
0.458997,0,0,0,0
0.460447,0,0,0,0
0.461862,0,0,0,0
0.463123,0,0,0,0
0.464485,0,0,0,0
0.465849,0,0,0,0
0.467102,0,0,0,0
0.468653,0,0,0,0
0.470061,0,0,0,0
0.471462,0,0,0,0
0.472853,0,483,0,24
0.474664,0,0,0,0
0.476069,0,0,0,0
0.477452,0,0,0,0
0.478833,0,0,0,0
0.480216,0,0,0,0
0.481644,0,0,0,0
0.483026,0,3099,0,120
0.484896,0,0,0,0
0.486300,0,0,0,0
0.487686,0,0,0,0
0.489074,0,0,0,0
0.490461,0,0,0,0
0.491847,0,0,0,0
0.493231,0,0,0,0
0.494613,0,0,0,0
0.495995,0,0,0,0
0.497672,0,0,0,0
0.499054,0,0,0,0
0.500565,0,0,0,0
0.501945,0,0,0,0
0.503324,0,0,0,0
0.504711,0,0,0,0
0.506088,0,0,0,0
0.507479,0,0,0,0
0.508858,0,0,0,0
0.510238,0,0,0,0
0.512019,0,0,0,0
0.513450,0,0,0,0
0.514830,0,0,0,0
0.516254,0,0,0,0
0.517654,0,0,0,0
0.519040,0,0,0,0
0.520464,0,0,0,0
0.521843,0,0,0,0
0.523222,0,0,0,0
0.524660,0,0,0,0
0.526128,0,0,0,0
0.527509,0,0,0,0
0.529075,0,0,0,0
0.530624,0,0,0,0
0.532176,0,0,0,0
0.533727,0,0,0,0
0.535275,0,0,0,0
0.536831,0,0,0,0
0.538381,0,0,0,0
0.539823,0,0,0,0
0.541344,0,0,0,0
0.542893,0,0,0,0
0.544443,0,0,0,0
0.545994,0,0,0,0
0.547546,0,0,0,0
0.549096,0,0,0,0
0.550655,0,0,0,0
0.552205,0,0,0,0
0.553755,0,0,0,0
0.555303,0,0,0,0
0.556722,0,0,0,0
0.558113,0,0,0,0
0.559630,0,0,0,0
0.561232,0,0,0,0
0.562781,0,0,0,0
0.564332,0,0,0,0
0.565884,0,0,0,0
0.567436,0,0,0,0
0.568987,0,0,0,0
0.570536,0,0,0,0
0.572102,0,0,0,0
0.573652,0,0,0,0
0.575200,0,0,0,0
0.576756,0,0,0,0
0.578349,0,0,0,0
0.579903,0,0,0,0
0.581454,0,0,0,0
