elapsed_s,TSE_BE_CLIP_PLANES,TSE_BE_EMPTY_BBOX_KILLED_PRIM,TSE_BE_ST1_VP_PARAMS_CACHE_MISS,TSE_BE_ST2_VPORT_VP_PARAMS_CACHE_MISS
0.621530,0,0,0,0
0.622886,0,0,0,0
0.624241,0,0,0,0
0.625595,0,0,0,0
0.626948,0,0,0,0
0.628301,0,0,0,0
0.629662,0,0,0,0
0.631015,0,0,0,0
0.632370,0,0,0,0
0.633724,0,0,0,0
0.635079,0,0,0,0
0.636434,0,0,0,0
0.637825,0,0,0,0
0.639240,0,0,0,0
0.640655,0,0,0,0
0.642066,0,0,0,0
0.643476,0,0,0,0
0.644790,0,0,0,0
0.646201,0,0,0,0
0.647611,0,0,0,0
0.648984,0,0,0,0
0.650349,0,0,0,0
0.651764,0,0,0,0
0.653206,0,0,0,0
0.654573,0,0,0,0
0.655990,0,0,0,0
0.657402,0,0,0,0
0.658812,0,0,0,0
0.660224,0,0,0,0
0.661640,0,0,0,0
0.663013,0,0,0,0
0.664437,0,0,0,0
0.665809,0,0,0,0
0.667063,0,0,0,0
0.668474,0,0,0,0
0.669741,0,0,0,0
0.671103,0,0,0,0
0.672552,0,0,0,0
0.673970,0,0,0,0
0.675357,0,0,0,0
0.677032,0,0,0,0
0.678503,0,0,0,0
0.679890,0,0,0,0
0.681277,0,0,0,0
0.682661,0,0,0,0
