elapsed_s,TSE_VP0_TRANSFORM_WORKING_CYCLE_L2,TSE_VP1_TRANSFORM_WORKING_CYCLE_L2,TSE_VP2_TRANSFORM_WORKING_CYCLE_L2,TSE_VERTEX_GEN_WORKING_CYCLE_L1
0.356985,0,0,0,0
0.358642,0,0,0,0
0.360191,0,0,0,0
0.361743,0,0,0,0
0.363336,0,0,0,0
0.364886,0,0,0,0
0.366441,0,0,0,0
0.368003,0,0,0,0
0.369556,0,0,0,0
0.371105,0,0,0,0
0.372534,0,0,0,0
0.374062,0,0,0,0
0.375612,0,0,0,0
0.377164,0,0,0,0
0.378770,0,0,0,0
0.380319,0,0,0,0
0.381869,0,0,0,0
0.383907,0,0,0,0
0.385440,0,0,0,0
0.386843,0,0,0,0
0.388224,0,0,0,0
0.389612,0,0,0,0
0.390992,0,0,0,0
0.392369,0,0,0,0
0.393749,0,0,0,0
0.395172,0,0,0,0
0.396549,0,0,0,0
0.397928,0,0,0,0
0.399307,0,0,0,0
0.400693,0,0,0,0
0.402203,0,0,0,0
0.403580,0,0,0,0
0.404956,0,0,0,0
0.406308,0,0,0,0
0.407685,0,0,0,0
0.409095,0,0,0,0
0.410478,0,0,0,0
0.411896,0,0,0,0
0.413249,0,0,0,0
0.414603,0,0,0,0
0.415955,0,0,0,0
0.417308,0,0,0,0
0.418663,0,0,0,0
0.420017,0,0,0,0
0.421372,0,0,0,0
0.422733,0,0,0,0
0.424087,0,0,0,0
0.425443,0,0,0,0
0.426835,0,0,0,0
0.428249,0,0,0,0
0.429659,0,0,0,0
0.431069,0,0,0,0
0.432480,0,0,0,0
0.433893,0,0,0,0
0.435304,0,0,0,0
0.436714,0,0,0,0
0.438160,0,0,0,0
0.439527,0,0,0,0
0.440942,0,0,0,0
0.442316,0,0,0,0
0.443604,0,0,0,0
0.445012,0,0,0,0
0.446410,0,0,0,0
0.447811,0,0,0,0
0.449403,0,0,0,0
0.450884,0,0,0,0
0.452274,0,0,0,0
0.453790,0,0,0,0
