csv_path,group,chunk,n_rows,n_counters,n_regions_detected,expected_regions,region_ok
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/09_UCHE/UCHE_chunk009.csv,UCHE,9,2491,11,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/10_TP/TP_chunk001.csv,TP,1,2498,12,2,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/10_TP/TP_chunk002.csv,TP,2,2486,12,2,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/10_TP/TP_chunk003.csv,TP,3,2489,12,1,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/10_TP/TP_chunk004.csv,TP,4,2483,12,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/10_TP/TP_chunk005.csv,TP,5,2460,12,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/10_TP/TP_chunk006.csv,TP,6,2480,12,3,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/10_TP/TP_chunk007.csv,TP,7,2483,12,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/10_TP/TP_chunk008.csv,TP,8,2482,12,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/10_TP/TP_chunk009.csv,TP,9,2479,12,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/10_TP/TP_chunk010.csv,TP,10,2469,12,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/10_TP/TP_chunk011.csv,TP,11,2474,12,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/10_TP/TP_chunk012.csv,TP,12,2493,11,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/11_SP/SP_chunk001.csv,SP,1,2396,24,1,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/11_SP/SP_chunk002.csv,SP,2,2391,24,2,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/11_SP/SP_chunk003.csv,SP,3,2388,24,1,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/11_SP/SP_chunk004.csv,SP,4,2402,24,2,5,False
