elapsed_s,TSE_CLIP_VP_FMUL_4_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_5_WORKING_CYCLE_L3,TSE_CLIP_VP_FADD_WORKING_CYCLE_L2,TSE_CLIP_VP_FADD_0_WORKING_CYCLE_L3
1.299137,0,0,0,0
1.300687,0,0,0,0
1.302127,0,0,0,0
1.303653,0,0,0,0
1.305204,0,0,0,0
1.306756,0,0,0,0
1.308308,0,0,0,0
1.309858,0,0,0,0
1.311452,0,0,0,0
1.313018,0,0,0,0
1.314571,0,0,0,0
1.316123,0,0,0,0
1.317673,0,0,0,0
1.319225,0,0,0,0
1.320777,0,0,0,0
1.322330,0,0,0,0
1.323893,0,0,0,0
1.325443,0,0,0,0
1.327039,0,0,0,0
1.328591,0,0,0,0
1.330141,0,0,0,0
1.331691,0,0,0,0
1.333232,0,0,0,0
1.334666,0,0,0,0
1.336184,0,0,0,0
1.337840,0,0,0,0
1.339391,0,0,0,0
1.340941,0,0,0,0
1.342495,0,0,0,0
1.344080,0,0,0,0
1.345517,0,0,0,0
1.346909,0,0,0,0
1.348422,0,0,0,0
1.349902,0,0,0,0
1.351316,0,0,0,0
1.352833,0,0,0,0
1.354492,0,0,0,0
1.355925,0,0,0,0
1.357440,0,0,0,0
1.358905,0,0,0,0
1.360430,0,0,0,0
1.361981,0,0,0,0
1.363538,0,0,0,0
1.365089,0,0,0,0
1.366658,0,0,0,0
1.368211,0,0,0,0
1.369762,0,0,0,0
1.371315,0,0,0,0
1.372868,0,0,0,0
1.374422,0,0,0,0
1.376019,0,0,0,0
1.377585,0,0,0,0
1.379138,0,0,0,0
1.380691,0,0,0,0
1.382242,0,0,0,0
1.383728,0,0,0,0
1.385120,0,0,0,0
1.386641,0,0,0,0
1.388206,0,0,0,0
1.389757,0,0,0,0
1.391355,0,0,0,0
1.392908,0,0,0,0
1.394462,0,0,0,0
1.396015,0,0,0,0
1.397565,0,0,0,0
1.399130,0,0,0,0
1.400683,0,0,0,0
1.402235,0,0,0,0
1.403835,0,0,0,0
1.405386,0,0,0,0
1.406985,0,0,0,0
1.408539,0,0,0,0
1.409978,0,0,0,0
1.411550,0,0,0,0
1.413101,0,0,0,0
1.414656,0,0,0,0
1.416209,0,0,0,0
1.417761,0,0,0,0
1.419314,0,0,0,0
1.420878,0,0,0,0
1.422433,0,0,0,0
1.424028,0,0,0,0
1.425531,0,0,0,0
1.427061,0,0,0,0
1.428615,0,0,0,0
1.430167,0,0,0,0
1.431740,0,0,0,0
1.433291,0,0,0,0
1.434846,0,0,0,0
1.436399,0,0,0,0
1.437952,0,0,0,0
1.439457,0,0,0,0
1.440980,0,0,0,0
1.442549,0,0,0,0
1.444103,0,0,0,0
1.445656,0,0,0,0
1.447209,0,0,0,0
1.448755,0,0,0,0
1.450368,0,0,0,0
1.451921,0,0,0,0
1.453484,0,0,0,0
1.455082,0,0,0,0
1.456634,0,0,0,0
1.458185,0,0,0,0
1.459742,0,0,0,0
1.461293,0,0,0,0
1.462847,0,0,0,0
1.464412,0,0,0,0
1.465964,0,0,0,0
1.467642,0,0,0,0
1.470132,0,0,0,0
1.471861,0,0,0,0
1.473258,0,0,0,0
1.474666,0,0,0,0
1.476056,0,0,0,0
1.477445,0,0,0,0
1.478835,0,0,0,0
1.480352,0,0,0,0
1.481902,0,0,0,0
1.483326,0,0,0,0
1.484858,0,0,0,0
1.486411,0,0,0,0
1.488010,0,0,0,0
1.489561,0,0,0,0
1.491115,0,0,0,0
1.492667,0,0,0,0
1.494218,0,0,0,0
1.495602,0,0,0,0
1.496993,0,0,0,0
1.498514,0,0,0,0
1.500066,0,0,0,0
1.501617,0,0,0,0
1.503213,0,0,0,0
1.504766,0,0,0,0
1.506332,0,0,0,0
1.507884,0,0,0,0
1.509447,0,0,0,0
1.510981,0,0,0,0
1.512381,0,0,0,0
1.513901,0,0,0,0
1.515324,0,0,0,0
1.516859,0,0,0,0
1.518415,0,0,0,0
1.520012,0,0,0,0
1.521564,0,0,0,0
1.523118,0,0,0,0
1.524663,0,0,0,0
1.526208,0,0,0,0
1.527725,0,0,0,0
1.529156,0,0,0,0
1.530655,0,0,0,0
1.532044,0,0,0,0
1.533432,0,0,0,0
1.534872,0,0,0,0
1.536392,0,0,0,0
1.537958,0,0,0,0
1.539605,0,0,0,0
1.541156,0,0,0,0
1.542720,0,0,0,0
1.544277,0,0,0,0
1.545827,0,0,0,0
1.547381,0,0,0,0
1.548820,0,0,0,0
1.550410,0,0,0,0
1.551971,0,0,0,0
1.553511,0,0,0,0
1.555023,0,0,0,0
1.556551,0,0,0,0
1.558101,0,0,0,0
1.559719,0,0,0,0
1.561271,0,0,0,0
1.562823,0,0,0,0
1.564375,0,0,0,0
1.565931,0,0,0,0
1.567419,0,0,0,0
1.568938,0,0,0,0
1.570380,0,0,0,0
1.571903,0,0,0,0
1.573454,0,0,0,0
1.575007,0,0,0,0
