elapsed_s,TSE_CLIP_VP_FADD_1_WORKING_CYCLE_L3,TSE_CLIP_VP_FADD_2_WORKING_CYCLE_L3,TSE_CLIP_VP_RCP_WORKING_CYCLE_L2,TSE_VP_TRANSFORM_WORKING_CYCLE_L1
0.811924,0,0,0,0
0.814232,0,0,0,0
0.815673,0,0,0,0
0.817055,0,0,0,0
0.818507,0,0,0,0
0.819899,0,0,0,0
0.821465,0,0,0,0
0.823014,0,0,0,0
0.824621,0,0,0,0
0.826170,0,0,0,0
0.827721,0,0,0,0
0.829271,0,0,0,0
0.830833,0,0,0,0
0.832440,0,0,0,0
0.833990,0,0,0,0
0.835542,0,0,0,0
0.837092,0,0,0,0
0.838642,0,0,0,0
0.840235,0,0,0,0
0.841797,0,0,0,0
0.843345,0,0,0,0
0.844886,0,0,0,0
0.846427,0,0,0,0
0.847844,0,0,0,0
0.849362,0,0,0,0
0.851646,0,0,0,0
0.853764,0,0,0,0
0.855165,0,0,0,0
0.856758,0,0,0,0
0.858140,0,0,0,0
0.859522,0,0,0,0
0.860936,0,0,0,0
0.862374,0,0,0,0
0.864220,0,0,0,0
0.865605,0,0,0,0
0.866985,0,0,0,0
0.868382,0,0,0,0
0.869768,0,0,0,0
0.871154,0,0,0,0
0.872541,0,0,0,0
0.873989,0,0,0,0
0.875675,0,0,0,0
0.877076,0,0,0,0
0.878471,0,0,0,0
0.879867,0,0,0,0
0.881254,0,0,0,0
0.882641,0,0,0,0
0.885435,0,0,0,0
0.886885,0,0,0,0
0.888464,0,0,0,0
0.890305,0,0,0,0
0.891929,0,0,0,0
0.893407,0,0,0,0
0.894809,0,0,0,0
0.896196,0,0,0,0
0.897591,0,0,0,0
0.898973,0,0,0,0
0.900386,0,0,0,0
0.901773,0,0,0,0
0.903291,0,0,0,0
0.904887,0,0,0,0
0.906437,0,0,0,0
0.908009,0,0,0,0
0.909561,0,0,0,0
0.911110,0,0,0,0
0.912666,0,0,0,0
0.914215,0,0,0,0
0.915768,0,0,0,0
0.917319,0,0,0,0
0.918882,0,0,0,0
0.920524,0,0,0,0
0.922073,0,0,0,0
0.923625,0,0,0,0
0.925175,0,0,0,0
0.926724,0,0,0,0
0.928275,0,0,0,0
0.929716,0,0,0,0
0.931240,0,0,0,0
0.932792,0,0,0,0
0.934341,0,0,0,0
0.935938,0,0,0,0
0.937491,0,0,0,0
0.939039,0,0,0,0
0.940605,0,0,0,0
0.942147,0,0,0,0
0.943622,0,0,0,0
0.945147,0,0,0,0
0.946695,0,0,0,0
0.948245,0,0,0,0
0.949796,0,0,0,0
0.951361,0,0,0,0
0.952954,0,0,0,0
0.954501,0,0,0,0
0.956051,0,0,0,0
0.957601,0,0,0,0
0.959149,0,0,0,0
0.960586,0,0,0,0
0.961988,0,0,0,0
0.963507,0,0,0,0
0.965056,0,0,0,0
0.966604,0,0,0,0
