elapsed_s,TSE_DET_WORKING_CYCLE_L1,TSE_BBOX_WORKING_CYCLE_L1,TSE_CULLING_WORKING_CYCLE_L1,TSE_SETUP_WORKING_CYCLE_L1
0.907769,0,0,0,0
0.909319,0,0,0,0
0.910867,0,0,0,0
0.912419,0,0,0,0
0.913967,0,0,0,0
0.915531,0,0,0,0
0.917080,0,0,0,0
0.918628,0,0,0,0
0.920268,0,0,0,0
0.921817,0,0,0,0
0.923380,0,0,0,0
0.924824,0,0,0,0
0.926224,0,0,0,0
0.927615,0,0,0,0
0.929134,0,0,0,0
0.930683,0,0,0,0
0.932238,0,0,0,0
0.933787,0,0,0,0
0.935383,0,0,0,0
0.936948,0,0,0,0
0.938498,0,0,0,0
0.940048,0,0,0,0
0.941599,0,0,0,0
0.943151,0,0,0,0
0.944702,0,0,0,0
0.946251,0,0,0,0
0.947814,0,0,0,0
0.949365,0,0,0,0
0.950914,0,0,0,0
0.952490,0,0,0,0
0.954038,0,0,0,0
0.955590,0,0,0,0
0.957141,0,0,0,0
0.958580,0,0,0,0
0.960102,0,0,0,0
0.961653,0,0,0,0
0.963206,0,0,0,0
0.964758,0,0,0,0
0.966307,0,0,0,0
0.967902,0,0,0,0
0.969350,0,0,0,0
0.970870,0,0,0,0
0.972424,0,0,0,0
0.973974,0,0,0,0
0.975527,0,0,0,0
0.977078,0,0,0,0
0.978628,0,0,0,0
0.980269,0,0,0,0
0.981818,0,0,0,0
0.983414,0,0,0,0
0.984966,0,0,0,0
0.986515,0,0,0,0
0.988066,0,0,0,0
0.989608,0,0,0,0
0.991114,0,0,0,0
0.992592,0,0,0,0
0.993984,0,0,0,0
0.995352,0,0,0,0
0.996741,0,0,0,0
0.998169,0,0,0,0
0.999847,0,0,0,0
1.001234,0,0,0,0
1.002617,0,0,0,0
1.004100,0,0,0,0
1.005479,0,0,0,0
1.006857,0,0,0,0
1.008278,0,0,0,0
1.009658,0,0,0,0
1.011067,0,0,0,0
1.012465,0,0,0,0
1.013851,0,0,0,0
1.015241,0,0,0,0
1.016796,0,0,0,0
1.018346,0,0,0,0
