elapsed_s,PC_S_DS_INVOCATIONS,PC_S_VS_INVOCATIONS,PC_S_GS_INVOCATIONS,PC_S_DS_PRIMITIVES,PC_S_TESS_BUSY_CYCLES,PC_S_TESS_WORKING_CYCLES,PC_S_TESS_STALL_CYCLES_PC,PC_S_TESS_STARVE_CYCLES_PC
0.533037,0,0,0,0,0,0,0,3865929
0.534339,0,0,0,0,0,0,0,3976059
0.535546,0,0,0,0,0,0,0,3959472
0.536942,0,0,0,0,0,0,0,4385514
0.538233,0,0,0,0,0,0,0,4061097
0.539516,0,0,0,0,0,0,0,4028604
0.540794,0,0,0,0,0,0,0,4025649
0.542070,0,0,0,0,0,0,0,4019994
0.543383,0,0,0,0,0,0,0,4139103
0.544672,0,0,0,0,0,0,0,4059294
0.545954,0,0,0,0,0,0,0,4046196
0.547240,0,0,0,0,0,0,0,4046364
0.548520,0,0,0,0,0,0,0,4026885
0.549795,0,0,0,0,0,0,0,4026336
0.551086,0,0,0,0,0,0,0,4087002
0.552379,0,0,0,0,0,0,0,4052460
0.553661,0,0,0,0,0,0,0,4028097
0.554952,0,0,0,0,0,0,0,4064379
0.556229,0,0,0,0,0,0,0,4024320
0.557505,0,0,0,0,0,0,0,4019442
0.558816,0,0,0,0,0,0,0,4128600
0.560092,0,0,0,0,0,0,0,4016253
0.561367,0,0,0,0,0,0,0,4126569
0.562679,0,0,0,0,0,0,0,4023108
0.563954,0,0,0,0,0,0,0,4017330
0.565238,0,0,0,0,0,0,0,4045326
0.566515,0,0,0,0,0,0,0,4022073
0.567791,0,0,0,0,0,0,0,4021137
0.569067,0,0,0,0,0,0,0,4018518
0.570344,0,0,0,0,0,0,0,4022172
0.571619,0,0,0,0,0,0,0,4018473
0.572895,0,0,0,0,0,0,0,4016079
0.574170,0,0,0,0,0,0,0,4020285
0.575489,0,0,0,0,0,0,0,4163034
0.576772,0,0,0,0,0,0,0,4038897
0.578244,0,0,0,0,0,0,0,4772961
0.579580,0,0,0,0,0,0,0,4066860
0.580860,0,0,0,0,0,0,0,4027083
0.582260,0,0,0,0,0,0,0,5030595
0.583747,0,0,0,0,0,0,0,4071057
0.585227,0,0,0,0,0,0,0,4901733
0.586663,0,0,0,0,0,0,0,4678812
0.588049,0,0,0,0,0,0,0,3981015
0.589339,0,0,0,0,0,0,0,4058484
0.590620,0,0,0,0,0,0,0,4140951
0.591940,0,0,0,0,0,0,0,4091106
0.593239,0,0,0,0,0,0,0,4048779
0.594520,0,0,0,0,0,0,0,4031844
0.595798,0,0,0,0,0,0,0,4025358
0.597086,0,0,0,0,0,0,0,4057794
0.598367,0,0,0,0,0,0,0,4031949
0.599680,0,0,0,0,0,0,0,4138299
0.600957,0,0,0,0,0,0,0,4019910
0.602233,0,0,0,0,0,0,0,4042452
0.603684,0,0,0,0,0,0,0,4621653
0.604998,0,0,0,0,0,0,0,4077057
0.606285,0,0,0,0,0,0,0,4048806
0.607583,0,0,0,0,0,0,0,4085082
0.608862,0,0,0,0,0,0,0,4026378
0.610138,0,0,0,0,0,0,0,4203180
0.611498,0,0,0,0,0,0,0,4101861
0.612775,0,0,0,0,0,0,0,4021107
0.614051,0,0,0,0,0,0,0,4019826
0.615366,0,0,0,0,0,0,0,4142046
0.616643,0,0,0,0,0,0,0,4019937
0.617928,0,0,0,0,0,0,0,4051581
0.619207,0,0,0,0,0,0,0,4026660
0.620483,0,0,0,0,0,0,0,4019907
0.621759,0,0,0,0,0,0,0,4018809
