elapsed_s,HLSQ_BV2LPAC_SWITCH_CNT,HLSQ_LPAC2BV_SWITCH_CYC,HLSQ_BV2LPAC_SWITCH_CYC,HLSQ_VSDP_BV2BR_SWITCH_CYC,HLSQ_VS_SP_HCTX_ACTIVE_CNT,HLSQ_FS_SP_HCTX_ACTIVE_CNT
0.618577,0,0,0,0,0,0
0.622736,0,0,0,0,0,0
0.624124,0,0,0,0,0,0
0.625529,0,0,0,0,0,0
0.627109,0,0,0,0,0,0
0.628511,0,0,0,0,0,0
0.629867,0,0,0,0,0,0
0.631219,0,0,0,0,0,0
0.632569,0,0,0,0,0,0
0.633937,0,0,0,0,0,0
0.635340,0,0,0,0,0,0
0.636866,0,0,0,0,0,0
0.638425,0,0,0,0,0,0
0.639923,0,0,0,0,0,0
0.641454,0,0,0,0,0,0
0.643061,0,0,0,0,0,0
0.644621,0,0,0,0,0,0
0.646067,0,0,0,0,0,0
0.647600,0,0,0,0,0,0
0.649160,0,0,0,0,0,0
0.650720,0,0,0,0,0,0
0.652321,0,0,0,0,0,0
0.653880,0,0,0,0,0,0
0.655442,0,0,0,0,0,0
0.657013,0,0,0,0,0,0
0.658572,0,0,0,0,0,0
0.660136,0,0,0,0,0,0
0.661695,0,0,0,0,0,0
0.663258,0,0,0,0,0,0
0.664818,0,0,0,0,0,0
0.666419,0,0,0,0,0,0
0.668058,0,0,0,0,0,0
0.669617,0,0,0,0,0,0
0.671179,0,0,0,0,0,0
0.672738,0,0,0,0,0,0
0.674339,0,0,0,0,0,0
0.675898,0,0,0,0,0,0
0.677459,0,0,0,0,0,0
0.679035,0,0,0,0,0,0
0.680595,0,0,0,0,0,0
0.682195,0,0,0,0,0,0
0.683627,0,0,0,0,0,0
0.685165,0,0,0,0,0,0
0.686723,0,0,0,0,0,0
0.688360,0,0,0,0,0,0
0.689975,0,0,0,0,0,0
0.691537,0,0,0,0,0,0
0.693098,0,0,0,0,0,0
0.694657,0,0,0,0,0,0
0.696223,0,0,0,0,0,0
0.697825,0,0,0,0,0,0
0.699386,0,0,0,0,0,0
0.700836,0,0,0,0,0,0
0.702367,0,0,0,0,0,0
0.703926,0,0,0,0,0,0
0.705484,0,0,0,0,0,0
0.707634,0,0,0,0,0,0
0.709034,0,0,0,0,0,0
0.710425,0,0,0,0,0,0
0.711825,0,0,0,0,0,0
0.713215,0,0,0,0,0,0
0.714653,0,0,0,0,0,0
0.716096,0,0,0,0,0,0
0.717460,0,0,0,0,0,0
0.718809,0,0,0,0,0,0
0.720173,0,0,0,0,0,0
0.721538,0,0,0,0,0,0
0.723072,0,0,0,0,0,0
0.724421,0,0,0,0,0,0
0.725770,0,0,0,0,0,0
0.727119,0,0,0,0,0,0
0.728467,0,0,0,0,0,0
0.729843,0,0,0,0,0,0
0.731262,0,0,0,0,0,0
0.732680,0,0,0,0,0,0
0.734100,0,0,0,0,0,0
0.735508,0,0,0,0,0,0
0.736932,0,0,0,0,0,0
0.738350,0,0,0,0,0,0
0.739788,0,0,0,0,0,0
0.741178,0,0,0,0,0,0
0.742571,0,0,0,0,0,0
0.743964,0,0,0,0,0,0
0.745386,0,0,0,0,0,0
0.746782,0,0,0,0,0,0
0.749800,0,0,0,0,0,0
0.751203,0,0,0,0,0,0
0.752604,0,0,0,0,0,0
0.754053,0,0,0,0,0,0
0.755487,0,0,0,0,0,0
0.756899,0,0,0,0,0,0
0.758263,0,0,0,0,0,0
0.759618,0,0,0,0,0,0
0.760976,0,0,0,0,0,0
0.762352,0,0,0,0,0,0
0.763755,0,0,0,0,0,0
0.765149,0,0,0,0,0,0
0.766552,0,0,0,0,0,0
0.767956,0,0,0,0,0,0
0.769348,0,0,0,0,0,0
0.770871,0,0,0,0,0,0
0.772298,0,0,0,0,0,0
0.773693,0,0,0,0,0,0
0.775090,0,0,0,0,0,0
0.776487,0,0,0,0,0,0
0.777940,0,0,0,0,0,0
0.779336,0,0,0,0,0,0
0.780732,0,0,0,0,0,0
0.782126,0,0,0,0,0,0
0.783914,0,0,0,0,0,0
0.785307,0,0,0,0,0,0
0.786740,0,0,0,0,0,0
0.788138,0,0,0,0,0,0
0.789525,0,0,0,0,0,0
0.790927,0,0,0,0,0,0
0.792315,0,0,0,0,0,0
0.793747,0,0,0,0,0,0
0.795412,0,0,0,0,0,0
0.796801,0,0,0,0,0,0
0.798201,0,0,0,0,0,0
0.799590,0,0,0,0,0,0
0.800978,0,0,0,0,0,0
0.802367,0,0,0,0,0,0
0.803755,0,0,0,0,0,0
0.805147,0,0,0,0,0,0
0.806537,0,0,0,0,0,0
0.808458,0,0,0,0,0,0
0.809893,0,0,0,0,0,0
0.811286,0,0,0,0,0,0
0.812813,0,0,0,0,0,0
0.814372,0,0,0,0,0,0
0.815935,0,0,0,0,0,0
0.817496,0,0,0,0,0,0
0.819559,0,0,0,0,0,0
0.821135,0,0,0,0,0,0
0.822696,0,0,0,0,0,0
0.824263,0,0,0,0,0,0
0.825865,0,0,0,0,0,0
0.827428,0,0,0,0,0,0
0.828990,0,0,0,0,0,0
0.830550,0,0,0,0,0,0
0.832129,0,0,0,0,0,0
0.833690,0,0,0,0,0,0
0.835253,0,0,0,0,0,0
0.836816,0,0,0,0,0,0
0.838381,0,0,0,0,0,0
0.839942,0,0,0,0,0,0
0.841495,0,0,0,0,0,0
0.842979,0,0,0,0,0,0
0.844512,0,0,0,0,0,0
0.846073,0,0,0,0,0,0
