elapsed_s,PC_S_STALL_CYCLES_TESS,PC_S_STALL_CYCLES_VFD_ONLY,PC_S_STALL_CYCLES_VPC_ONLY,PC_S_VPC_PRIMITIVES,PC_S_VERTEX_HITS,PC_S_IA_VERTICES,PC_S_IA_PRIMITIVES,PC_S_HS_INVOCATIONS
0.691543,0,0,0,0,0,0,0,0
0.692952,0,0,0,0,0,0,0,0
0.694362,0,0,0,0,0,0,0,0
0.695770,0,0,0,0,0,0,0,0
0.697185,0,0,0,0,0,0,0,0
0.698615,0,0,0,0,0,0,0,0
0.700021,0,0,0,0,0,0,0,0
0.701750,0,0,0,0,0,0,0,0
0.703197,0,0,0,0,0,0,0,0
0.704598,0,0,0,0,0,0,0,0
0.706078,0,0,0,0,0,0,0,0
0.707480,0,0,0,0,0,0,0,0
0.712729,0,0,0,0,0,0,0,0
0.714136,0,0,0,0,0,0,0,0
0.715539,0,0,0,0,0,0,0,0
0.716943,0,0,0,0,0,0,0,0
0.718480,0,0,0,0,0,0,0,0
0.719918,0,0,0,0,0,0,0,0
0.721330,0,0,0,0,0,0,0,0
0.722691,0,0,0,0,0,0,0,0
0.724050,0,0,0,0,0,0,0,0
0.725410,0,0,0,0,0,0,0,0
0.726768,0,0,0,0,0,0,0,0
0.728170,0,0,0,0,0,0,0,0
0.729527,0,0,0,0,0,0,0,0
0.730897,0,0,0,0,0,0,0,0
0.732255,0,0,0,0,0,0,0,0
0.733613,0,0,0,0,0,0,0,0
0.735100,0,0,0,0,0,0,0,0
0.737224,0,0,0,0,0,0,0,0
0.738668,0,0,0,0,0,0,0,0
0.740080,0,0,0,0,0,0,0,0
0.741504,0,0,0,0,0,0,0,0
0.742912,0,0,0,0,0,0,0,0
0.744326,0,0,0,0,0,0,0,0
0.745803,0,0,0,0,0,0,0,0
0.747340,0,0,0,0,0,0,0,0
0.748919,0,0,0,0,0,0,0,0
0.750539,0,0,0,0,0,0,0,0
0.752126,0,0,0,0,0,0,0,0
0.753701,0,0,0,0,0,0,0,0
0.755265,0,0,0,0,0,0,0,0
0.756871,0,0,0,0,0,0,0,0
0.758436,0,0,0,0,0,0,0,0
0.760000,0,0,0,0,0,0,0,0
0.761442,0,0,0,0,0,0,0,0
0.762936,0,0,0,0,0,0,0,0
0.764348,0,0,0,0,0,0,0,0
0.765810,0,0,0,0,0,0,0,0
0.767263,0,0,0,0,0,0,0,0
0.768673,0,0,0,0,0,0,0,0
0.770079,0,0,0,0,0,0,0,0
0.771615,0,0,0,0,0,0,0,0
0.773077,0,0,0,0,0,0,0,0
0.774619,0,0,0,0,0,0,0,0
0.776190,0,0,0,0,0,0,0,0
0.777764,0,0,0,0,0,0,0,0
0.779337,0,0,0,0,0,0,0,0
0.780912,0,0,0,0,0,0,0,0
0.782528,0,0,0,0,0,0,0,0
0.784114,0,0,0,0,0,0,0,0
0.785689,0,0,0,0,0,0,0,0
0.787262,0,0,0,0,0,0,0,0
0.788837,0,0,0,0,0,0,0,0
0.790409,0,0,0,0,0,0,0,0
0.791981,0,0,0,0,0,0,0,0
0.793554,0,0,0,0,0,0,0,0
0.795139,0,0,0,0,0,0,0,0
0.796714,0,0,0,0,0,0,0,0
0.798330,0,0,0,0,0,0,0,0
0.799902,0,0,0,0,0,0,0,0
0.802170,0,0,0,0,0,0,0,0
0.803619,0,0,0,0,0,0,0,0
