elapsed_s,RB_STARVE_CYCLES_CCU,RB_STARVE_CYCLES_Z_PLANE,RB_STARVE_CYCLES_BARY_PLANE,RB_Z_WORKLOAD,RB_HLSQ_ACTIVE,RB_Z_READ,RB_Z_WRITE,RB_C_READ
0.691613,0,0,0,0,0,0,0,0
0.693044,0,0,0,0,0,0,0,0
0.694523,0,0,0,0,0,0,0,0
0.696209,0,0,0,0,0,0,0,0
0.697744,0,0,0,0,0,0,0,0
0.699488,0,0,0,0,0,0,0,0
0.700944,0,0,0,0,0,0,0,0
0.702484,0,0,0,0,0,0,0,0
0.703884,0,0,0,0,0,0,0,0
0.705285,0,0,0,0,0,0,0,0
0.706686,0,0,0,0,0,0,0,0
0.708088,0,0,0,0,0,0,0,0
0.709489,0,0,0,0,0,0,0,0
0.711033,0,0,0,0,0,0,0,0
0.712604,0,0,0,0,0,0,0,0
0.714174,0,0,0,0,0,0,0,0
0.715746,0,0,0,0,0,0,0,0
0.717321,0,0,0,0,0,0,0,0
0.718893,0,0,0,0,0,0,0,0
0.720463,0,0,0,0,0,0,0,0
0.722048,0,0,0,0,0,0,0,0
0.723621,0,0,0,0,0,0,0,0
0.725193,0,0,0,0,0,0,0,0
0.726744,0,0,0,0,0,0,0,0
0.728171,0,0,0,0,0,0,0,0
0.729584,0,0,0,0,0,0,0,0
0.730994,0,0,0,0,0,0,0,0
0.732498,0,0,0,0,0,0,0,0
0.733910,0,0,0,0,0,0,0,0
0.735317,0,0,0,0,0,0,0,0
0.736855,0,0,0,0,0,0,0,0
0.738432,0,0,0,0,0,0,0,0
0.740004,0,0,0,0,0,0,0,0
0.741578,0,0,0,0,0,0,0,0
0.743164,0,0,0,0,0,0,0,0
0.744735,0,0,0,0,0,0,0,0
0.746187,0,0,0,0,0,0,0,0
0.747729,0,0,0,0,0,0,0,0
0.749346,0,0,0,0,0,0,0,0
0.750919,0,0,0,0,0,0,0,0
0.752491,0,0,0,0,0,0,0,0
0.753949,0,0,0,0,0,0,0,0
0.755487,0,0,0,0,0,0,0,0
0.757173,0,0,0,0,0,0,0,0
0.758744,0,0,0,0,0,0,0,0
0.760312,0,0,0,0,0,0,0,0
0.761882,0,0,0,0,0,0,0,0
0.763452,0,0,0,0,0,0,0,0
0.764910,0,0,0,0,0,0,0,0
0.766455,0,0,0,0,0,0,0,0
0.768023,0,0,0,0,0,0,0,0
0.769595,0,0,0,0,0,0,0,0
0.771167,0,0,0,0,0,0,0,0
0.772736,0,0,0,0,0,0,0,0
0.774310,0,0,0,0,0,0,0,0
0.775891,0,0,0,0,0,0,0,0
0.777462,0,0,0,0,0,0,0,0
0.779034,0,0,0,0,0,0,0,0
0.780646,0,0,0,0,0,0,0,0
0.782245,0,0,0,0,0,0,0,0
0.783667,0,0,0,0,0,0,0,0
0.785285,0,0,0,0,0,0,0,0
0.786777,0,0,0,0,0,0,0,0
0.788177,0,0,0,0,0,0,0,0
0.789577,0,0,0,0,0,0,0,0
0.790979,0,0,0,0,0,0,0,0
0.792378,0,0,0,0,0,0,0,0
0.793777,0,0,0,0,0,0,0,0
0.795177,0,0,0,0,0,0,0,0
0.796628,0,0,0,0,0,0,0,0
0.798009,0,0,0,0,0,0,0,0
0.799382,0,0,0,0,0,0,0,0
0.800756,0,0,0,0,0,0,0,0
0.802192,0,0,0,0,0,0,0,0
0.803570,0,0,0,0,0,0,0,0
0.804947,0,0,0,0,0,0,0,0
0.806324,0,0,0,0,0,0,0,0
0.807697,0,0,0,0,0,0,0,0
0.809289,0,0,0,0,0,0,0,0
0.810663,0,0,0,0,0,0,0,0
0.812071,0,0,0,0,0,0,0,0
0.813428,0,0,0,0,0,0,0,0
0.814786,0,0,0,0,0,0,0,0
0.816143,0,0,0,0,0,0,0,0
0.817501,0,0,0,0,0,0,0,0
0.818861,0,0,0,0,0,0,0,0
0.820225,0,0,0,0,0,0,0,0
0.821592,0,0,0,0,0,0,0,0
0.824205,0,0,0,0,0,0,0,0
0.825564,0,0,0,0,0,0,0,0
0.826921,0,0,0,0,0,0,0,0
0.828309,0,0,0,0,0,0,0,0
0.829735,0,0,0,0,0,0,0,0
0.831163,0,0,0,0,0,0,0,0
0.832590,0,0,0,0,0,0,0,0
0.834016,0,0,0,0,0,0,0,0
