group,counter,label,total_all_widths,total_width_first,total_width_last,scaling_ratio_last_over_first,corr_total_vs_width,slope_total_vs_width,total_w128,total_w256,total_w512,total_w1024,total_w2048
SP,SP_ALU_WORKING_CYCLES,flat_or_saturated,1643520.0,1643520.0,0.0,0.0,-0.4766031238193982,-448.7096774193552,1643520.0,0.0,0.0,0.0,0.0
TP,TP_STARVE_CYCLES_UCHE,flat_or_saturated,1461598.0,1461598.0,0.0,0.0,-0.4766031238193982,-399.0417926747315,1461598.0,0.0,0.0,0.0,0.0
SP,SP_WAVE_FETCH_CYCLES,flat_or_saturated,1409167.0,1409167.0,0.0,0.0,-0.4766031238193981,-384.72721354166714,1409167.0,0.0,0.0,0.0,0.0
SP,SP_GPR_WRITE,flat_or_saturated,1366378.0,1366378.0,0.0,0.0,-0.47660312381939823,-373.045068884409,1366378.0,0.0,0.0,0.0,0.0
TP,TP_LATENCY_CYCLES,flat_or_saturated,1256641.0,1256641.0,0.0,0.0,-0.47660312381939823,-343.0849504368282,1256641.0,0.0,0.0,0.0,0.0
CP,CP_PREEMPTION_SWITCH_OUT_TIME,flat_or_saturated,1237574.0,1198334.0,0.0,0.0,-0.48694551772604844,-331.6986307123658,1198334.0,0.0,39240.0,0.0,0.0
SP,SP_FULL_ALU_ADD_INSTRUCTIONS,flat_or_saturated,1182208.0,1182208.0,0.0,0.0,-0.4766031238193981,-322.7634408602152,1182208.0,0.0,0.0,0.0,0.0
SP,SP_ALU_GPR_READ_CYCLES,flat_or_saturated,1111239.0,1111239.0,0.0,0.0,-0.47660312381939823,-303.387663810484,1111239.0,0.0,0.0,0.0,0.0
HLSQ,HLSQ_VS_DATA_WAIT_PROGRAMMING,flat_or_saturated,1099944.0,1099944.0,0.0,0.0,-0.4766031238193982,-300.30393145161315,1099944.0,0.0,0.0,0.0,0.0
SP,SP_WAVE_WAIT_CYCLES,flat_or_saturated,1079808.0,1079808.0,0.0,0.0,-0.47660312381939807,-294.8064516129035,1079808.0,0.0,0.0,0.0,0.0
SP,SP_FULL_ALU_MUL_INSTRUCTIONS,flat_or_saturated,1015808.0,1015808.0,0.0,0.0,-0.47660312381939807,-277.33333333333354,1015808.0,0.0,0.0,0.0,0.0
TP,TP_TP_SP_TRANS,flat_or_saturated,1015808.0,1015808.0,0.0,0.0,-0.47660312381939807,-277.33333333333354,1015808.0,0.0,0.0,0.0,0.0
TP,TP_L1_5_COMPRESS_REQS,flat_or_saturated,954249.0,954249.0,0.0,0.0,-0.4766031238193982,-260.52665070564535,954249.0,0.0,0.0,0.0,0.0
