elapsed_s,RBBM_US_VSC_BUSY,RBBM_US_UCHE_BUSY,RBBM_US_HLSQ_BUSY,RBBM_S_HLSQ_BUSY
1.326678,0,0,104,0
1.328230,0,0,104,0
1.329785,0,0,104,0
1.331339,0,0,104,0
1.332890,0,0,104,0
1.334444,0,0,104,0
1.336010,0,0,104,0
1.337562,0,0,104,0
1.339120,0,0,104,0
1.340673,0,0,104,0
1.342228,0,0,104,0
1.343782,0,0,104,0
1.345334,0,0,104,0
1.346945,0,0,104,0
1.348500,0,0,104,0
1.350055,0,0,104,0
1.351607,0,0,104,0
1.353159,0,0,104,0
1.354756,0,0,104,0
1.356309,0,0,104,0
1.357821,0,0,104,0
1.359408,0,0,104,0
1.360960,0,0,104,0
1.362558,0,0,104,0
1.364113,0,0,104,0
1.365664,0,0,104,0
1.367222,0,0,104,0
1.371315,0,0,104,0
1.372672,0,0,104,0
1.374063,0,0,104,0
1.375406,0,0,104,0
1.376746,0,0,104,0
1.378086,0,0,104,0
1.379520,0,0,104,0
1.380914,0,0,104,0
1.382317,0,0,104,0
1.383835,0,0,104,0
1.385718,0,0,104,0
1.387316,0,0,104,0
1.388870,0,0,104,0
1.390427,0,0,104,0
1.391974,0,0,104,0
1.393532,0,0,104,0
1.395073,0,0,104,0
1.396506,0,0,104,0
1.397899,0,0,104,0
1.399551,0,0,104,0
1.400944,0,0,104,0
1.402335,0,0,104,0
1.403729,0,0,104,0
1.405113,0,0,104,0
1.406498,0,0,104,0
1.407887,0,0,104,0
1.409403,0,0,104,0
1.410873,0,0,104,0
1.412396,0,0,104,0
1.413965,0,0,104,0
1.415519,0,0,104,0
1.417071,0,0,104,0
1.418669,0,0,104,0
1.420222,0,0,104,0
1.421842,0,0,104,0
1.423462,0,0,104,0
1.425026,0,0,104,0
1.426625,0,0,104,0
1.428178,0,0,104,0
1.429731,0,0,104,0
1.431304,0,0,104,0
1.432856,0,0,104,0
1.434347,0,0,104,0
1.435911,0,0,104,0
1.437462,0,0,104,0
1.439100,0,0,104,0
1.440652,0,0,104,0
1.442251,0,0,104,0
1.443805,0,0,104,0
1.445356,0,0,104,0
1.446795,0,0,104,0
1.448319,0,0,104,0
1.449873,0,0,104,0
1.451472,0,0,104,0
1.453023,0,0,104,0
1.454578,0,0,104,0
1.456018,0,0,104,0
1.457560,0,0,104,0
1.459121,0,0,104,0
1.460674,0,0,104,0
1.462231,0,0,104,0
1.463787,0,0,104,0
1.465341,0,0,104,0
1.466941,0,0,104,0
1.468510,0,0,104,0
1.470067,0,0,104,0
1.471623,0,0,104,0
1.473176,0,0,104,0
1.474775,0,0,104,0
1.476331,0,0,104,0
1.477889,0,0,104,0
1.479459,0,0,104,0
1.481013,0,0,104,0
1.482615,0,0,104,0
1.484170,0,0,104,0
1.485723,0,0,104,0
1.487160,0,0,104,0
1.488556,0,0,104,0
1.489958,0,0,104,0
1.491522,0,0,104,0
1.493075,0,0,104,0
1.494630,0,0,104,0
1.496186,0,0,104,0
1.497739,0,0,104,0
1.499369,0,0,104,0
1.500937,0,0,104,0
1.502493,0,0,104,0
1.504054,0,0,104,0
1.505608,0,0,104,0
1.507169,0,0,104,0
1.508724,0,0,104,0
1.510281,0,0,104,0
1.511850,0,0,104,0
1.513403,0,0,104,0
1.514874,0,0,104,0
1.516399,0,0,104,0
1.517957,0,0,104,0
1.519512,0,0,104,0
1.521067,0,0,104,0
