elapsed_s,VPC_FE_TSE_FE_TRANSACTIONS,VPC_FE_STALL_CYCLES_CCU,VPC_FE_NUM_WM_HIT,VPC_FE_STALL_DQ_WACK,VPC_FE_STALL_CYCLES_PRG_END_FE,VPC_FE_STALL_CYCLES_PRG_END_VPCVS
0.143602,0,0,0,0,0,0
0.144992,0,0,0,0,0,0
0.146383,0,0,0,0,0,0
0.147772,0,0,0,0,0,0
0.149162,0,0,0,0,0,0
0.150644,0,0,0,0,0,0
0.152034,0,0,0,0,0,0
0.153424,0,0,0,0,0,0
0.154902,0,0,0,0,0,0
0.156267,0,0,0,0,0,0
0.157631,0,0,0,0,0,0
0.158996,0,0,0,0,0,0
0.160361,0,0,0,0,0,0
0.162350,0,0,0,0,0,0
0.163716,0,0,0,0,0,0
0.165080,0,0,0,0,0,0
0.166464,0,0,0,0,0,0
0.167826,0,0,0,0,0,0
0.169153,0,0,0,0,0,0
0.170576,0,0,0,0,0,0
0.171871,0,0,0,0,0,0
0.173159,0,0,0,0,0,0
0.174446,0,0,0,0,0,0
0.175733,0,0,0,0,0,0
0.177019,0,0,0,0,0,0
0.178355,0,0,0,0,0,0
0.179700,0,0,0,0,0,0
0.181038,0,0,0,0,0,0
0.182383,0,0,0,0,0,0
0.183718,0,0,0,0,0,0
0.185052,0,0,0,0,0,0
0.186388,0,0,0,0,0,0
0.187729,0,0,0,0,0,0
0.189137,0,0,0,0,0,0
0.190495,0,0,0,0,0,0
0.191906,0,0,0,0,0,0
0.193272,0,0,0,0,0,0
0.195324,0,0,0,0,0,0
0.196752,0,0,0,0,0,0
0.198182,0,0,0,0,0,0
0.199609,0,0,0,0,0,0
0.201042,0,0,0,0,0,0
0.202520,0,0,0,0,0,0
0.204066,0,0,0,0,0,0
0.205628,0,0,0,0,0,0
0.207190,0,0,0,0,0,0
0.208750,0,0,0,0,0,0
0.210310,0,0,0,0,0,0
0.211871,0,0,0,0,0,0
0.213429,0,0,0,0,0,0
0.215078,0,0,0,0,0,0
0.216483,0,0,0,0,0,0
0.217928,0,0,0,0,0,0
0.219327,0,0,0,0,0,0
0.220723,0,0,0,0,0,0
0.222124,0,0,0,0,0,0
0.223641,0,0,0,0,0,0
0.225207,0,0,0,0,0,0
0.226773,0,0,0,0,0,0
0.228330,0,0,0,0,0,0
0.229890,0,0,0,0,0,0
0.231450,0,0,0,0,0,0
0.233007,0,0,0,0,0,0
0.234609,0,0,0,0,0,0
0.236183,0,0,0,0,0,0
0.237743,0,0,0,0,0,0
0.239301,0,0,0,0,0,0
0.240859,0,0,0,0,0,0
0.242419,0,0,0,0,0,0
0.243978,0,0,0,0,0,0
0.245567,0,0,0,0,0,0
0.247144,0,0,0,0,0,0
0.248703,0,0,0,0,0,0
0.250310,0,0,0,0,0,0
0.251872,0,0,0,0,0,0
0.253432,0,0,0,0,0,0
0.255013,0,0,0,0,0,0
0.256416,0,0,0,0,0,0
0.257826,0,0,0,0,0,0
0.259354,0,0,0,0,0,0
0.260914,0,0,0,0,0,0
0.262475,0,0,0,0,0,0
0.264037,0,0,0,0,0,0
0.265603,0,0,0,0,0,0
0.267208,0,0,0,0,0,0
0.268782,0,0,0,0,0,0
0.270342,0,0,0,0,0,0
0.271904,0,0,0,0,0,0
0.273467,0,0,0,0,0,0
0.275027,0,0,0,0,0,0
0.276586,0,0,0,0,0,0
0.278147,0,0,0,0,0,0
0.279720,0,0,0,0,0,0
0.281322,0,0,0,0,0,0
0.282888,0,0,0,0,0,0
0.284447,0,0,0,0,0,0
0.286008,0,0,0,0,0,0
0.287567,0,0,0,0,0,0
0.289126,0,0,0,0,0,0
0.290790,0,0,0,0,0,0
0.292348,0,0,0,0,0,0
0.293910,0,0,0,0,0,0
0.295471,0,0,0,0,0,0
0.297030,0,0,0,0,0,0
0.298633,0,0,0,0,0,0
0.300194,0,0,0,0,0,0
0.301770,0,0,0,0,0,0
0.303331,0,0,0,0,0,0
0.304889,0,0,0,0,0,0
0.306450,0,0,0,0,0,0
0.308010,0,0,0,0,0,0
0.309572,0,0,0,0,0,0
0.311134,0,0,0,0,0,0
0.312704,0,0,0,0,0,0
0.314310,0,0,0,0,0,0
0.315870,0,0,0,0,0,0
0.317429,0,0,0,0,0,0
0.319012,0,0,0,0,0,0
0.320414,0,0,0,0,0,0
0.321942,0,0,0,0,0,0
0.323514,0,0,0,0,0,0
0.325073,0,0,0,0,0,0
0.326631,0,0,0,0,0,0
0.328192,0,0,0,0,0,0
0.329753,0,0,0,0,0,0
0.331360,0,0,0,0,0,0
0.332917,0,0,0,0,0,0
0.334491,0,0,0,0,0,0
0.336051,0,0,0,0,0,0
0.337612,0,0,0,0,0,0
0.339172,0,0,0,0,0,0
0.340730,0,0,0,0,0,0
0.342292,0,0,0,0,0,0
0.343851,0,0,0,0,0,0
0.345423,0,0,0,0,0,0
0.347174,0,0,0,0,0,0
0.348740,0,0,0,0,0,0
0.350302,0,0,0,0,0,0
0.351855,0,0,0,0,0,0
0.353406,0,0,0,0,0,0
0.354865,0,0,0,0,0,0
0.356280,0,0,0,0,0,0
0.357808,0,0,0,0,0,0
0.359369,0,0,0,0,0,0
0.360927,0,0,0,0,0,0
0.362530,0,0,0,0,0,0
0.364090,0,0,0,0,0,0
0.365650,0,0,0,0,0,0
0.367224,0,0,0,0,0,0
0.368782,0,0,0,0,0,0
0.370342,0,0,0,0,0,0
0.371901,0,0,0,0,0,0
0.373538,0,0,0,0,0,0
0.374945,0,0,0,0,0,0
0.376344,0,0,0,0,0,0
0.377923,0,0,0,0,0,0
0.379484,0,0,0,0,0,0
0.381042,0,0,0,0,0,0
0.382602,0,0,0,0,0,0
0.384162,0,0,0,0,0,0
0.385723,0,0,0,0,0,0
0.387282,0,0,0,0,0,0
0.388855,0,0,0,0,0,0
0.390414,0,0,0,0,0,0
0.391974,0,0,0,0,0,0
0.393535,0,0,0,0,0,0
0.395138,0,0,0,0,0,0
0.396696,0,0,0,0,0,0
0.398256,0,0,0,0,0,0
0.399831,0,0,0,0,0,0
0.401398,0,0,0,0,0,0
0.402793,0,0,0,0,0,0
0.404204,0,0,0,0,0,0
