elapsed_s,RAS_LRZ_INTF_WORKING_CYCLES,RAS_BLOCKS,RAS_FALSE_PARTIAL_STILE,RAS_SLICE_BLOCK_NONEMTPY
1.280864,0,0,0,0
1.282416,0,0,0,0
1.283980,0,0,0,0
1.285529,0,0,0,0
1.287084,0,0,0,0
1.288632,0,0,0,0
1.290226,0,0,0,0
1.291775,0,0,0,0
1.293323,0,0,0,0
1.294892,0,0,0,0
1.296440,0,0,0,0
1.297991,0,0,0,0
1.299541,0,0,0,0
1.301090,0,0,0,0
1.302640,0,0,0,0
1.304183,0,0,0,0
1.305742,0,0,0,0
1.307234,0,0,0,0
1.308831,0,0,0,0
1.310239,0,0,0,0
1.311734,0,0,0,0
1.313731,0,0,0,0
1.315245,0,0,0,0
1.316808,0,0,0,0
1.318322,0,0,0,0
1.320363,0,0,0,0
1.322240,0,0,0,0
1.323844,0,0,0,0
1.325359,0,0,0,0
1.326777,0,0,0,0
1.328140,0,0,0,0
1.329501,0,0,0,0
1.330932,0,0,0,0
1.332295,0,0,0,0
1.333649,0,0,0,0
1.335028,0,0,0,0
1.336388,0,0,0,0
1.337747,0,0,0,0
1.339168,0,0,0,0
1.340561,0,0,0,0
1.341958,0,0,0,0
1.343348,0,0,0,0
1.344737,0,0,0,0
1.346129,0,0,0,0
1.347646,0,0,0,0
1.349214,0,0,0,0
1.350769,0,0,0,0
1.352324,0,0,0,0
1.353880,0,0,0,0
1.355482,0,0,0,0
1.357036,0,0,0,0
1.358590,0,0,0,0
1.360035,0,0,0,0
1.361559,0,0,0,0
1.362990,0,0,0,0
1.364385,0,0,0,0
1.365908,0,0,0,0
1.367462,0,0,0,0
1.369016,0,0,0,0
1.370628,0,0,0,0
1.372185,0,0,0,0
1.373742,0,0,0,0
1.375296,0,0,0,0
1.376849,0,0,0,0
1.378406,0,0,0,0
1.379961,0,0,0,0
1.381529,0,0,0,0
1.383089,0,0,0,0
1.384644,0,0,0,0
1.386244,0,0,0,0
1.387798,0,0,0,0
1.389352,0,0,0,0
1.390910,0,0,0,0
