elapsed_s,TSE_BE_BV_STALLS_DUETO_BR_POLY,TSE_BE_BV_STALLS_DUETO_BR,TSE_FE_BUSY_CYCLES,TSE_FE_STALL_CYCLES_VPC_US
1.202641,0,0,0,0
1.204037,0,0,0,0
1.205559,0,0,0,0
1.207161,0,0,0,0
1.208715,0,0,0,0
1.210271,0,0,0,0
1.211832,0,0,0,0
1.213521,0,0,0,0
1.215118,0,0,0,0
1.216669,0,0,0,0
1.218224,0,0,0,0
1.219779,0,0,0,0
1.221334,0,0,0,0
1.222943,0,0,0,0
1.224496,0,0,0,0
1.226052,0,0,0,0
1.227606,0,0,0,0
1.229099,0,0,0,0
1.230634,0,0,0,0
1.232187,0,0,0,0
1.233757,0,0,0,0
1.235311,0,0,0,0
1.236864,0,0,0,0
1.238464,0,0,0,0
1.240018,0,0,0,0
1.241573,0,0,0,0
1.243126,0,0,0,0
1.244691,0,0,0,0
1.247011,0,0,0,0
1.248416,0,0,0,0
1.249809,0,0,0,0
1.251199,0,0,0,0
1.252587,0,0,0,0
1.254017,0,0,0,0
1.255548,0,0,0,0
1.257101,0,0,0,0
1.258563,0,0,0,0
1.259956,0,0,0,0
1.261475,0,0,0,0
1.263066,0,0,0,0
1.264508,0,0,0,0
1.265918,0,0,0,0
1.267439,0,0,0,0
1.268870,0,0,0,0
1.270444,0,0,0,0
1.271998,0,0,0,0
1.273551,0,0,0,0
1.275107,0,0,0,0
1.276673,0,0,0,0
1.278271,0,0,0,0
1.279827,0,0,0,0
1.281382,0,0,0,0
1.282937,0,0,0,0
1.284489,0,0,0,0
1.286088,0,0,0,0
1.287658,0,0,0,0
1.289211,0,0,0,0
1.290771,0,0,0,0
1.292324,0,0,0,0
1.293923,0,0,0,0
