elapsed_s,VPC_US_STREAMOUT_TRANSACTION,VPC_US_NUM_GMEM_READ_SO,VPC_US_STARVE_CYCLES_UCHE_RD,VPC_US_STALL_CYCLES_PRG_END_VPCUS,VPC_US_STARVE_CYCLES_REORDER,VPC_US_BOTTLENECK
0.276146,0,0,0,0,1311489,0
0.277706,0,0,0,0,1316274,0
0.279275,0,0,0,0,1300524,0
0.280849,0,0,0,0,1299324,0
0.282413,0,0,0,0,1305711,0
0.283975,0,0,0,0,1297671,0
0.285535,0,0,0,0,1543620,0
0.287046,0,0,0,0,1268451,0
0.288577,0,0,0,0,1298130,0
0.290141,0,0,0,0,1296570,0
0.291715,0,0,0,0,1303728,0
0.293275,0,0,0,0,1300581,0
0.294881,0,0,0,0,1332801,0
0.296444,0,0,0,0,1297353,0
0.298007,0,0,0,0,1336146,0
0.299570,0,0,0,0,1297032,0
0.301130,0,0,0,0,1298166,0
0.302749,0,0,0,0,1306131,0
0.304312,0,0,0,0,1305858,0
0.305877,0,0,0,0,1299720,0
0.307440,0,0,0,0,1299315,0
0.309000,0,0,0,0,1301751,0
0.310608,0,0,0,0,1302288,0
0.312170,0,0,0,0,1298544,0
0.313745,0,0,0,0,1316511,0
0.315312,0,0,0,0,1298046,0
0.316873,0,0,0,0,1298415,0
0.318481,0,0,0,0,1299933,0
0.320043,0,0,0,0,1303371,0
0.321603,0,0,0,0,1315782,0
0.323170,0,0,0,0,1304094,0
0.324745,0,0,0,0,1295805,0
0.326354,0,0,0,0,1300365,0
0.327917,0,0,0,0,1299135,0
0.329478,0,0,0,0,1301505,0
0.331040,0,0,0,0,1283985,0
0.332593,0,0,0,0,1286274,0
0.334162,0,0,0,0,1554942,0
0.335790,0,0,0,0,1303137,0
0.337223,0,0,0,0,1227816,0
0.338753,0,0,0,0,1297869,0
0.340313,0,0,0,0,1298241,0
0.341876,0,0,0,0,1298382,0
0.343437,0,0,0,0,1297983,0
0.344996,0,0,0,0,1296987,0
0.346572,0,0,0,0,1299921,0
0.348132,0,0,0,0,1298160,0
0.349692,0,0,0,0,1428363,0
0.351296,0,0,0,0,1300215,0
0.352854,0,0,0,0,1296108,0
0.354415,0,0,0,0,1295022,0
0.355975,0,0,0,0,1291983,0
0.357548,0,0,0,0,1488336,0
0.359194,0,0,0,0,1252392,0
0.360753,0,0,0,0,1295550,0
0.362315,0,0,0,0,1294758,0
0.363876,0,0,0,0,1294137,0
0.365434,0,0,0,0,1298355,0
0.367038,0,0,0,0,1298403,0
0.368613,0,0,0,0,1294215,0
0.370174,0,0,0,0,1300995,0
0.371735,0,0,0,0,1302003,0
0.373294,0,0,0,0,1296897,0
0.374898,0,0,0,0,1299054,0
