elapsed_s,VPC_FE_SP_COMPONENTS,VPC_FE_STALL_CYCLES_VPCRAM_POS,VPC_FE_VS_BUSY_CYCLES,VPC_FE_VS_WORKING_CYCLES,VPC_FE_NUM_VPCRAM_READ_POS,VPC_FE_WIT_FULL_CYCLES
0.474131,0,0,0,0,0,0
0.475738,0,0,0,0,0,0
0.477300,0,0,0,0,0,0
0.478877,0,0,0,0,0,0
0.480440,0,0,0,0,0,0
0.482005,0,0,0,0,0,0
0.483568,0,0,0,0,0,0
0.485129,0,0,0,0,0,0
0.486693,0,0,0,0,0,0
0.488257,0,0,0,0,0,0
0.489830,0,0,0,0,0,0
0.491398,0,0,0,0,0,0
0.492959,0,0,0,0,0,0
0.494524,0,0,0,0,0,0
0.496078,0,0,0,0,0,0
0.497630,0,0,0,0,0,0
0.499150,0,0,0,0,0,0
0.500752,0,0,0,0,0,0
0.502314,0,0,0,0,0,0
0.503873,0,0,0,0,0,0
0.505365,0,0,0,0,0,0
0.506950,0,0,0,0,0,0
0.508514,0,0,0,0,0,0
0.510078,0,0,0,0,0,0
0.511655,0,0,0,0,0,0
0.513215,0,0,0,0,0,0
0.514777,0,0,0,0,0,0
0.516340,0,0,0,0,0,0
0.517967,0,0,0,0,0,0
0.519592,0,0,0,0,0,0
0.521154,0,0,0,0,0,0
0.522772,0,0,0,0,0,0
0.524335,0,0,0,0,0,0
0.525951,0,0,0,0,0,0
0.527510,0,0,0,0,0,0
0.529071,0,0,0,0,0,0
0.530636,0,0,0,0,0,0
0.532199,0,0,0,0,0,0
0.533775,0,0,0,0,0,0
0.535342,0,0,0,0,0,0
0.536904,0,0,0,0,0,0
0.538511,0,0,0,0,0,0
0.540074,0,0,0,0,0,0
0.541635,0,0,0,0,0,0
0.543202,0,0,0,0,0,0
0.544777,0,0,0,0,0,0
0.546341,0,0,0,0,0,0
0.547904,0,0,0,0,0,0
0.549466,0,0,0,0,0,0
0.551030,0,0,0,0,0,0
0.552592,0,0,0,0,0,0
0.554156,0,0,0,0,0,0
0.555777,0,0,0,0,0,0
0.557338,0,0,0,0,0,0
0.558901,0,0,0,0,0,0
0.560464,0,0,0,0,0,0
0.562029,0,0,0,0,0,0
0.563592,0,0,0,0,0,0
0.565153,0,0,0,0,0,0
0.566728,0,0,0,0,0,0
0.568292,0,0,0,0,0,0
0.569853,0,0,0,0,0,0
0.571348,0,0,0,0,0,0
0.572750,0,0,0,0,0,0
0.574315,0,0,0,0,0,0
0.575878,0,0,0,0,0,0
0.577453,0,0,0,0,0,0
