elapsed_s,PC_NEVER_COUNT,PC_US_BUSY_CYCLES,PC_US_WORKING_CYCLES,PC_US_UCHE_OUTSTANDING_TRANS,PC_US_PASS1_TF_STALL_CYCLES,PC_US_STARVE_CYCLES_FOR_INDEX,PC_US_STARVE_CYCLES_FOR_TF,PC_US_STARVE_CYCLES_FOR_VIZ_STREAM
0.195717,0,0,0,0,0,0,0,0
0.197281,0,0,0,0,0,0,0,0
0.198843,0,0,0,0,0,0,0,0
0.200299,0,0,0,0,0,0,0,0
0.201840,0,0,0,0,0,0,0,0
0.203410,0,0,0,0,0,0,0,0
0.205110,0,0,0,0,0,0,0,0
0.206532,0,0,0,0,0,0,0,0
0.207946,0,0,0,0,0,0,0,0
0.209399,0,0,0,0,0,0,0,0
0.210820,0,0,0,0,0,0,0,0
0.212479,0,0,0,0,0,0,0,0
0.214027,0,0,0,0,0,0,0,0
0.215706,0,0,0,0,0,0,0,0
0.217112,0,0,0,0,0,0,0,0
0.218513,0,0,0,0,0,0,0,0
0.219915,0,0,0,0,0,0,0,0
0.221327,0,0,0,0,0,0,0,0
0.222729,0,0,0,0,0,0,0,0
0.224168,0,0,0,0,0,0,0,0
0.225592,0,0,0,0,0,0,0,0
0.227016,0,0,0,0,0,0,0,0
0.228417,0,0,0,0,0,0,0,0
0.229944,0,0,0,0,0,0,0,0
0.231523,0,0,0,0,0,0,0,0
0.232935,0,0,0,0,0,0,0,0
0.234343,0,0,0,0,0,0,0,0
0.235748,0,0,0,0,0,0,0,0
0.237284,0,0,0,0,0,0,0,0
0.238855,0,0,0,0,0,0,0,0
0.240519,0,0,0,0,0,0,0,0
0.242105,0,0,0,0,0,0,0,0
0.243679,0,0,0,0,0,0,0,0
0.245251,0,0,0,0,0,0,0,0
0.246821,0,0,0,0,0,0,0,0
0.248395,0,0,0,0,0,0,0,0
0.249967,0,0,0,0,0,0,0,0
0.251538,0,0,0,0,0,0,0,0
0.253125,0,0,0,0,0,0,0,0
0.254694,0,0,0,0,0,0,0,0
0.256311,0,0,0,0,0,0,0,0
0.257962,0,0,0,0,0,0,0,0
0.259466,0,0,0,0,0,0,0,0
0.261008,0,0,0,0,0,0,0,0
0.262570,0,0,0,0,0,0,0,0
0.264117,0,0,0,0,0,0,0,0
0.265662,0,0,0,0,0,0,0,0
0.267233,0,0,0,0,0,0,0,0
0.268858,0,0,0,0,0,0,0,0
0.270430,0,0,0,0,0,0,0,0
0.272048,0,0,0,0,0,0,0,0
0.273622,0,0,0,0,0,0,0,0
0.275206,0,0,0,0,0,0,0,0
0.276779,0,0,0,0,0,0,0,0
0.278351,0,0,0,0,0,0,0,0
0.279925,0,0,0,0,0,0,0,0
0.281497,0,0,0,0,0,0,0,0
0.283068,0,0,0,0,0,0,0,0
0.284641,0,0,0,0,0,0,0,0
0.286104,0,0,0,0,0,0,0,0
0.287650,0,0,0,0,0,0,0,0
0.289223,0,0,0,0,0,0,0,0
0.290794,0,0,0,0,0,0,0,0
0.292368,0,0,0,0,0,0,0,0
0.293930,0,0,0,0,0,0,0,0
0.295493,0,0,0,0,0,0,0,0
0.296914,0,0,0,0,0,0,0,0
0.298361,0,0,0,0,0,0,0,0
0.299776,0,0,0,0,0,0,0,0
0.301187,0,0,0,0,0,0,0,0
0.302595,0,0,0,0,0,0,0,0
0.304047,0,0,0,0,0,0,0,0
0.305669,0,0,0,0,0,0,0,0
0.307255,0,0,0,0,0,0,0,0
0.308769,0,0,0,0,0,0,0,0
0.310312,0,0,0,0,0,0,0,0
0.311886,0,0,0,0,0,0,0,0
0.313458,0,0,0,0,0,0,0,0
0.315238,0,0,0,0,0,0,0,0
0.316874,0,0,0,0,0,0,0,0
0.318459,0,0,0,0,0,0,0,0
0.320079,0,0,0,0,0,0,0,0
0.321652,0,0,0,0,0,0,0,0
0.323223,0,0,0,0,0,0,0,0
0.324795,0,0,0,0,0,0,0,0
0.326367,0,0,0,0,0,0,0,0
0.327939,0,0,0,0,0,0,0,0
0.329527,0,0,0,0,0,0,0,0
0.331098,0,0,0,0,0,0,0,0
0.332670,0,0,0,0,0,0,0,0
0.334243,0,0,0,0,0,0,0,0
0.335818,0,0,0,0,0,0,0,0
0.337383,0,0,0,0,0,0,0,0
0.338945,0,0,0,0,0,0,0,0
0.340399,0,0,0,0,0,0,0,0
0.341941,0,0,0,0,0,0,0,0
0.343510,0,0,0,0,0,0,0,0
0.345086,0,0,0,0,0,0,0,0
0.346652,0,0,0,0,0,0,0,0
0.348222,0,0,0,0,0,0,0,0
0.349792,0,0,0,0,0,0,0,0
0.351374,0,0,0,0,0,0,0,0
0.352951,0,0,0,0,0,0,0,0
0.354519,0,0,0,0,0,0,0,0
0.356091,0,0,0,0,0,0,0,0
0.357660,0,0,0,0,0,0,0,0
0.359229,0,0,0,0,0,0,0,0
0.360751,0,0,0,0,0,0,0,0
0.362300,0,0,0,0,0,0,0,0
0.363873,0,0,0,0,0,0,0,0
0.365444,0,0,0,0,0,0,0,0
0.367014,0,0,0,0,0,0,0,0
0.368627,0,0,0,0,0,0,0,0
0.370199,0,0,0,0,0,0,0,0
0.371771,0,0,0,0,0,0,0,0
0.373356,0,0,0,0,0,0,0,0
