elapsed_s,HLSQ_S2W_STALL_BY_MISS_RETURN,HLSQ_MISS_RETURN_STALL_BY_S2W,HLSQ_STPROC_L0_STALL_INS_RD,HLSQ_STPROC_L0_INS_MISS,HLSQ_STPROC_L0_INS_HIT,HLSQ_STPROC_L0_INS_LATENCY_COUNT
0.345849,0,0,0,0,0,0
0.347541,0,0,0,0,0,0
0.349102,0,0,0,0,0,0
0.350669,0,0,0,0,0,0
0.352242,0,0,0,0,0,0
0.353806,0,0,0,0,0,0
0.355367,0,0,0,0,0,0
0.356927,0,0,0,0,0,0
0.358493,0,0,0,0,0,0
0.360053,0,0,0,0,0,0
0.361617,0,0,0,0,0,0
0.363192,0,0,0,0,0,0
0.364753,0,0,0,0,0,0
0.366186,0,0,0,0,0,0
0.367662,0,0,0,0,0,0
0.369156,0,0,0,0,0,0
0.370723,0,0,0,0,0,0
0.372118,0,0,0,0,0,0
0.373521,0,0,0,0,0,0
0.374917,0,0,0,0,0,0
0.376313,0,0,0,0,0,0
0.377842,0,0,0,0,0,0
0.379405,0,0,0,0,0,0
0.380964,0,0,0,0,0,0
0.382529,0,0,0,0,0,0
0.384148,0,0,0,0,0,0
0.385712,0,0,0,0,0,0
0.387176,0,0,0,0,0,0
0.388723,0,0,0,0,0,0
0.390098,0,0,0,0,0,0
0.391454,0,0,0,0,0,0
0.392802,0,0,0,0,0,0
0.394210,0,0,0,0,0,0
0.395564,0,0,0,0,0,0
0.396905,0,0,0,0,0,0
0.398352,0,0,0,0,0,0
0.399746,0,0,0,0,0,0
0.401078,0,0,0,0,0,0
0.402427,0,0,0,0,0,0
0.403747,0,0,0,0,0,0
0.405086,0,0,0,0,0,0
0.406864,0,0,0,0,0,0
0.408247,0,0,0,0,0,0
0.409620,0,0,0,0,0,0
0.410940,0,0,0,0,0,0
0.412257,0,0,0,0,0,0
0.413624,0,0,0,0,0,0
0.414969,0,0,0,0,0,0
0.416346,0,0,0,0,0,0
0.417715,0,0,0,0,0,0
0.419084,0,0,0,0,0,0
0.420453,0,0,0,0,0,0
0.421871,0,0,0,0,0,0
0.423302,0,0,0,0,0,0
0.424624,0,0,0,0,0,0
0.425952,0,0,0,0,0,0
0.427330,0,0,0,0,0,0
0.428698,0,0,0,0,0,0
0.430114,0,0,0,0,0,0
0.431504,0,0,0,0,0,0
0.432865,0,0,0,0,0,0
0.434341,0,0,0,0,0,0
0.435695,0,0,0,0,0,0
0.437111,0,0,0,0,0,0
0.438519,0,0,0,0,0,0
0.439877,0,0,0,0,0,0
0.441231,0,0,0,0,0,0
0.442763,0,0,0,0,0,0
0.444140,0,0,0,0,0,0
0.445630,0,0,0,0,0,0
0.447009,0,0,0,0,0,0
0.448460,0,0,0,0,0,0
0.450183,0,0,0,0,0,0
0.452231,0,0,0,0,0,0
0.453627,0,0,0,0,0,0
0.455045,0,0,0,1,15,1
0.456445,0,0,0,0,0,0
0.457843,0,0,0,0,0,0
0.459239,0,0,0,0,0,0
0.460648,0,0,0,0,0,0
0.462045,0,0,0,0,0,0
0.463491,0,0,0,0,0,0
0.464887,0,0,0,0,0,0
0.466854,0,0,0,0,0,0
0.468555,0,0,0,0,0,0
0.471855,0,0,0,0,0,0
0.473326,0,0,0,0,0,0
0.474718,0,0,0,0,0,0
0.476109,0,0,0,0,0,0
0.479107,0,0,0,0,0,0
0.480497,0,0,0,0,0,0
0.481909,0,0,0,0,0,0
0.483278,0,0,0,0,0,0
0.484623,0,0,0,0,0,0
0.485968,0,0,0,0,0,0
0.487318,0,0,0,0,0,0
0.488667,0,0,0,0,0,0
0.490062,0,0,0,0,0,0
0.491411,0,0,0,0,0,0
0.492759,0,0,0,0,0,0
0.494116,0,0,0,0,0,0
0.495479,0,0,0,0,0,0
0.496873,0,0,0,0,0,0
0.498333,0,0,0,0,0,0
0.499729,0,0,0,0,0,0
0.501188,0,0,0,0,0,0
0.502591,0,0,0,0,0,0
0.503986,0,0,0,0,0,0
0.505392,0,0,0,0,0,0
0.506787,0,0,0,0,0,0
0.508182,0,0,0,0,0,0
0.509579,0,0,0,0,0,0
0.511010,0,0,0,0,0,0
0.512405,0,0,0,0,0,0
0.513826,0,0,0,0,0,0
0.515382,0,0,0,0,0,0
0.516955,0,0,0,0,0,0
0.518519,0,0,0,0,0,0
0.520077,0,0,0,0,0,0
0.521635,0,0,0,0,0,0
0.523042,0,0,0,0,0,0
0.524436,0,0,0,0,0,0
0.525828,0,0,0,0,0,0
0.527271,0,0,0,0,0,0
0.528663,0,0,0,0,0,0
0.530056,0,0,0,0,0,0
0.531581,0,0,0,0,0,0
0.533140,0,0,0,0,0,0
0.534771,0,0,0,0,0,0
0.536330,0,0,0,0,0,0
0.537905,0,0,0,0,0,0
0.539466,0,0,0,0,0,0
