elapsed_s,HLSQ_NEVER_COUNT,HLSQ_BUSY_CYCLES,HLSQ_STALL_CYCLES_SP_STATE,HLSQ_STALL_CYCLES_SP_FS_STAGE,HLSQ_UCHE_LATENCY_CYCLES,HLSQ_UCHE_LATENCY_COUNT
0.942754,0,104,0,0,0,0
0.944315,0,104,0,0,0,0
0.945882,0,104,0,0,0,0
0.947447,0,104,0,0,0,0
0.949020,0,104,0,0,0,0
0.950588,0,104,0,0,0,0
0.952150,0,104,0,0,0,0
0.953716,0,104,0,0,0,0
0.955279,0,104,0,0,0,0
0.956841,0,104,0,0,0,0
0.958407,0,104,0,0,0,0
0.959981,0,104,0,0,0,0
0.961548,0,104,0,0,0,0
0.963156,0,104,0,0,0,0
0.964718,0,104,0,0,0,0
0.966279,0,104,0,0,0,0
0.967842,0,104,0,0,0,0
0.969407,0,104,0,0,0,0
0.970974,0,104,0,0,0,0
0.972526,0,104,0,0,0,0
0.973960,0,104,0,0,0,0
0.975497,0,104,0,0,0,0
0.977059,0,104,0,0,0,0
0.978719,0,104,0,0,0,0
0.980281,0,104,0,0,0,0
0.981734,0,104,0,0,0,0
0.983267,0,104,0,0,0,0
0.984828,0,104,0,0,0,0
0.986395,0,104,0,0,0,0
0.987955,0,104,0,0,0,0
0.989520,0,104,0,0,0,0
0.991082,0,104,0,0,0,0
0.992655,0,104,0,0,0,0
0.994217,0,104,0,0,0,0
0.995781,0,104,0,0,0,0
0.997345,0,104,0,0,0,0
0.998908,0,104,0,0,0,0
1.000469,0,104,0,0,0,0
1.002032,0,104,0,0,0,0
1.003609,0,104,0,0,0,0
1.005174,0,104,0,0,0,0
1.006581,0,104,0,0,0,0
1.007997,0,104,0,0,0,0
1.009391,0,104,0,0,0,0
1.010964,0,104,0,0,0,0
1.012523,0,104,0,0,0,0
1.014099,0,104,0,0,0,0
1.015663,0,104,0,0,0,0
1.017229,0,104,0,0,0,0
1.018793,0,104,0,0,0,0
1.020356,0,104,0,0,0,0
1.021923,0,104,0,0,0,0
1.023487,0,104,0,0,0,0
1.024937,0,104,0,0,0,0
1.026493,0,104,0,0,0,0
1.028102,0,104,0,0,0,0
1.029668,0,104,0,0,0,0
1.031233,0,104,0,0,0,0
1.032795,0,104,0,0,0,0
1.034364,0,104,0,0,0,0
1.035939,0,104,0,0,0,0
1.037505,0,104,0,0,0,0
1.039069,0,104,0,0,0,0
1.040632,0,104,0,0,0,0
1.042197,0,104,0,0,0,0
1.043762,0,104,0,0,0,0
1.045329,0,104,0,0,0,0
1.046907,0,104,0,0,0,0
1.048470,0,104,0,0,0,0
1.050034,0,104,0,0,0,0
1.051598,0,104,0,0,0,0
1.053165,0,104,0,0,0,0
1.054729,0,104,0,0,0,0
1.056333,0,104,0,0,0,0
1.057910,0,104,0,0,0,0
1.059474,0,104,0,0,0,0
1.061035,0,104,0,0,0,0
1.062461,0,104,0,0,0,0
1.063994,0,104,0,0,0,0
1.065560,0,104,0,0,0,0
1.067114,0,104,0,0,0,0
1.068677,0,104,0,0,0,0
1.070233,0,104,0,0,0,0
1.071834,0,104,0,0,0,0
1.073401,0,104,0,0,0,0
1.075010,0,104,0,0,0,0
1.076573,0,104,0,0,0,0
1.078138,0,104,0,0,0,0
1.079716,0,104,0,0,0,0
1.081282,0,104,0,0,0,0
1.082846,0,104,0,0,0,0
1.084409,0,104,0,0,0,0
