elapsed_s,RBBM_US_PC_BUSY,RBBM_US_COM_BUSY,RBBM_US_DCOM_BUSY,RBBM_US_VBIF_BUSY
0.931564,0,0,0,1948
0.933150,0,0,0,1963
0.934701,0,0,0,1950
0.936251,0,0,0,1951
0.937812,0,0,0,1890
0.939406,0,0,0,1948
0.940957,0,0,0,1953
0.942508,0,0,0,1953
0.944058,0,0,0,1976
0.945607,0,0,0,1949
0.947202,0,0,0,1950
0.948766,0,0,0,1913
0.950315,0,0,0,2052
0.951870,0,0,0,1946
0.953418,0,0,0,1949
0.955013,0,0,0,1947
0.956563,0,0,0,1949
0.958111,0,0,0,1948
0.959634,0,0,0,1953
0.961154,0,0,0,1950
0.962705,0,0,0,2007
0.964320,0,0,0,1951
0.965866,0,0,0,1917
0.967416,0,0,0,1915
0.968966,0,0,0,1952
0.970530,0,0,0,1957
0.972116,0,0,0,1950
0.973654,0,0,0,1946
0.975070,0,0,0,1952
0.976587,0,0,0,1930
0.978134,0,0,0,1911
0.979689,0,0,0,1915
0.981247,0,0,0,2040
0.982797,0,0,0,2068
0.984345,0,0,0,1916
0.985891,0,0,0,1950
0.987594,0,0,0,1949
0.989143,0,0,0,1949
0.990692,0,0,0,1954
0.992252,0,0,0,1953
0.993797,0,0,0,1955
0.995285,0,0,0,1961
0.996840,0,0,0,1917
0.998385,0,0,0,1956
0.999810,0,0,0,2081
1.001327,0,0,0,1951
1.002936,0,0,0,2019
1.004484,0,0,0,1961
1.006030,0,0,0,1913
1.007578,0,0,0,1946
1.009127,0,0,0,1916
1.010674,0,0,0,1948
1.012267,0,0,0,1950
1.013827,0,0,0,1951
1.015375,0,0,0,1951
1.016923,0,0,0,1877
1.018471,0,0,0,1944
1.020019,0,0,0,1944
1.021565,0,0,0,2072
1.023113,0,0,0,1916
1.024676,0,0,0,1922
1.026223,0,0,0,1950
1.027775,0,0,0,1951
1.029321,0,0,0,1910
1.030870,0,0,0,1952
1.032417,0,0,0,1929
1.033960,0,0,0,2013
1.035561,0,0,0,1949
1.037108,0,0,0,1949
1.038656,0,0,0,1958
1.040204,0,0,0,1916
1.041750,0,0,0,1952
1.043341,0,0,0,1921
1.044888,0,0,0,1915
1.046450,0,0,0,1954
1.047997,0,0,0,1970
1.049544,0,0,0,1912
1.051137,0,0,0,1953
1.052685,0,0,0,1912
1.054230,0,0,0,1948
1.055781,0,0,0,1949
1.057340,0,0,0,1951
1.058933,0,0,0,1953
1.060361,0,0,0,1945
1.061885,0,0,0,1959
1.063435,0,0,0,1947
1.064986,0,0,0,1913
1.066537,0,0,0,1910
1.068022,0,0,0,1953
1.069544,0,0,0,1796
1.071095,0,0,0,1795
1.072646,0,0,0,1795
1.074194,0,0,0,1808
1.075745,0,0,0,1840
1.077285,0,0,0,1925
1.078725,0,0,0,1798
1.080244,0,0,0,1798
1.081792,0,0,0,1880
1.083385,0,0,0,1798
1.084934,0,0,0,1795
1.086484,0,0,0,1790
1.088033,0,0,0,1795
1.089470,0,0,0,1912
1.091036,0,0,0,1911
1.092586,0,0,0,1916
1.094133,0,0,0,1907
1.095686,0,0,0,1913
1.097232,0,0,0,1912
1.098782,0,0,0,1907
1.100345,0,0,0,1909
1.101892,0,0,0,1914
1.103441,0,0,0,1921
1.104989,0,0,0,1994
1.106539,0,0,0,1911
1.108132,0,0,0,1914
1.109678,0,0,0,1929
1.111241,0,0,0,1916
1.112790,0,0,0,1909
1.114337,0,0,0,1907
1.115893,0,0,0,1909
1.117440,0,0,0,1913
1.118991,0,0,0,1911
1.120541,0,0,0,2022
1.122101,0,0,0,1903
1.123599,0,0,0,1910
1.125117,0,0,0,1919
1.126667,0,0,0,1911
1.128099,0,0,0,1973
1.129619,0,0,0,1955
1.131212,0,0,0,1915
1.132771,0,0,0,1910
1.134195,0,0,0,1916
1.135720,0,0,0,1912
1.137266,0,0,0,1911
1.138815,0,0,0,1916
1.140364,0,0,0,1912
1.141911,0,0,0,1913
1.143349,0,0,0,2227
1.144871,0,0,0,2067
1.146475,0,0,0,2067
1.148024,0,0,0,2067
1.149573,0,0,0,2068
1.151126,0,0,0,2069
1.152678,0,0,0,2070
1.154242,0,0,0,2074
1.155819,0,0,0,2070
1.157369,0,0,0,2106
1.158921,0,0,0,2136
1.160515,0,0,0,2071
1.162064,0,0,0,2066
1.163489,0,0,0,2071
1.164892,0,0,0,2076
1.166282,0,0,0,2079
1.167693,0,0,0,2064
1.169082,0,0,0,2076
1.170662,0,0,0,2069
1.172262,0,0,0,2072
1.173814,0,0,0,2193
1.175687,0,0,0,2064
1.177148,0,0,0,2065
1.178551,0,0,0,2071
1.179982,0,0,0,2069
1.181365,0,0,0,2070
1.182749,0,0,0,2069
1.184140,0,0,0,2070
1.185668,0,0,0,2069
1.187148,0,0,0,2070
1.188551,0,0,0,2066
1.189943,0,0,0,2070
1.191336,0,0,0,2068
1.192725,0,0,0,2072
1.194115,0,0,0,2187
1.195621,0,0,0,2116
1.197139,0,0,0,2118
1.198695,0,0,0,2119
1.200249,0,0,0,2125
1.201802,0,0,0,2123
1.203398,0,0,0,2129
1.204953,0,0,0,2181
1.206522,0,0,0,2139
1.208075,0,0,0,2120
1.209626,0,0,0,2125
1.211226,0,0,0,2120
1.212779,0,0,0,2121
1.214332,0,0,0,2121
1.215889,0,0,0,2120
1.217455,0,0,0,2127
1.219055,0,0,0,2124
1.220608,0,0,0,2116
1.222160,0,0,0,2119
