elapsed_s,RAS_NEVER_COUNT,RAS_BUSY_CYCLES,RAS_SUPERTILE_ACTIVE_CYCLES,RAS_STALL_CYCLES_LRZ
0.273888,0,0,0,0
0.275593,0,0,0,0
0.277158,0,0,0,0
0.278696,0,0,0,0
0.280128,0,0,0,0
0.281649,0,0,0,0
0.283198,0,0,0,0
0.284752,0,0,0,0
0.286299,0,0,0,0
0.287851,0,0,0,0
0.289401,0,0,0,0
0.290962,0,0,0,0
0.292511,0,0,0,0
0.294061,0,0,0,0
0.295656,0,0,0,0
0.297207,0,0,0,0
0.298755,0,0,0,0
0.300304,0,0,0,0
0.301859,0,0,0,0
0.303400,0,0,0,0
0.305108,0,0,0,0
0.306655,0,0,0,0
0.308205,0,0,0,0
0.309754,0,0,0,0
0.311328,0,0,0,0
0.312774,0,0,0,0
0.314166,0,0,0,0
0.315603,0,0,0,0
0.316983,0,0,0,0
0.318361,0,0,0,0
0.319777,0,0,0,0
0.321156,0,0,0,0
0.322535,0,0,0,0
0.323921,0,0,0,0
0.325301,0,0,0,0
0.326684,0,0,0,0
0.328061,0,0,0,0
0.329415,0,0,0,0
0.330767,0,0,0,0
0.332121,0,0,0,0
0.333475,0,0,0,0
0.334836,0,0,0,0
0.336190,0,0,0,0
0.337544,0,0,0,0
0.338897,0,0,0,0
0.340250,0,0,0,0
0.341603,0,0,0,0
0.342956,0,0,0,0
0.344342,0,0,0,0
0.345687,0,0,0,0
0.347026,0,0,0,0
0.348365,0,0,0,0
0.349704,0,0,0,0
0.351043,0,0,0,0
0.352384,0,0,0,0
0.353753,0,0,0,0
0.355092,0,0,0,0
0.356434,0,0,0,0
0.357773,0,0,0,0
0.359111,0,0,0,0
0.360454,0,0,0,0
0.361864,0,0,0,0
0.363166,0,0,0,0
0.364577,0,0,0,0
0.365987,0,0,0,0
0.367405,0,0,0,0
0.368847,0,0,0,0
0.370264,0,0,0,0
0.371690,0,0,0,0
0.373060,0,0,0,0
0.374423,0,0,0,0
0.375824,0,0,0,0
0.377225,0,0,0,0
0.378627,0,0,0,0
0.380234,0,0,0,0
0.381818,0,0,0,0
0.383238,0,252,0,0
0.385304,0,0,0,0
0.386686,0,0,0,0
