elapsed_s,TSE_REG_PROGRAMMING_ONLY_CYCLE_L0,TSE_COMMON_RAM_WORKING_CYCLE_L2,TSE_COMMON_RAM_RD_WORKING_CYCLE_L3,TSE_COMMON_RAM_WR_WORKING_CYCLE_L3
0.495506,0,0,0,0
0.497056,0,0,0,0
0.498616,0,0,0,0
0.500209,0,0,0,0
0.501638,0,0,0,0
0.503165,0,0,0,0
0.504708,0,0,0,0
0.506249,0,0,0,0
0.507670,0,0,0,0
0.509199,0,0,0,0
0.510749,0,0,0,0
0.512300,0,0,0,0
0.513852,0,0,0,0
0.515406,0,0,0,0
0.517003,0,0,0,0
0.518554,0,0,0,0
0.520119,0,0,0,0
0.521662,0,0,0,0
0.523258,0,0,0,0
0.524682,0,0,0,0
0.526103,0,0,0,0
0.527621,0,0,0,0
0.529171,0,0,0,0
0.530733,0,0,0,0
0.532327,0,0,0,0
0.533878,0,0,0,0
0.535430,0,0,0,0
0.536981,0,0,0,0
0.538529,0,0,0,0
0.540080,0,0,0,0
0.541644,0,0,0,0
0.543197,0,0,0,0
0.545258,0,0,0,0
0.546785,0,0,0,0
0.548295,0,0,0,0
0.549814,0,0,0,0
0.551365,0,0,0,0
0.552805,0,0,0,0
0.554325,0,0,0,0
0.555879,0,0,0,0
0.557429,0,0,0,0
0.558978,0,0,0,0
0.560534,0,0,0,0
0.562084,0,0,0,0
0.563694,0,0,0,0
0.565245,0,0,0,0
0.566794,0,0,0,0
0.568406,0,0,0,0
0.569954,0,0,0,0
0.571506,0,0,0,0
0.573054,0,0,0,0
0.574493,0,0,0,0
0.575897,0,0,0,0
0.577419,0,0,0,0
0.578970,0,0,0,0
0.580530,0,0,0,0
0.582081,0,0,0,0
0.583635,0,0,0,0
0.585201,0,0,0,0
0.586753,0,0,0,0
0.588177,0,0,0,0
0.589697,0,0,0,0
0.591251,0,0,0,0
0.592803,0,0,0,0
0.594355,0,0,0,0
0.595965,0,0,0,0
0.597517,0,0,0,0
0.599067,0,0,0,0
0.600432,0,0,0,0
0.601823,0,0,0,0
0.603342,0,0,0,0
0.604894,0,0,0,0
0.606458,0,0,0,0
0.608012,0,0,0,0
0.609553,0,0,0,0
0.611251,0,0,0,0
0.612713,0,0,0,0
0.614233,0,0,0,0
0.615787,0,0,0,0
0.617353,0,0,0,0
0.618904,0,0,0,0
0.620455,0,0,0,0
0.621996,0,0,0,0
0.623420,0,0,0,0
0.624941,0,0,0,0
0.626491,0,0,0,0
0.628330,0,0,0,0
0.629871,0,0,0,0
0.631268,0,0,0,0
0.632657,0,0,0,0
0.634045,0,0,0,0
0.635433,0,0,0,0
0.636821,0,0,0,0
0.638216,0,0,0,0
0.639734,0,0,0,0
0.641285,0,0,0,0
0.642835,0,0,0,0
0.644392,0,0,0,0
0.645942,0,0,0,0
0.647494,0,0,0,0
0.649059,0,0,0,0
0.650609,0,0,0,0
0.652160,0,0,0,0
0.653714,0,0,0,0
0.655267,0,0,0,0
0.656818,0,0,0,0
0.658369,0,0,0,0
0.659975,0,0,0,0
0.661527,0,0,0,0
0.663078,0,0,0,0
0.664560,0,0,0,0
0.665951,0,0,0,0
0.667470,0,0,0,0
0.669021,0,0,0,0
0.670585,0,0,0,0
0.672137,0,0,0,0
0.673690,0,0,0,0
0.675245,0,0,0,0
0.676840,0,0,0,0
0.678391,0,0,0,0
0.679945,0,0,0,0
0.681511,0,0,0,0
0.683060,0,0,0,0
0.684654,0,0,0,0
0.686205,0,0,0,0
0.687758,0,0,0,0
0.689310,0,0,0,0
0.690861,0,0,0,0
0.692431,0,0,0,0
0.693982,0,0,0,0
0.695535,0,0,0,0
0.697087,0,0,0,0
0.698637,0,0,0,0
0.700189,0,0,0,0
0.701741,0,0,0,0
0.703307,0,0,0,0
0.704859,0,0,0,0
0.706410,0,0,0,0
0.708005,0,0,0,0
0.709557,0,0,0,0
0.711196,0,0,0,0
0.712581,0,0,0,0
0.713978,0,0,0,0
0.715363,0,0,0,0
0.716878,0,0,0,0
0.718426,0,0,0,0
0.719976,0,0,0,0
0.721526,0,0,0,0
0.723074,0,0,0,0
0.724495,0,0,0,0
0.725885,0,0,0,0
0.727403,0,0,0,0
0.728990,0,0,0,0
0.730537,0,0,0,0
0.732087,0,0,0,0
0.733637,0,0,0,0
0.735202,0,0,0,0
0.736752,0,0,0,0
0.738300,0,0,0,0
0.739896,0,0,0,0
0.741447,0,0,0,0
0.742997,0,0,0,0
0.744552,0,0,0,0
0.746113,0,0,0,0
0.747665,0,0,0,0
0.749215,0,0,0,0
0.750764,0,0,0,0
0.752388,0,0,0,0
0.753937,0,0,0,0
0.755489,0,0,0,0
0.757053,0,0,0,0
0.758602,0,0,0,0
0.760151,0,0,0,0
0.761702,0,0,0,0
0.763252,0,0,0,0
0.764802,0,0,0,0
0.766352,0,0,0,0
0.767916,0,0,0,0
0.769465,0,0,0,0
0.771013,0,0,0,0
0.772568,0,0,0,0
0.774114,0,0,0,0
0.775577,0,0,0,0
0.776973,0,0,0,0
0.778492,0,0,0,0
0.779911,0,0,0,0
0.781431,0,0,0,0
0.782983,0,0,0,0
0.784540,0,0,0,0
0.786089,0,0,0,0
0.787685,0,0,0,0
0.789250,0,0,0,0
0.790801,0,0,0,0
0.792417,0,0,0,0
0.793966,0,0,0,0
0.795520,0,0,0,0
0.797071,0,0,0,0
0.798621,0,0,0,0
0.800183,0,0,0,0
0.801736,0,0,0,0
0.803289,0,0,0,0
0.804885,0,0,0,0
0.806436,0,0,0,0
0.807987,0,0,0,0
0.809538,0,0,0,0
0.811168,0,0,0,0
0.812781,0,0,0,0
0.814331,0,0,0,0
0.815886,0,0,0,0
0.817428,0,0,0,0
0.818970,0,0,0,0
0.820587,0,0,0,0
0.822150,0,0,0,0
0.823703,0,0,0,0
0.825255,0,0,0,0
0.826806,0,0,0,0
0.828447,0,0,0,0
0.829997,0,0,0,0
0.831550,0,0,0,0
0.833114,0,0,0,0
0.834664,0,0,0,0
0.836259,0,0,0,0
0.837811,0,0,0,0
0.839365,0,0,0,0
0.840908,0,0,0,0
0.842449,0,0,0,0
0.843884,0,0,0,0
0.845405,0,0,0,0
0.846955,0,0,0,0
0.848511,0,0,0,0
0.850061,0,0,0,0
0.851657,0,0,0,0
0.853208,0,0,0,0
0.854771,0,0,0,0
0.856375,0,0,0,0
0.857925,0,0,0,0
0.859478,0,0,0,0
0.861029,0,0,0,0
0.862579,0,0,0,0
0.864130,0,0,0,0
0.865695,0,0,0,0
0.867247,0,0,0,0
0.868842,0,0,0,0
0.870392,0,0,0,0
0.871946,0,0,0,0
0.873497,0,0,0,0
0.875048,0,0,0,0
0.876491,0,0,0,0
