elapsed_s,TSE_FE_ZERO_AREA_PRIM,TSE_FE_FACENESS_CULLED_PRIM,TSE_FE_ZERO_PIXEL_PRIM,TSE_FE_OUTPUT_NULL_PRIM
1.197292,0,0,0,0
1.198845,0,0,0,0
1.200412,0,0,0,0
1.202010,0,0,0,0
1.203563,0,0,0,0
1.205114,0,0,0,0
1.206671,0,0,0,0
1.208222,0,0,0,0
1.209819,0,0,0,0
1.211387,0,0,0,0
1.212939,0,0,0,0
1.214553,0,0,0,0
1.216106,0,0,0,0
1.217665,0,0,0,0
1.219216,0,0,0,0
1.220768,0,0,0,0
1.222335,0,0,0,0
1.223888,0,0,0,0
1.225442,0,0,0,0
1.227040,0,0,0,0
1.228591,0,0,0,0
1.230144,0,0,0,0
1.231698,0,0,0,0
1.233348,0,0,0,0
1.234866,0,0,0,0
1.236260,0,0,0,0
1.237780,0,0,0,0
1.239333,0,0,0,0
1.240884,0,0,0,0
1.242482,0,0,0,0
1.244049,0,0,0,0
1.245604,0,0,0,0
1.247157,0,0,0,0
1.248708,0,0,0,0
1.250306,0,0,0,0
1.251858,0,0,0,0
1.253413,0,0,0,0
1.254980,0,0,0,0
1.256532,0,0,0,0
1.258131,0,0,0,0
1.259684,0,0,0,0
1.261235,0,0,0,0
1.262835,0,0,0,0
1.264387,0,0,0,0
1.265999,0,0,0,0
1.267545,0,0,0,0
1.269089,0,0,0,0
1.270566,0,0,0,0
1.272094,0,0,0,0
1.273649,0,0,0,0
1.275202,0,0,0,0
1.276642,0,0,0,0
1.278165,0,0,0,0
1.279714,0,0,0,0
1.281350,0,0,0,0
1.282748,0,0,0,0
1.284138,0,0,0,0
1.285655,0,0,0,0
1.287219,0,0,0,0
1.288766,0,0,0,0
1.290359,0,0,0,0
1.291908,0,0,0,0
1.293459,0,0,0,0
1.295008,0,0,0,0
1.296555,0,0,0,0
1.298041,0,0,0,0
1.299561,0,0,0,0
1.301109,0,0,0,0
1.302521,0,0,0,0
1.303914,0,0,0,0
1.305305,0,0,0,0
1.306736,0,0,0,0
1.308140,0,0,0,0
1.309529,0,0,0,0
1.311071,0,0,0,0
