elapsed_s,TSE_NON_CLIP_WORKING_CYCLES,TSE_NULL_WORKING_CYCLES,TSE_OUT_PRIM_WORKING_CYCLES,TSE_INPUT_VERTEX_WORKING_CYCLES
0.693820,0,0,0,0
0.695212,0,0,0,0
0.696600,0,0,0,0
0.697968,0,0,0,0
0.699326,0,0,0,0
0.700669,0,0,0,0
0.702010,0,0,0,0
0.703349,0,0,0,0
0.704703,0,0,0,0
0.707505,0,0,0,0
0.713404,0,0,0,0
0.714770,0,0,0,0
0.716089,0,0,0,0
0.717464,0,0,0,0
0.718778,0,0,0,0
0.720154,0,0,0,0
0.721542,0,0,0,0
0.722884,0,0,0,0
0.724222,0,0,0,0
0.725618,0,0,0,0
0.726955,0,0,0,0
0.728293,0,0,0,0
0.729674,0,0,0,0
0.731012,0,0,0,0
0.732348,0,0,0,0
0.733688,0,0,0,0
0.735024,0,0,0,0
0.736372,0,0,0,0
0.737741,0,0,0,0
0.739159,0,0,0,0
0.740548,0,0,0,0
0.741935,0,0,0,0
0.743675,0,0,0,0
0.745134,0,0,0,0
0.746528,0,0,0,0
0.747908,0,0,0,0
0.749292,0,0,0,0
0.750679,0,0,0,0
0.752111,0,0,0,0
0.753551,0,0,0,0
0.754937,0,0,0,0
0.756323,0,0,0,0
0.757716,0,0,0,0
0.759097,0,0,0,0
0.760474,0,0,0,0
0.761988,0,0,0,0
0.763536,0,0,0,0
0.765086,0,0,0,0
0.766635,0,0,0,0
0.768195,0,0,0,0
0.769748,0,0,0,0
0.771295,0,0,0,0
0.772845,0,0,0,0
0.774394,0,0,0,0
0.775941,0,0,0,0
0.777533,0,0,0,0
0.778974,0,0,0,0
0.780500,0,0,0,0
0.782046,0,0,0,0
0.783592,0,0,0,0
0.785185,0,0,0,0
0.786733,0,0,0,0
0.788279,0,0,0,0
0.789845,0,0,0,0
0.791392,0,0,0,0
0.792985,0,0,0,0
0.794533,0,0,0,0
0.796080,0,0,0,0
0.797611,0,0,0,0
0.799002,0,0,0,0
0.800403,0,0,0,0
0.801834,0,0,0,0
0.803218,0,0,0,0
0.804605,0,0,0,0
0.805988,0,0,0,0
0.807500,0,0,0,0
0.809094,0,0,0,0
0.810656,0,0,0,0
0.812201,0,0,0,0
0.813753,0,0,0,0
0.815299,0,0,0,0
0.816869,0,0,0,0
0.818419,0,0,0,0
0.819964,0,0,0,0
0.821524,0,0,0,0
0.823072,0,0,0,0
0.824622,0,0,0,0
0.826214,0,0,0,0
0.827760,0,0,0,0
0.829308,0,0,0,0
0.830856,0,0,0,0
0.832419,0,0,0,0
0.833967,0,0,0,0
0.835513,0,0,0,0
0.837062,0,0,0,0
0.838608,0,0,0,0
0.840154,0,0,0,0
0.841703,0,0,0,0
0.843255,0,0,0,0
0.844733,0,0,0,0
0.846784,0,0,0,0
0.849212,0,0,0,0
0.850629,0,0,0,0
0.852020,0,0,0,0
0.853420,0,0,0,0
0.854808,0,0,0,0
0.856194,0,0,0,0
0.857624,0,0,0,0
0.859009,0,0,0,0
0.860398,0,0,0,0
0.861784,0,0,0,0
0.863297,0,0,0,0
0.864740,0,0,0,0
0.866304,0,0,0,0
0.867852,0,0,0,0
0.869401,0,0,0,0
0.870950,0,0,0,0
0.872502,0,0,0,0
0.874096,0,0,0,0
0.875666,0,0,0,0
0.877218,0,0,0,0
0.878767,0,0,0,0
0.880314,0,0,0,0
0.881869,0,0,0,0
0.883417,0,0,0,0
