elapsed_s,VPC_FE_VPCRAM_FULL_CYCLES,VPC_FE_NUM_VPCRAM_WRITE,VPC_FE_STALL_CYCLES_TSE_FE,VPC_FE_STALL_CYCLES_VPC_US,VPC_FE_TSE_FE_PRIMITIVES,VPC_FE_GS_PRIMITIVES
1.185206,0,0,0,0,0,0
1.186770,0,0,0,0,0,0
1.188340,0,0,0,0,0,0
1.189904,0,0,0,0,0,0
1.191470,0,0,0,0,0,0
1.192923,0,0,0,0,0,0
1.194459,0,0,0,0,0,0
1.196024,0,0,0,0,0,0
1.197590,0,0,0,0,0,0
1.199157,0,0,0,0,0,0
1.200713,0,0,0,0,0,0
1.202269,0,0,0,0,0,0
1.203759,0,0,0,0,0,0
1.205293,0,0,0,0,0,0
1.206891,0,0,0,0,0,0
1.208511,0,0,0,0,0,0
1.210072,0,0,0,0,0,0
1.211637,0,0,0,0,0,0
1.213201,0,0,0,0,0,0
1.214776,0,0,0,0,0,0
1.216343,0,0,0,0,0,0
1.217904,0,0,0,0,0,0
