elapsed_s,RAS_STARVE_CYCLES_TSE,RAS_SUPER_TILES,RAS_8X4_TILES,RAS_MASKGEN_ACTIVE
0.562206,12927,0,0,0
0.563756,12894,0,0,0
0.565304,12933,0,0,0
0.566669,13032,0,0,0
0.568058,12900,0,0,0
0.569589,12819,0,0,0
0.571138,12909,0,0,0
0.572687,12894,0,0,0
0.574317,12876,0,0,0
0.575870,13032,0,0,0
0.577465,12780,0,0,0
0.579017,12954,0,0,0
0.580618,12834,0,0,0
0.582171,13137,0,0,0
0.583723,12972,0,0,0
0.585272,13128,0,0,0
0.586828,12891,0,0,0
0.588377,12819,0,0,0
0.589929,12990,0,0,0
0.591493,12876,0,0,0
0.593042,12903,0,0,0
0.594640,12903,0,0,0
0.596201,13134,0,0,0
0.597846,12978,0,0,0
0.599384,12810,0,0,0
0.600933,12756,0,0,0
0.602496,12915,0,0,0
0.604048,12960,0,0,0
0.605601,12927,0,0,0
0.607151,13023,0,0,0
0.608701,12996,0,0,0
0.610255,13011,0,0,0
0.611808,12942,0,0,0
0.613374,12876,0,0,0
0.614926,12960,0,0,0
0.616477,12897,0,0,0
0.618029,12948,0,0,0
0.619584,13017,0,0,0
0.621133,12990,0,0,0
0.622689,12996,0,0,0
0.624252,12903,0,0,0
0.625848,13005,0,0,0
0.627399,12987,0,0,0
0.628951,12810,0,0,0
0.630501,12783,0,0,0
0.632053,12879,0,0,0
0.633606,12789,0,0,0
0.635171,12885,0,0,0
0.636721,12972,0,0,0
0.638274,13512,0,0,0
0.639826,12855,0,0,0
0.641423,12891,0,0,0
0.642976,13008,0,0,0
0.644525,13422,0,0,0
0.646092,12990,0,0,0
0.647646,12921,0,0,0
0.649196,12879,0,0,0
0.650752,12912,0,0,0
0.652454,12870,0,0,0
0.654127,13008,0,0,0
0.655597,12975,0,0,0
0.657021,13122,0,0,0
0.658541,12750,0,0,0
0.659930,12933,0,0,0
0.661316,12981,0,0,0
0.662702,12972,0,0,0
0.664086,13011,0,0,0
0.665603,12948,0,0,0
0.667166,13116,0,0,0
0.668716,12828,0,0,0
0.670267,12897,0,0,0
0.671814,12873,0,0,0
0.673289,13062,0,0,0
0.674868,12927,0,0,0
0.676419,12981,0,0,0
0.677986,13260,0,0,0
0.679539,12942,0,0,0
0.681088,13134,0,0,0
0.682644,13509,0,0,0
0.684194,13149,0,0,0
0.685747,12753,0,0,0
0.687301,12969,0,0,0
0.688863,12891,0,0,0
0.690417,12954,0,0,0
0.691970,12969,0,0,0
0.693522,13107,0,0,0
0.695074,13317,0,0,0
0.696624,12906,0,0,0
0.698178,12969,0,0,0
0.699744,12972,0,0,0
0.701295,12945,0,0,0
0.702716,12771,0,0,0
0.704109,12930,0,0,0
0.705628,12858,0,0,0
0.707182,13344,0,0,0
0.708733,12867,0,0,0
0.710297,12843,0,0,0
0.711850,12987,0,0,0
0.713403,12894,0,0,0
0.714955,12885,0,0,0
0.716505,12885,0,0,0
0.718059,12966,0,0,0
0.719612,12969,0,0,0
0.721174,12882,0,0,0
0.722777,12789,0,0,0
0.724328,13194,0,0,0
0.725881,12939,0,0,0
0.727435,12798,0,0,0
0.728984,12945,0,0,0
0.730406,12870,0,0,0
0.731939,12975,0,0,0
0.733495,12849,0,0,0
0.735046,12990,0,0,0
0.736596,12795,0,0,0
0.738192,12891,0,0,0
0.739745,12951,0,0,0
0.741296,12963,0,0,0
0.742728,12969,0,0,0
0.744120,12903,0,0,0
0.745642,12963,0,0,0
0.747194,13194,0,0,0
0.748745,12963,0,0,0
0.750296,12948,0,0,0
0.751848,13038,0,0,0
0.753464,12918,0,0,0
0.755017,12861,0,0,0
0.756567,12903,0,0,0
0.758121,12963,0,0,0
0.759664,12954,0,0,0
0.761205,12927,0,0,0
0.762611,12966,0,0,0
0.764015,12987,0,0,0
0.765535,12822,0,0,0
0.767088,12852,0,0,0
0.768638,12927,0,0,0
0.770191,12765,0,0,0
