elapsed_s,RAS_FULLY_COVERED_SUPER_TILES,RAS_FULLY_COVERED_8X4_TILES,RAS_PRIM_KILLED_INVISILBE,RAS_SUPERTILE_GEN_ACTIVE_CYCLES
0.547224,0,0,0,0
0.548753,0,0,0,0
0.550304,0,0,0,0
0.551854,0,0,0,0
0.553458,0,0,0,0
0.555009,0,0,0,0
0.556605,0,0,0,0
0.558158,0,0,0,0
0.559721,0,0,0,0
0.561273,0,0,0,0
0.562824,0,0,0,0
0.564377,0,0,0,0
0.565929,0,0,0,0
0.567480,0,0,0,0
0.569054,0,0,0,0
0.570619,0,0,0,0
0.572169,0,0,0,0
0.573595,0,0,0,0
0.575119,0,0,0,0
0.576673,0,0,0,0
0.578216,0,0,0,0
0.579759,0,0,0,0
0.581189,0,0,0,0
0.582711,0,0,0,0
0.584263,0,0,0,0
0.585814,0,0,0,0
0.587362,0,0,0,0
0.588957,0,0,0,0
0.590508,0,0,0,0
0.592070,0,0,0,0
0.593626,0,0,0,0
0.595174,0,0,0,0
0.596726,0,0,0,0
0.598278,0,0,0,0
0.599827,0,0,0,0
0.601378,0,0,0,0
0.602942,0,0,0,0
0.604537,0,0,0,0
0.606089,0,0,0,0
0.607637,0,0,0,0
0.609187,0,0,0,0
0.610738,0,0,0,0
