elapsed_s,TSE_BE_CINVOCATION,TSE_BE_CPRIMITIVES,TSE_BE_2D_INPUT_PRIM,TSE_BE_2D_ALIVE_CYCLES
0.647204,0,0,0,0
0.648658,0,0,0,0
0.650160,0,0,0,0
0.651759,0,0,0,0
0.653162,0,0,0,0
0.654689,0,0,0,0
0.656069,0,0,0,0
0.657561,0,0,0,0
0.658913,0,0,0,0
0.660306,0,0,0,0
0.661690,0,0,0,0
0.663099,0,0,0,0
0.664360,0,0,0,0
0.665747,0,0,0,0
0.667133,0,0,0,0
0.668517,0,0,0,0
0.669903,0,0,0,0
0.671301,0,0,0,0
0.672684,0,0,0,0
0.674065,0,0,0,0
0.675463,0,0,0,0
0.676847,0,0,0,0
0.678227,0,0,0,0
0.679607,0,0,0,0
0.680986,0,0,0,0
0.685519,0,0,0,0
0.686930,0,0,0,0
0.688313,0,0,0,0
0.689812,0,0,0,0
0.692101,0,0,0,0
0.693543,0,0,0,0
0.694929,0,0,0,0
0.696312,0,0,0,0
0.697784,0,0,0,0
0.699170,0,0,0,0
0.700514,0,0,0,0
0.701857,0,0,0,0
0.703194,0,0,0,0
0.704547,0,0,0,0
0.705885,0,0,0,0
0.707222,0,0,0,0
0.708560,0,0,0,0
0.710024,0,0,0,0
0.711631,0,0,0,0
0.713178,0,0,0,0
0.714747,0,0,0,0
0.716296,0,0,0,0
0.717846,0,0,0,0
0.719395,0,0,0,0
0.720943,0,0,0,0
0.722493,0,0,0,0
0.724043,0,0,0,0
0.725649,0,0,0,0
0.727201,0,0,0,0
0.728749,0,0,0,0
0.730196,0,0,0,0
0.731742,0,0,0,0
0.733291,0,0,0,0
0.734847,0,0,0,0
0.736282,0,0,0,0
0.737805,0,0,0,0
0.739355,0,0,0,0
0.740904,0,0,0,0
0.742499,0,0,0,0
0.744050,0,0,0,0
0.745602,0,0,0,0
0.747158,0,0,0,0
0.748697,0,0,0,0
0.750118,0,0,0,0
0.751517,0,0,0,0
0.752905,0,0,0,0
0.754294,0,0,0,0
0.755674,0,0,0,0
0.757065,0,0,0,0
0.758485,0,0,0,0
0.759991,0,0,0,0
0.761597,0,0,0,0
0.763140,0,0,0,0
0.764679,0,0,0,0
0.766097,0,0,0,0
0.767626,0,0,0,0
0.769176,0,0,0,0
0.770730,0,0,0,0
0.772279,0,0,0,0
0.773872,0,0,0,0
0.775424,0,0,0,0
0.776973,0,0,0,0
0.778538,0,0,0,0
0.780088,0,0,0,0
0.781640,0,0,0,0
0.783193,0,0,0,0
0.784742,0,0,0,0
0.786294,0,0,0,0
0.787845,0,0,0,0
