elapsed_s,RB_VRS_4X2_QUADS,RB_VRS_4X4_QUADS,RB_STALL_CYCLES_HLSQ_INFO,RB_HLSQ_ACTIVE_INFO,RB_STALL_CYCLES_HLSQ_ATTR,RB_HLSQ_ACTIVE_ATTR,RB_STALL_CYCLES_ZMODE_SWITCH,RB_TOTAL_PASS_PIXELS
0.521589,0,0,0,0,0,0,0,0
0.522997,0,0,0,0,0,0,0,0
0.524536,0,0,0,0,0,0,0,0
0.526101,0,0,0,0,0,0,0,0
0.527756,0,0,0,0,0,0,0,0
0.529333,0,0,0,0,0,0,0,0
0.530896,0,0,0,0,0,0,0,0
0.532337,0,0,0,0,0,0,0,0
0.533877,0,0,0,0,0,0,0,0
0.535446,0,0,0,0,0,0,0,0
0.537021,0,0,0,0,0,0,0,0
0.538590,0,0,0,0,0,0,0,0
0.540051,0,0,0,0,0,0,0,0
0.541593,0,0,0,0,0,0,0,0
0.543205,0,0,0,0,0,0,0,0
0.544836,0,0,0,0,0,0,0,0
0.546404,0,0,0,0,0,0,0,0
0.547976,0,0,0,0,0,0,0,0
0.549547,0,0,0,0,0,0,0,0
0.551130,0,0,0,0,0,0,0,0
0.552701,0,0,0,0,0,0,0,0
0.554273,0,0,0,0,0,0,0,0
0.555845,0,0,0,0,0,0,0,0
0.557416,0,0,0,0,0,0,0,0
0.559027,0,0,0,0,0,0,0,0
0.560470,0,0,0,0,0,0,0,0
0.562020,0,0,0,0,0,0,0,0
0.563593,0,0,0,0,0,0,0,0
0.565164,0,0,0,0,0,0,0,0
0.566732,0,0,0,0,0,0,0,0
0.568304,0,0,0,0,0,0,0,0
0.569881,0,0,0,0,0,0,0,0
0.571451,0,0,0,0,0,0,0,0
0.573039,0,0,0,0,0,0,0,0
0.574656,0,0,0,0,0,0,0,0
0.576228,0,0,0,0,0,0,0,0
0.577800,0,0,0,0,0,0,0,0
0.579368,0,0,0,0,0,0,0,0
0.580944,0,0,0,0,0,0,0,0
0.582513,0,0,0,0,0,0,0,0
0.584098,0,0,0,0,0,0,0,0
0.585669,0,0,0,0,0,0,0,0
0.587238,0,0,0,0,0,0,0,0
0.588921,0,0,0,0,0,0,0,0
0.590490,0,0,0,0,0,0,0,0
0.592062,0,0,0,0,0,0,0,0
0.594433,0,0,0,0,0,0,0,0
0.595893,0,0,0,0,0,0,0,0
0.597304,0,0,0,0,0,0,0,0
0.598705,0,0,0,0,0,0,0,0
0.600118,0,0,0,0,0,0,0,0
0.601520,0,0,0,0,0,0,0,0
0.602919,0,0,0,0,0,0,0,0
0.604319,0,0,0,0,0,0,0,0
0.605718,0,0,0,0,0,0,0,0
0.607173,0,0,0,0,0,0,0,0
0.608574,0,0,0,0,0,0,0,0
0.609974,0,0,0,0,0,0,0,0
0.611374,0,0,0,0,0,0,0,0
0.612804,0,0,0,0,0,0,0,0
0.614203,0,0,0,0,0,0,0,0
0.615614,0,0,0,0,0,0,0,0
0.617016,0,0,0,0,0,0,0,0
0.618426,0,0,0,0,0,0,0,0
0.619973,0,0,0,0,0,0,0,0
0.621373,0,0,0,0,0,0,0,0
0.622822,0,0,0,0,0,0,0,0
0.624196,0,0,0,0,0,0,0,0
0.625574,0,0,0,0,0,0,0,0
0.626948,0,0,0,0,0,0,0,0
0.628321,0,0,0,0,0,0,0,0
0.629702,0,0,0,0,0,0,0,0
0.631075,0,0,0,0,0,0,0,0
0.632449,0,0,0,0,0,0,0,0
0.633822,0,0,0,0,0,0,0,0
0.635195,0,0,0,0,0,0,0,0
0.636571,0,0,0,0,0,0,0,0
0.637946,0,0,0,0,0,0,0,0
0.639356,0,0,0,0,0,0,0,0
0.640712,0,0,0,0,0,0,0,0
0.642072,0,0,0,0,0,0,0,0
0.643431,0,0,0,0,0,0,0,0
0.644848,0,0,0,0,0,0,0,0
0.646205,0,0,0,0,0,0,0,0
0.647583,0,0,0,0,0,0,0,0
0.649057,0,0,0,0,0,0,0,0
0.650413,0,0,0,0,0,0,0,0
0.651780,0,0,0,0,0,0,0,0
0.653138,0,0,0,0,0,0,0,0
0.654526,0,0,0,0,0,0,0,0
0.655952,0,0,0,0,0,0,0,0
0.657379,0,0,0,0,0,0,0,0
0.658805,0,0,0,0,0,0,0,0
0.660229,0,0,0,0,0,0,0,0
0.661654,0,0,0,0,0,0,0,0
0.663089,0,0,0,0,0,0,0,0
0.664515,0,0,0,0,0,0,0,0
0.665943,0,0,0,0,0,0,0,0
0.667222,0,0,0,0,0,0,0,0
0.668542,0,0,0,0,0,0,0,0
0.669920,0,0,0,0,0,0,0,0
0.671205,0,0,0,0,0,0,0,0
0.672636,0,0,0,0,0,0,0,0
0.674022,0,0,0,0,0,0,0,0
0.675491,0,0,0,0,0,0,0,0
0.677013,0,0,0,0,0,0,0,0
0.678450,0,0,0,0,0,0,0,0
0.679827,0,0,0,0,0,0,0,0
0.681200,0,0,0,0,0,0,0,0
0.682563,0,0,0,0,0,0,0,0
0.684114,0,0,0,0,0,0,0,0
0.685554,0,0,0,0,0,0,0,0
0.686946,0,0,0,0,0,0,0,0
0.688383,0,0,0,0,0,0,0,0
0.689808,0,0,0,0,0,0,0,0
0.691219,0,0,0,0,0,0,0,0
0.692740,0,0,0,0,0,0,0,0
0.694158,0,0,0,0,0,0,0,0
0.695638,0,0,0,0,0,0,0,0
