elapsed_s,TSE_REG_PROGRAMMING_ONLY_CYCLE_L0,TSE_COMMON_RAM_WORKING_CYCLE_L2,TSE_COMMON_RAM_RD_WORKING_CYCLE_L3,TSE_COMMON_RAM_WR_WORKING_CYCLE_L3
0.866513,0,0,0,0
0.868153,0,0,0,0
0.869704,0,0,0,0
0.871260,0,0,0,0
0.872814,0,0,0,0
0.874378,0,0,0,0
0.875933,0,0,0,0
0.877486,0,0,0,0
0.879041,0,0,0,0
0.880595,0,0,0,0
0.882147,0,0,0,0
0.883702,0,0,0,0
0.885269,0,0,0,0
0.886894,0,0,0,0
0.888513,0,0,0,0
0.890064,0,0,0,0
0.891662,0,0,0,0
0.893207,0,0,0,0
0.894747,0,0,0,0
0.896316,0,0,0,0
0.897867,0,0,0,0
0.899423,0,0,0,0
0.900978,0,0,0,0
0.902530,0,0,0,0
0.904087,0,0,0,0
0.905638,0,0,0,0
0.907249,0,0,0,0
0.908805,0,0,0,0
0.910355,0,0,0,0
0.911909,0,0,0,0
0.913464,0,0,0,0
0.915019,0,0,0,0
0.916573,0,0,0,0
0.918014,0,0,0,0
0.919542,0,0,0,0
0.921099,0,0,0,0
0.922655,0,0,0,0
0.924262,0,0,0,0
0.925817,0,0,0,0
0.927375,0,0,0,0
0.928946,0,0,0,0
0.930502,0,0,0,0
0.932147,0,0,0,0
0.933702,0,0,0,0
0.935260,0,0,0,0
0.936816,0,0,0,0
0.938371,0,0,0,0
0.939941,0,0,0,0
0.941499,0,0,0,0
0.943058,0,0,0,0
0.944616,0,0,0,0
0.946171,0,0,0,0
0.947728,0,0,0,0
0.949285,0,0,0,0
0.950858,0,0,0,0
0.952414,0,0,0,0
0.953970,0,0,0,0
0.955574,0,0,0,0
0.957132,0,0,0,0
0.958686,0,0,0,0
0.960248,0,0,0,0
0.961819,0,0,0,0
0.963375,0,0,0,0
0.964933,0,0,0,0
0.966487,0,0,0,0
0.968107,0,0,0,0
0.969661,0,0,0,0
0.971263,0,0,0,0
0.972708,0,0,0,0
0.974234,0,0,0,0
0.975790,0,0,0,0
0.977338,0,0,0,0
0.978949,0,0,0,0
0.980362,0,0,0,0
0.981759,0,0,0,0
0.983293,0,0,0,0
0.984849,0,0,0,0
0.986404,0,0,0,0
0.987961,0,0,0,0
0.989519,0,0,0,0
0.991077,0,0,0,0
0.992633,0,0,0,0
0.994201,0,0,0,0
0.995758,0,0,0,0
0.997306,0,0,0,0
0.998940,0,0,0,0
1.000408,0,0,0,0
1.001808,0,0,0,0
1.003243,0,0,0,0
1.004645,0,0,0,0
1.006032,0,0,0,0
1.007531,0,0,0,0
1.008927,0,0,0,0
1.010439,0,0,0,0
1.011861,0,0,0,0
1.013419,0,0,0,0
1.014987,0,0,0,0
1.016543,0,0,0,0
1.018097,0,0,0,0
1.019652,0,0,0,0
1.021208,0,0,0,0
1.022760,0,0,0,0
1.024216,0,0,0,0
1.025616,0,0,0,0
1.027002,0,0,0,0
1.028518,0,0,0,0
1.030071,0,0,0,0
1.031685,0,0,0,0
1.033219,0,0,0,0
1.034984,0,0,0,0
1.036448,0,0,0,0
1.037846,0,0,0,0
1.039236,0,0,0,0
1.040626,0,0,0,0
1.042016,0,0,0,0
1.043408,0,0,0,0
1.044796,0,0,0,0
1.046182,0,0,0,0
1.047587,0,0,0,0
1.048976,0,0,0,0
1.050363,0,0,0,0
1.051790,0,0,0,0
1.053179,0,0,0,0
1.054567,0,0,0,0
1.055955,0,0,0,0
1.057343,0,0,0,0
1.058739,0,0,0,0
1.060129,0,0,0,0
1.061516,0,0,0,0
1.062906,0,0,0,0
1.064294,0,0,0,0
1.065682,0,0,0,0
1.067106,0,0,0,0
1.068494,0,0,0,0
1.069894,0,0,0,0
1.071285,0,0,0,0
1.072673,0,0,0,0
1.074062,0,0,0,0
1.075452,0,0,0,0
1.076840,0,0,0,0
1.078227,0,0,0,0
1.079618,0,0,0,0
1.081016,0,0,0,0
1.082403,0,0,0,0
1.083828,0,0,0,0
1.085215,0,0,0,0
1.086602,0,0,0,0
1.089473,0,0,0,0
1.090996,0,0,0,0
1.092566,0,0,0,0
1.094121,0,0,0,0
1.095684,0,0,0,0
1.097240,0,0,0,0
1.098795,0,0,0,0
1.100438,0,0,0,0
1.102021,0,0,0,0
1.103455,0,0,0,0
1.104981,0,0,0,0
1.106535,0,0,0,0
1.108095,0,0,0,0
1.109650,0,0,0,0
1.111207,0,0,0,0
1.112763,0,0,0,0
1.114329,0,0,0,0
1.115885,0,0,0,0
1.117441,0,0,0,0
1.118997,0,0,0,0
1.120553,0,0,0,0
1.122106,0,0,0,0
1.123663,0,0,0,0
1.125284,0,0,0,0
1.127104,0,0,0,0
1.128686,0,0,0,0
1.130102,0,0,0,0
1.131491,0,0,0,0
1.133009,0,0,0,0
1.134558,0,0,0,0
1.136001,0,0,0,0
1.137521,0,0,0,0
1.139081,0,0,0,0
1.140650,0,0,0,0
1.142166,0,0,0,0
