elapsed_s,RAS_STARVE_CYCLES_TSE,RAS_SUPER_TILES,RAS_8X4_TILES,RAS_MASKGEN_ACTIVE
1.472919,6282,0,0,0
1.474517,6249,0,0,0
1.476061,6195,0,0,0
1.477602,6354,0,0,0
1.479219,6189,0,0,0
1.480747,6258,0,0,0
1.482272,6432,0,0,0
1.484051,6303,0,0,0
1.485675,6237,0,0,0
1.488594,5901,0,0,0
1.490948,5724,0,0,0
1.492668,6240,0,0,0
1.494300,6315,0,0,0
1.495833,6357,0,0,0
1.497370,6243,0,0,0
1.498903,6336,0,0,0
1.500689,6303,0,0,0
1.502293,6312,0,0,0
1.503868,6321,0,0,0
1.505418,6285,0,0,0
1.506953,6255,0,0,0
1.508490,6297,0,0,0
1.510228,6234,0,0,0
1.512048,5910,0,0,0
1.513687,6273,0,0,0
1.515375,6141,0,0,0
1.516926,6201,0,0,0
1.518534,6255,0,0,0
1.520068,6267,0,0,0
1.521603,6366,0,0,0
1.523348,6144,0,0,0
1.525144,6294,0,0,0
1.527014,6336,0,0,0
1.528638,6261,0,0,0
1.530182,6372,0,0,0
1.531930,6300,0,0,0
1.533726,6303,0,0,0
1.535524,6276,0,0,0
1.537319,6138,0,0,0
1.539133,6225,0,0,0
1.540913,6318,0,0,0
1.542763,6252,0,0,0
1.544502,6219,0,0,0
1.546301,6255,0,0,0
1.548117,6240,0,0,0
1.549752,6273,0,0,0
1.551507,6204,0,0,0
1.553301,6294,0,0,0
1.555251,6261,0,0,0
1.557059,6300,0,0,0
1.558929,6315,0,0,0
1.560752,6294,0,0,0
1.562544,6225,0,0,0
1.564338,6297,0,0,0
1.566133,6261,0,0,0
1.568010,6210,0,0,0
1.569804,6273,0,0,0
1.571425,6255,0,0,0
1.573178,6306,0,0,0
1.575046,6273,0,0,0
1.576648,6225,0,0,0
1.578396,6276,0,0,0
1.580187,6345,0,0,0
1.581999,6267,0,0,0
1.583823,6318,0,0,0
1.585618,6279,0,0,0
1.587413,6111,0,0,0
1.589208,6285,0,0,0
1.591235,6303,0,0,0
1.592845,6339,0,0,0
1.594583,6267,0,0,0
1.596367,6279,0,0,0
1.598161,6294,0,0,0
1.599764,6234,0,0,0
1.601498,6228,0,0,0
1.603228,6243,0,0,0
1.604802,6255,0,0,0
1.606449,6315,0,0,0
1.607986,6324,0,0,0
1.609521,6246,0,0,0
1.611054,6327,0,0,0
1.612657,6294,0,0,0
1.614204,6258,0,0,0
1.615959,6270,0,0,0
1.617751,6237,0,0,0
1.619547,6267,0,0,0
1.621337,6273,0,0,0
1.623210,6288,0,0,0
1.625022,6393,0,0,0
1.626811,6285,0,0,0
1.628611,6048,0,0,0
1.630477,6267,0,0,0
1.632267,6078,0,0,0
1.634059,6186,0,0,0
1.635676,6327,0,0,0
1.637428,6294,0,0,0
1.639226,6318,0,0,0
1.641019,6273,0,0,0
1.642809,6234,0,0,0
