elapsed_s,TSE_FE_EMPTY_BBOX_KILLED_PRIM,TSE_FE_ST1_VP_PARAMS_CACHE_MISS,TSE_FE_ST2_VPORT_VP_PARAMS_CACHE_MISS,TSE_FE_ST2_SCISSOR_VP_PARAMS_CACHE_MISS
0.973241,0,0,0,0
0.975031,0,0,0,0
0.976721,0,0,0,0
0.978477,0,0,0,0
0.980266,0,0,0,0
0.982058,0,0,0,0
0.983851,0,0,0,0
0.985724,0,0,0,0
0.987536,0,0,0,0
0.989331,0,0,0,0
0.991110,0,0,0,0
0.992962,0,0,0,0
0.994806,0,0,0,0
0.996732,0,0,0,0
0.998299,0,0,0,0
0.999835,0,0,0,0
1.001455,0,0,0,0
1.002986,0,0,0,0
1.004556,0,0,0,0
1.006188,0,0,0,0
1.007728,0,0,0,0
1.010305,0,0,0,0
1.011843,0,0,0,0
1.013372,0,0,0,0
1.014896,0,0,0,0
1.016488,0,0,0,0
1.018018,0,0,0,0
1.019569,0,0,0,0
1.021312,0,0,0,0
1.023092,0,0,0,0
1.024946,0,0,0,0
1.026574,0,0,0,0
1.028228,0,0,0,0
1.029786,0,0,0,0
1.031324,0,0,0,0
1.032929,0,0,0,0
1.034468,0,0,0,0
1.036207,0,0,0,0
1.037998,0,0,0,0
1.039790,0,0,0,0
1.041488,0,0,0,0
1.043238,0,0,0,0
1.045034,0,0,0,0
1.046828,0,0,0,0
1.048698,0,0,0,0
1.050492,0,0,0,0
1.052302,0,0,0,0
1.054277,0,0,0,0
1.055804,0,0,0,0
1.057741,0,0,0,0
1.059545,0,0,0,0
1.061130,0,0,0,0
1.062696,0,0,0,0
1.064519,0,0,0,0
1.066460,0,0,0,0
1.068249,0,0,0,0
1.070039,0,0,0,0
1.071829,0,0,0,0
1.073525,0,0,0,0
1.075272,0,0,0,0
1.077084,0,0,0,0
1.078879,0,0,0,0
1.080743,0,0,0,0
1.082538,0,0,0,0
1.084346,0,0,0,0
1.086132,0,0,0,0
1.087922,0,0,0,0
1.089741,0,0,0,0
1.091528,0,0,0,0
1.093420,0,0,0,0
1.095026,0,0,0,0
1.096852,0,0,0,0
1.098654,0,0,0,0
1.100442,0,0,0,0
1.102234,0,0,0,0
1.104026,0,0,0,0
1.105570,0,0,0,0
1.107118,0,0,0,0
1.108861,0,0,0,0
1.110649,0,0,0,0
1.112502,0,0,0,0
1.114432,0,0,0,0
1.116309,0,0,0,0
1.117908,0,0,0,0
1.119686,0,0,0,0
1.121482,0,0,0,0
1.123275,0,0,0,0
1.125073,0,0,0,0
1.126886,0,0,0,0
1.128755,0,0,0,0
1.130550,0,0,0,0
1.132329,0,0,0,0
1.134050,0,0,0,0
1.135751,0,0,0,0
1.137501,0,0,0,0
1.139169,0,0,0,0
1.140836,0,0,0,0
1.142513,0,0,0,0
1.144289,0,0,0,0
1.146080,0,0,0,0
1.147883,0,0,0,0
1.149496,0,0,0,0
1.151112,0,0,0,0
1.152944,0,0,0,0
1.154688,0,0,0,0
1.156275,0,0,0,0
1.158046,0,0,0,0
1.159840,0,0,0,0
1.161718,0,0,0,0
1.163512,0,0,0,0
