elapsed_s,TSE_BE_STALL_CYCLES_LRZ_BARYPLANE,TSE_BE_STALL_CYCLES_LRZ_ZPLANE,TSE_BE_STARVE_CYCLES_PC,TSE_BE_INPUT_PRIM
0.655621,0,0,0,0
0.656963,0,0,0,0
0.658302,0,0,0,0
0.659638,0,0,0,0
0.660978,0,0,0,0
0.662421,0,0,0,0
0.663876,0,0,0,0
0.665209,0,0,0,0
0.666541,0,0,0,0
0.667896,0,0,0,0
0.669223,0,0,0,0
0.670552,0,0,0,0
0.671888,0,0,0,0
0.673215,0,0,0,0
0.674559,0,0,0,0
0.675921,0,0,0,0
0.677241,0,0,0,0
0.678671,0,0,0,0
0.679990,0,0,0,0
0.681309,0,0,0,0
0.682780,0,0,0,0
0.684100,0,0,0,0
0.685424,0,0,0,0
0.686745,0,0,0,0
0.688075,0,0,0,0
0.689402,0,0,0,0
0.690791,0,0,0,0
0.692303,0,0,0,0
0.693749,0,0,0,0
0.695115,0,0,0,0
0.696639,0,0,0,0
0.697969,0,0,0,0
0.699450,0,0,0,0
0.700770,0,0,0,0
0.702254,0,0,0,0
0.703547,0,0,0,0
0.704886,0,0,0,0
0.706214,0,0,0,0
0.707587,0,0,0,0
0.708917,0,0,0,0
0.710251,0,0,0,0
0.711556,0,0,0,0
0.712899,0,0,0,0
0.714353,0,0,0,0
0.715697,0,0,0,0
0.717023,0,0,0,0
0.718368,0,0,0,0
0.719705,0,0,0,0
0.721047,0,0,0,0
0.722382,0,0,0,0
0.723723,0,0,0,0
0.725071,0,0,0,0
0.726445,0,0,0,0
0.731610,0,0,0,0
0.732963,0,0,0,0
0.734303,0,0,0,0
0.735631,0,0,0,0
0.736959,0,0,0,0
0.738280,0,0,0,0
0.739602,0,0,0,0
0.740928,0,0,0,0
0.742250,0,0,0,0
0.743555,0,0,0,0
0.744881,0,0,0,0
0.746375,0,0,0,0
0.747702,0,0,0,0
0.749028,0,0,0,0
0.750438,0,0,0,0
0.751886,0,0,0,0
0.753340,0,0,0,0
0.754730,0,0,0,0
0.756054,0,0,0,0
0.757386,0,0,0,0
0.758726,0,0,0,0
0.760176,0,0,0,0
0.761517,0,0,0,0
0.762889,0,0,0,0
0.764303,0,0,0,0
0.767570,0,0,0,0
0.768918,0,0,0,0
0.770253,0,0,0,0
0.771605,0,0,0,0
0.772950,0,0,0,0
0.774306,0,0,0,0
0.775646,0,0,0,0
0.776971,0,0,0,0
0.778301,0,0,0,0
0.779666,0,0,0,0
0.781001,0,0,0,0
0.782342,0,0,0,0
0.783675,0,0,0,0
0.785007,0,0,0,0
0.786346,0,0,0,0
0.787825,0,0,0,0
0.789257,0,0,0,0
0.790615,0,0,0,0
0.791942,0,0,0,0
0.793274,0,0,0,0
0.794758,0,0,0,0
0.796096,0,0,0,0
0.797443,0,0,0,0
0.798775,0,0,0,0
0.800108,0,0,0,0
0.801551,0,0,0,0
0.803053,0,0,0,0
0.804484,0,0,0,0
0.805807,0,0,0,0
0.807238,0,0,0,0
0.808561,0,0,0,0
0.810001,0,0,0,0
0.811365,0,0,0,0
0.812770,0,0,0,0
0.814208,0,0,0,0
0.815557,0,0,0,0
0.819592,0,0,0,0
0.820928,0,0,0,0
0.822258,0,0,0,0
0.823608,0,0,0,0
0.825049,0,0,0,0
0.826389,0,0,0,0
0.827858,0,0,0,0
0.829187,0,0,0,0
0.830515,0,0,0,0
0.831864,0,0,0,0
0.833304,0,0,0,0
0.834639,0,0,0,0
0.835988,0,0,0,0
0.837320,0,0,0,0
0.838651,0,0,0,0
0.839988,0,0,0,0
0.841334,0,0,0,0
0.842715,0,0,0,0
0.844060,0,0,0,0
0.845408,0,0,0,0
0.846743,0,0,0,0
0.848086,0,0,0,0
0.849526,0,0,0,0
0.851009,0,0,0,0
0.852341,0,0,0,0
0.853680,0,0,0,0
0.855018,0,0,0,0
0.856349,0,0,0,0
0.857789,0,0,0,0
0.859134,0,0,0,0
0.860454,0,0,0,0
0.861887,0,0,0,0
0.863206,0,0,0,0
0.864563,0,0,0,0
0.865890,0,0,0,0
