elapsed_s,CP_NEVER_COUNT,CP_ALWAYS_COUNT,CP_BUSY_GFX_CORE_IDLE,CP_BUSY_CYCLES,CP_NUM_PREEMPTIONS,CP_PREEMPTION_REACTION_DELAY,CP_PREEMPTION_SWITCH_OUT_TIME,CP_PREEMPTION_SWITCH_IN_TIME,CP_DEAD_DRAWS_IN_BIN_RENDER,CP_PREDICATED_DRAWS_KILLED,CP_MODE_SWITCH,CP_ZPASS_DONE,CP_CONTEXT_DONE,CP_CACHE_FLUSH
1.597759,0,105128,1622,1621,0,0,0,0,0,0,0,0,0,0
1.599712,0,95331,1405,1404,0,0,0,0,0,0,0,0,0,0
1.601442,0,93839,1622,1621,0,0,0,0,0,0,0,0,0,0
1.603093,0,91400,1619,1618,0,0,0,0,0,0,0,0,0,0
1.604743,0,91401,1547,1546,0,0,0,0,0,0,0,0,0,0
1.606391,0,91298,1616,1615,0,0,0,0,0,0,0,0,0,0
1.608115,0,91421,1617,1616,0,0,0,0,0,0,0,0,0,0
1.609764,0,91471,1623,1622,0,0,0,0,0,0,0,0,0,0
1.611415,0,91131,1512,1511,0,0,0,0,0,0,0,0,0,0
1.613061,0,91302,1620,1619,0,0,0,0,0,0,0,0,0,0
1.614709,0,91387,1623,1622,0,0,0,0,0,0,0,0,0,0
1.616483,0,102261,1628,1627,0,0,0,0,0,0,0,0,0,0
1.618142,0,91438,1566,1565,0,0,0,0,0,0,0,0,0,0
1.619793,0,91662,1559,1558,0,0,0,0,0,0,0,0,0,0
1.621443,0,91196,1599,1598,0,0,0,0,0,0,0,0,0,0
1.623148,0,108765,1431,1430,0,0,0,0,0,0,0,0,0,0
1.624962,0,99897,1574,1573,0,0,0,0,0,0,0,0,0,0
1.626651,0,97374,1589,1588,0,0,0,0,0,0,0,0,0,0
1.628414,0,109461,1629,1628,0,0,0,0,0,0,0,0,0,0
1.630062,0,91252,1630,1629,0,0,0,0,0,0,0,0,0,0
1.631716,0,277393,1473,1472,0,0,0,0,0,0,0,0,0,0
1.634662,0,105326,1616,1615,0,0,0,0,0,0,0,0,0,0
1.636538,0,126795,1613,1612,0,0,0,0,0,0,0,0,0,0
1.638191,0,91471,1625,1624,0,0,0,0,0,0,0,0,0,0
1.639918,0,91523,1636,1635,0,0,0,0,0,0,0,0,0,0
1.641568,0,91704,1622,1621,0,0,0,0,0,0,0,0,0,0
1.643219,0,91436,1617,1616,0,0,0,0,0,0,0,0,0,0
1.644868,0,91545,1608,1607,0,0,0,0,0,0,0,0,0,0
1.646516,0,91523,1623,1622,0,0,0,0,0,0,0,0,0,0
1.648282,0,91294,1612,1611,0,0,0,0,0,0,0,0,0,0
1.649996,0,91230,1619,1618,0,0,0,0,0,0,0,0,0,0
1.651647,0,91494,1637,1636,0,0,0,0,0,0,0,0,0,0
1.653297,0,91403,1550,1549,0,0,0,0,0,0,0,0,0,0
1.654945,0,91704,1606,1605,0,0,0,0,0,0,0,0,0,0
1.656596,0,91304,1625,1624,0,0,0,0,0,0,0,0,0,0
1.658245,0,91395,1616,1615,0,0,0,0,0,0,0,0,0,0
1.659895,0,91327,1616,1615,0,0,0,0,0,0,0,0,0,0
1.661558,0,91402,1554,1553,0,0,0,0,0,0,0,0,0,0
1.663209,0,99816,1548,1547,0,0,0,0,0,0,0,0,0,0
1.664912,0,91337,1630,1629,0,0,0,0,0,0,0,0,0,0
1.666561,0,91501,1620,1619,0,0,0,0,0,0,0,0,0,0
1.668317,0,102716,1444,1443,0,0,0,0,0,0,0,0,0,0
1.670001,0,93506,1631,1630,0,0,0,0,0,0,0,0,0,0
1.671768,0,99309,1614,1613,0,0,0,0,0,0,0,0,0,0
1.673432,0,97869,1490,1489,0,0,0,0,0,0,0,0,0,0
1.675275,0,97225,1626,1625,0,0,0,0,0,0,0,0,0,0
1.676885,0,91201,1617,1616,0,0,0,0,0,0,0,0,0,0
1.678485,0,90757,1576,1575,0,0,0,0,0,0,0,0,0,0
1.680126,0,105444,1548,1547,0,0,0,0,0,0,0,0,0,0
1.681926,0,108923,1617,1616,0,0,0,0,0,0,0,0,0,0
1.683783,0,103355,1575,1574,0,0,0,0,0,0,0,0,0,0
1.685467,0,93675,1632,1631,0,0,0,0,0,0,0,0,0,0
1.687125,0,91550,1621,1620,0,0,0,0,0,0,0,0,0,0
1.688777,0,91426,1623,1622,0,0,0,0,0,0,0,0,0,0
1.690433,0,91483,1618,1617,0,0,0,0,0,0,0,0,0,0
1.692148,0,253672,1626,1625,0,0,0,0,0,0,0,0,0,0
1.694846,0,93062,1582,1581,0,0,0,0,0,0,0,0,0,0
1.696607,0,107860,1560,1559,0,0,0,0,0,0,0,0,0,0
1.698446,0,104454,1420,1419,0,0,0,0,0,0,0,0,0,0
1.700609,0,170567,1393,1392,0,0,0,0,0,0,0,0,0,0
1.702589,0,139738,1448,1447,0,0,0,0,0,0,0,0,0,0
1.704840,0,174709,1493,1492,0,0,0,0,0,0,0,0,0,0
1.707015,0,140962,1449,1448,0,0,0,0,0,0,0,0,0,0
1.709014,0,104997,1624,1623,0,0,0,0,0,0,0,0,0,0
1.710745,0,101490,1550,1549,0,0,0,0,0,0,0,0,0,0
1.712473,0,99822,1612,1611,0,0,0,0,0,0,0,0,0,0
1.714042,0,88897,1580,1579,0,0,0,0,0,0,0,0,0,0
1.715616,0,88858,1588,1587,0,0,0,0,0,0,0,0,0,0
1.717190,0,88486,1621,1620,0,0,0,0,0,0,0,0,0,0
