elapsed_s,RAS_FULLY_COVERED_SUPER_TILES,RAS_FULLY_COVERED_8X4_TILES,RAS_PRIM_KILLED_INVISILBE,RAS_SUPERTILE_GEN_ACTIVE_CYCLES
0.674902,0,0,0,0
0.676326,0,0,0,0
0.677706,0,0,0,720
0.679036,0,0,0,0
0.680422,0,0,0,0
0.681806,0,0,0,0
0.683197,0,0,0,0
0.684586,0,0,0,0
0.686024,0,0,0,0
0.687410,0,0,0,0
0.688785,0,0,0,0
0.690354,0,0,0,0
0.692021,0,0,0,0
0.694147,0,0,0,0
0.695528,0,0,0,0
0.696943,0,0,0,0
0.701996,0,0,0,0
0.703380,0,0,0,0
0.704782,0,0,0,0
0.707903,0,0,0,0
0.709308,0,0,0,0
0.710688,0,0,0,0
0.712045,0,0,0,0
0.713388,0,0,0,0
0.714727,0,0,0,0
0.716109,0,0,0,0
0.717442,0,0,0,0
0.718773,0,0,0,0
0.720103,0,0,0,0
0.721435,0,0,0,0
0.722784,0,0,0,0
0.724246,0,0,0,0
0.725676,0,0,0,0
0.727196,0,0,0,0
0.728742,0,0,0,0
0.730291,0,0,0,0
0.731838,0,0,0,0
0.733385,0,0,0,0
0.734802,0,0,0,0
0.736186,0,0,0,0
0.737570,0,0,0,0
0.738956,0,0,0,0
0.740383,0,0,0,0
0.741769,0,0,0,0
0.743276,0,0,0,0
0.744838,0,0,0,0
0.746388,0,0,0,0
0.747936,0,0,0,0
0.749486,0,0,0,0
0.751036,0,0,0,0
0.752584,0,0,0,0
0.754136,0,0,0,0
0.755569,0,0,0,0
0.757093,0,0,0,0
0.758642,0,0,0,0
0.760189,0,0,0,0
0.761738,0,0,0,0
0.763288,0,0,0,0
0.764839,0,0,0,0
0.766402,0,0,0,0
0.767948,0,0,0,0
0.769500,0,0,0,0
0.771050,0,0,0,0
0.772598,0,0,0,0
0.774151,0,0,0,0
0.775699,0,0,0,0
0.777261,0,0,0,0
0.778811,0,0,0,0
0.780358,0,0,0,0
0.781907,0,0,0,0
0.783456,0,0,0,0
0.785007,0,0,0,0
0.786558,0,0,0,0
0.788158,0,0,0,0
0.790079,0,0,0,0
0.791482,0,0,0,0
0.793182,0,0,0,0
0.794564,0,0,0,0
0.795941,0,0,0,0
0.797319,0,0,0,0
0.798706,0,0,0,0
0.800083,0,0,0,0
0.801460,0,0,0,0
0.802838,0,0,0,0
0.804267,0,0,0,0
0.805620,0,0,0,0
0.806973,0,0,0,0
0.808327,0,0,0,0
0.809687,0,0,0,0
0.811042,0,0,0,0
0.812394,0,0,0,0
0.813747,0,0,0,0
0.815100,0,0,0,0
0.816453,0,0,0,0
0.817809,0,0,0,0
0.819165,0,0,0,0
0.820562,0,0,0,0
0.821925,0,0,0,0
0.823263,0,0,0,0
0.824602,0,0,0,0
0.825961,0,0,0,0
0.827301,0,0,0,0
0.828640,0,0,0,0
0.830042,0,0,0,0
0.831388,0,0,0,0
0.832728,0,0,0,0
0.834135,0,0,0,0
0.835473,0,0,0,0
0.836843,0,0,0,0
0.838213,0,0,0,0
0.839576,0,0,0,0
0.840829,0,0,0,0
0.842199,0,0,0,0
0.843560,0,0,0,0
0.844813,0,0,0,0
