elapsed_s,RB_NEVER_COUNT,RB_BUSY_CYCLES,RB_STALL_CYCLES_HLSQ,RB_STALL_CYCLES_FIFO0_FULL,RB_STALL_CYCLES_FIFO1_FULL,RB_STALL_CYCLES_FIFO2_FULL,RB_STARVE_CYCLES_SP,RB_STARVE_CYCLES_LRZ_TILE
0.699166,0,0,0,0,0,0,0,0
0.700739,0,0,0,0,0,0,0,0
0.702199,0,0,0,0,0,0,0,0
0.703743,0,0,0,0,0,0,0,0
0.705307,0,0,0,0,0,0,0,0
0.706911,0,0,0,0,0,0,0,0
0.708321,0,0,0,0,0,0,0,0
0.709732,0,0,0,0,0,0,0,0
0.711273,0,0,0,0,0,0,0,0
0.712732,0,0,0,0,0,0,0,0
0.714274,0,0,0,0,0,0,0,0
0.715846,0,0,0,0,0,0,0,0
0.717418,0,0,0,0,0,0,0,0
0.718987,0,0,0,0,0,0,0,0
0.720637,0,0,0,0,0,0,0,0
0.722049,0,0,0,0,0,0,0,0
0.723600,0,0,0,0,0,0,0,0
0.725172,0,0,0,0,0,0,0,0
0.726740,0,0,0,0,0,0,0,0
0.728315,0,0,0,0,0,0,0,0
0.729885,0,0,0,0,0,0,0,0
0.731499,0,0,0,0,0,0,0,0
0.733071,0,0,0,0,0,0,0,0
0.734654,0,0,0,0,0,0,0,0
0.736293,0,0,0,0,0,0,0,0
0.737906,0,0,0,0,0,0,0,0
0.739521,0,0,0,0,0,0,0,0
0.741092,0,0,0,0,0,0,0,0
0.742662,0,0,0,0,0,0,0,0
0.744290,0,0,0,0,0,0,0,0
0.745872,0,0,0,0,0,0,0,0
0.747486,0,0,0,0,0,0,0,0
0.749058,0,0,0,0,0,0,0,0
0.750626,0,0,0,0,0,0,0,0
0.752067,0,0,0,0,0,0,0,0
0.753608,0,0,0,0,0,0,0,0
0.755225,0,0,0,0,0,0,0,0
0.756810,0,0,0,0,0,0,0,0
0.758378,0,0,0,0,0,0,0,0
0.759949,0,0,0,0,0,0,0,0
0.761520,0,0,0,0,0,0,0,0
0.763133,0,0,0,0,0,0,0,0
0.764711,0,0,0,0,0,0,0,0
0.766175,0,0,0,0,0,0,0,0
0.767606,0,0,0,0,0,0,0,0
0.769148,0,0,0,0,0,0,0,0
0.770719,0,0,0,0,0,0,0,0
