elapsed_s,VPC_NEVER_COUNT,VPC_FE_BUSY_CYCLES,VPC_FE_WORKING_CYCLES,VPC_FE_STALL_CYCLES_VFD_WACK,VPC_FE_STARVE_CYCLES_SP,VPC_FE_PC_PRIMITIVES
0.088023,0,0,0,0,0,0
0.092591,0,0,0,0,0,0
0.094016,0,0,0,0,0,0
0.095380,0,0,0,0,0,0
0.096863,0,0,0,0,0,0
0.098284,0,0,0,0,0,0
0.099640,0,0,0,0,0,0
0.100993,0,0,0,0,0,0
0.102346,0,0,0,0,0,0
0.103696,0,0,0,0,0,0
0.105069,0,0,0,0,0,0
0.106420,0,0,0,0,0,0
0.107770,0,0,0,0,0,0
0.109253,0,0,0,0,0,0
0.110824,0,0,0,0,0,0
0.112383,0,0,0,0,0,0
0.113948,0,0,0,0,0,0
0.115521,0,0,0,0,0,0
0.117084,0,0,0,0,0,0
0.118645,0,0,0,0,0,0
0.120204,0,0,0,0,0,0
0.121769,0,0,0,0,0,0
0.123328,0,0,0,0,0,0
0.124935,0,0,0,0,0,0
0.126509,0,0,0,0,0,0
0.128068,0,0,0,0,0,0
0.129628,0,0,0,0,0,0
0.131191,0,0,0,0,0,0
0.132752,0,0,0,0,0,0
0.134314,0,0,0,0,0,0
0.135872,0,0,0,0,0,0
0.137446,0,0,0,0,0,0
0.139007,0,0,0,0,0,0
0.140613,0,0,0,0,0,0
0.142175,0,0,0,0,0,0
0.143734,0,0,0,0,0,0
0.145294,0,0,0,0,0,0
0.146855,0,0,0,0,0,0
0.148427,0,0,0,0,0,0
0.149992,0,0,0,0,0,0
0.151550,0,0,0,0,0,0
0.153114,0,0,0,0,0,0
0.154674,0,0,0,0,0,0
0.156277,0,0,0,0,0,0
0.157841,0,0,0,0,0,0
0.159290,0,0,0,0,0,0
0.160823,0,0,0,0,0,0
0.162385,0,0,0,0,0,0
0.163944,0,0,0,0,0,0
0.165505,0,0,0,0,0,0
0.167065,0,0,0,0,0,0
0.168628,0,0,0,0,0,0
0.170201,0,0,0,0,0,0
0.172430,0,0,0,0,0,0
0.175133,0,0,0,0,0,0
0.176611,0,0,0,0,0,0
0.178042,0,0,0,0,0,0
0.179447,0,0,0,0,0,0
0.180858,0,0,0,0,0,0
0.182257,0,0,0,0,0,0
0.183654,0,0,0,0,0,0
0.185146,0,0,0,0,0,0
0.186807,0,0,0,0,0,0
0.188383,0,0,0,0,0,0
0.189802,0,0,0,0,0,0
0.191224,0,0,0,0,0,0
0.192908,0,0,0,0,0,0
0.194462,0,0,0,0,0,0
0.196303,0,0,0,0,0,0
0.198802,0,0,0,0,0,0
0.200352,0,0,0,0,0,0
0.202007,0,0,0,0,0,0
0.203587,0,0,0,0,0,0
0.204989,0,0,0,0,0,0
0.206510,0,0,0,0,0,0
0.207975,0,0,0,0,0,0
0.209379,0,0,0,0,0,0
0.210754,0,0,0,0,0,0
0.212122,0,0,0,0,0,0
0.213472,0,0,0,0,0,0
0.214822,0,0,0,0,0,0
0.216169,0,0,0,0,0,0
0.217570,0,0,0,0,0,0
0.218918,0,0,0,0,0,0
0.220287,0,0,0,0,0,0
0.221774,0,0,0,0,0,0
0.223181,0,0,0,0,0,0
0.224595,0,0,0,0,0,0
0.226017,0,0,0,0,0,0
0.227411,0,0,0,0,0,0
0.228802,0,0,0,0,0,0
0.230321,0,0,0,0,0,0
0.231871,0,0,0,0,0,0
0.233310,0,0,0,0,0,0
0.234833,0,0,0,0,0,0
0.236425,0,0,0,0,0,0
0.238052,0,0,0,0,0,0
0.239612,0,0,0,0,0,0
0.241174,0,0,0,0,0,0
0.242727,0,0,0,0,0,0
0.244290,0,0,0,0,0,0
0.245816,0,0,0,0,0,0
0.247376,0,0,0,0,0,0
0.248939,0,0,0,0,0,0
0.250500,0,0,0,0,0,0
0.252060,0,0,0,0,0,0
0.253667,0,0,0,0,0,0
0.255232,0,0,0,0,0,0
0.256802,0,0,0,0,0,0
0.258336,0,0,0,0,0,0
0.259895,0,0,0,0,0,0
0.261456,0,0,0,0,0,0
0.263017,0,0,0,0,0,0
0.264580,0,0,0,0,0,0
0.266154,0,0,0,0,0,0
0.267713,0,0,0,0,0,0
0.269277,0,0,0,0,0,0
0.270838,0,0,0,0,0,0
0.272398,0,0,0,0,0,0
0.273963,0,0,0,0,0,0
0.275523,0,0,0,0,0,0
0.277100,0,0,0,0,0,0
0.278661,0,0,0,0,0,0
0.280220,0,0,0,0,0,0
0.281784,0,0,0,0,0,0
0.283342,0,0,0,0,0,0
0.284775,0,0,0,0,0,0
0.286174,0,0,0,0,0,0
0.287578,0,0,0,0,0,0
0.288968,0,0,0,0,0,0
0.290357,0,0,0,0,0,0
0.291746,0,0,0,0,0,0
0.293133,0,0,0,0,0,0
0.294566,0,0,0,0,0,0
0.295954,0,0,0,0,0,0
0.297343,0,0,0,0,0,0
0.298741,0,0,0,0,0,0
0.300130,0,0,0,0,0,0
0.301622,0,0,0,0,0,0
0.302985,0,0,0,0,0,0
0.304348,0,0,0,0,0,0
0.305799,0,0,0,0,0,0
0.307162,0,0,0,0,0,0
0.308524,0,0,0,0,0,0
0.309895,0,0,0,0,0,0
0.311259,0,0,0,0,0,0
0.312737,0,0,0,0,0,0
0.314101,0,0,0,0,0,0
