elapsed_s,TP_PACKED_POINT_SINGLE_VALID_FP32,TP_TOTAL_DECOMP_L1_RESP_CH0,TP_TOTAL_DECOMP_L1_RESP_CH1,TP_L1POINT5_PRE_L1_DECOMP_0_WORKLOAD_R,TP_L1POINT5_PRE_L1_DECOMP_1_WORKLOAD_R,TP_L1POINT5_ASTC_DECODER_0_WORKLOAD_R,TP_L1POINT5_ASTC_DECODER_1_WORKLOAD_R,TP_PARTIAL_SURFACE_PGMEM_PIXELS,TP_PARTIAL_SURFACE_SYSMEM_PIXELS,TP_PARTIAL_SURFACE_PGMEM_MISS_REQ,TP_PARTIAL_SURFACE_SYSMEM_MISS_REQ
0.354690,0,0,0,0,0,0,0,0,0,0,0
0.356255,0,0,0,0,0,0,0,0,0,0,0
0.357886,0,0,0,0,0,0,0,0,0,0,0
0.359472,0,0,0,0,0,0,0,0,0,0,0
0.361058,0,0,0,0,0,0,0,0,0,0,0
0.362645,0,0,0,0,0,0,0,0,0,0,0
0.364232,0,0,0,0,0,0,0,0,0,0,0
0.365820,0,0,0,0,0,0,0,0,0,0,0
0.367420,0,0,0,0,0,0,0,0,0,0,0
0.369004,0,0,0,0,0,0,0,0,0,0,0
0.370463,0,0,0,0,0,0,0,0,0,0,0
0.372019,0,0,0,0,0,0,0,0,0,0,0
0.373608,0,0,0,0,0,0,0,0,0,0,0
0.375194,0,0,0,0,0,0,0,0,0,0,0
0.376779,0,0,0,0,0,0,0,0,0,0,0
0.378379,0,0,0,0,0,0,0,0,0,0,0
0.379965,0,0,0,0,0,0,0,0,0,0,0
0.381554,0,0,0,0,0,0,0,0,0,0,0
0.383141,0,0,0,0,0,0,0,0,0,0,0
0.384727,0,0,0,0,0,0,0,0,0,0,0
0.386315,0,0,0,0,0,0,0,0,0,0,0
0.387902,0,0,0,0,0,0,0,0,0,0,0
0.389576,0,0,0,0,0,0,0,0,0,0,0
0.391229,0,0,0,0,0,0,0,0,0,0,0
0.392814,0,0,0,0,0,0,0,0,0,0,0
0.394407,0,0,0,0,0,0,0,0,0,0,0
0.395896,0,0,0,0,0,0,0,0,0,0,0
0.397334,0,0,0,0,0,0,0,0,0,0,0
0.398838,0,0,0,0,0,0,0,0,0,0,0
0.400266,0,0,0,0,0,0,0,0,0,0,0
0.401683,0,0,0,0,0,0,0,0,0,0,0
0.403099,0,0,0,0,0,0,0,0,0,0,0
0.404553,0,0,0,0,0,0,0,0,0,0,0
0.405971,0,0,0,0,0,0,0,0,0,0,0
0.407387,0,0,0,0,0,0,0,0,0,0,0
0.408801,0,0,0,0,0,0,0,0,0,0,0
0.410218,0,0,0,0,0,0,0,0,0,0,0
0.411645,0,0,0,0,0,0,0,0,0,0,0
0.413059,0,0,0,0,0,0,0,0,0,0,0
0.414475,0,0,0,0,0,0,0,0,0,0,0
0.415891,0,0,0,0,0,0,0,0,0,0,0
0.417306,0,0,0,0,0,0,0,0,0,0,0
0.418709,0,0,0,0,0,0,0,0,0,0,0
0.420125,0,0,0,0,0,0,0,0,0,0,0
0.421586,0,0,0,0,0,0,0,0,0,0,0
0.422965,0,0,0,0,0,0,0,0,0,0,0
0.424353,0,0,0,0,0,0,0,0,0,0,0
0.425740,0,0,0,0,0,0,0,0,0,0,0
0.427129,0,0,0,0,0,0,0,0,0,0,0
0.428516,0,0,0,0,0,0,0,0,0,0,0
0.429904,0,0,0,0,0,0,0,0,0,0,0
0.431292,0,0,0,0,0,0,0,0,0,0,0
0.432679,0,0,0,0,0,0,0,0,0,0,0
0.434075,0,0,0,0,0,0,0,0,0,0,0
0.435465,0,0,0,0,0,0,0,0,0,0,0
0.436893,0,0,0,0,0,0,0,0,0,0,0
0.438335,0,0,0,0,0,0,0,0,0,0,0
0.439666,0,0,0,0,0,0,0,0,0,0,0
0.441104,0,0,0,0,0,0,0,0,0,0,0
0.442434,0,0,0,0,0,0,0,0,0,0,0
0.443873,0,0,0,0,0,0,0,0,0,0,0
0.445207,0,0,0,0,0,0,0,0,0,0,0
0.446676,0,0,0,0,0,0,0,0,0,0,0
0.448113,0,0,0,0,0,0,0,0,0,0,0
0.449442,0,0,0,0,0,0,0,0,0,0,0
0.450786,0,0,0,0,0,0,0,0,0,0,0
0.452231,0,0,0,0,0,0,0,0,0,0,0
0.453539,0,0,0,0,0,0,0,0,0,0,0
0.454941,0,0,0,0,0,0,0,0,0,0,0
0.456335,0,0,0,0,0,0,0,0,0,0,0
0.457616,0,0,0,0,0,0,0,0,0,0,0
0.459006,0,0,0,0,0,0,0,0,0,0,0
0.460393,0,0,0,0,0,0,0,0,0,0,0
0.461780,0,0,0,0,0,0,0,0,0,0,0
