elapsed_s,VFD_ATTR_INFO_FIFO_FULL,VFD_DECODED_ATTRIBUTE_BYTES,VFD_NUM_ATTRIBUTES,VFD_UPPER_SHADER_FIBERS,VFD_LOWER_SHADER_FIBERS,VFD_MODE_0_FIBERS,VFD_MODE_1_FIBERS,VFD_MODE_2_FIBERS
0.912243,0,0,0,0,0,0,0,0
0.913813,0,0,0,0,0,0,0,0
0.915389,0,0,0,0,0,0,0,0
0.916959,0,0,0,0,0,0,0,0
0.918547,0,0,0,0,0,0,0,0
0.920118,0,0,0,0,0,0,0,0
0.921689,0,0,0,0,0,0,0,0
0.923224,0,0,0,0,0,0,0,0
0.924765,0,0,0,0,0,0,0,0
0.926339,0,0,0,0,0,0,0,0
0.927957,0,0,0,0,0,0,0,0
0.929541,0,0,0,0,0,0,0,0
0.931113,0,0,0,0,0,0,0,0
0.932684,0,0,0,0,0,0,0,0
0.934258,0,0,0,0,0,0,0,0
0.935830,0,0,0,0,0,0,0,0
0.937401,0,0,0,0,0,0,0,0
0.938972,0,0,0,0,0,0,0,0
0.940557,0,0,0,0,0,0,0,0
0.942131,0,0,0,0,0,0,0,0
0.943748,0,0,0,0,0,0,0,0
0.945318,0,0,0,0,0,0,0,0
0.946891,0,0,0,0,0,0,0,0
0.948463,0,0,0,0,0,0,0,0
0.950035,0,0,0,0,0,0,0,0
0.951622,0,0,0,0,0,0,0,0
0.953192,0,0,0,0,0,0,0,0
0.954767,0,0,0,0,0,0,0,0
0.956339,0,0,0,0,0,0,0,0
0.957910,0,0,0,0,0,0,0,0
0.959487,0,0,0,0,0,0,0,0
