elapsed_s,TSE_DET_WORKING_CYCLE_L1,TSE_BBOX_WORKING_CYCLE_L1,TSE_CULLING_WORKING_CYCLE_L1,TSE_SETUP_WORKING_CYCLE_L1
0.974781,0,0,0,0
0.976369,0,0,0,0
0.977962,0,0,0,0
0.979482,0,0,0,0
0.981030,0,0,0,0
0.982595,0,0,0,0
0.984146,0,0,0,0
0.985739,0,0,0,0
0.987362,0,0,0,0
0.988910,0,0,0,0
0.990462,0,0,0,0
0.992002,0,0,0,0
0.993555,0,0,0,0
0.995465,0,0,0,0
0.996960,0,0,0,0
0.998451,0,0,0,0
0.999844,0,0,0,0
1.001226,0,0,0,0
1.002737,0,0,0,0
1.006806,0,0,0,0
1.008277,0,0,0,0
1.009688,0,0,0,0
1.011060,0,0,0,0
1.012449,0,0,0,0
1.013836,0,0,0,0
1.015222,0,0,0,0
1.016617,0,0,0,0
1.018177,0,0,0,0
1.019598,0,0,0,0
1.020994,0,0,0,0
1.022389,0,0,0,0
1.023770,0,0,0,0
1.025150,0,0,0,0
1.026533,0,0,0,0
1.027987,0,0,0,0
1.029374,0,0,0,0
1.030762,0,0,0,0
1.032147,0,0,0,0
1.033569,0,0,0,0
1.034957,0,0,0,0
1.036343,0,0,0,0
1.037727,0,0,0,0
1.039130,0,0,0,0
1.040515,0,0,0,0
1.041902,0,0,0,0
1.043416,0,0,0,0
1.044965,0,0,0,0
1.046519,0,0,0,0
1.048070,0,0,0,0
1.049675,0,0,0,0
1.051230,0,0,0,0
1.052778,0,0,0,0
1.054331,0,0,0,0
1.055872,0,0,0,0
1.057413,0,0,0,0
1.058833,0,0,0,0
1.060362,0,0,0,0
1.061915,0,0,0,0
1.063463,0,0,0,0
1.065010,0,0,0,0
1.066563,0,0,0,0
1.068112,0,0,0,0
1.069657,0,0,0,0
1.071225,0,0,0,0
1.072772,0,0,0,0
1.074322,0,0,0,0
1.075869,0,0,0,0
1.077310,0,0,0,0
1.078873,0,0,0,0
1.080422,0,0,0,0
1.082028,0,0,0,0
1.083578,0,0,0,0
1.085125,0,0,0,0
1.086674,0,0,0,0
1.088223,0,0,0,0
1.089770,0,0,0,0
1.091482,0,0,0,0
1.092882,0,0,0,0
1.094400,0,0,0,0
1.095950,0,0,0,0
1.097496,0,0,0,0
1.099096,0,0,0,0
1.100640,0,0,0,0
1.102077,0,0,0,0
1.103616,0,0,0,0
1.105161,0,0,0,0
1.106710,0,0,0,0
1.108258,0,0,0,0
1.109807,0,0,0,0
1.111356,0,0,0,0
1.112904,0,0,0,0
1.114358,0,0,0,0
1.115788,0,0,0,0
1.117179,0,0,0,0
1.118567,0,0,0,0
1.119953,0,0,0,0
1.121338,0,0,0,0
1.122723,0,0,0,0
1.124215,0,0,0,0
1.125950,0,0,0,0
1.128897,0,0,0,0
1.130297,0,0,0,0
1.131684,0,0,0,0
1.133070,0,0,0,0
1.134450,0,0,0,0
1.135841,0,0,0,0
1.137236,0,0,0,0
1.138615,0,0,0,0
1.139995,0,0,0,0
1.141374,0,0,0,0
1.142753,0,0,0,0
1.144133,0,0,0,0
1.145547,0,0,0,0
1.147122,0,0,0,0
1.148669,0,0,0,0
1.150218,0,0,0,0
1.151766,0,0,0,0
1.153312,0,0,0,0
1.154858,0,0,0,0
1.156406,0,0,0,0
1.157967,0,0,0,0
1.159515,0,0,0,0
1.161061,0,0,0,0
1.162501,0,0,0,0
1.164084,0,0,0,0
1.165503,0,0,0,0
1.167084,0,0,0,0
1.168519,0,0,0,0
1.170042,0,0,0,0
1.171582,0,0,0,0
1.173120,0,0,0,0
1.174536,0,0,0,0
1.176057,0,0,0,0
1.177647,0,0,0,0
1.179215,0,0,0,0
1.180762,0,0,0,0
1.182311,0,0,0,0
1.183860,0,0,0,0
1.185407,0,0,0,0
1.186955,0,0,0,0
1.188505,0,0,0,0
1.190069,0,0,0,0
1.191609,0,0,0,0
1.193149,0,0,0,0
1.194567,0,0,0,0
1.196086,0,0,0,0
1.197645,0,0,0,0
1.199128,0,0,0,0
1.200657,0,0,0,0
1.202076,0,0,0,0
1.203596,0,0,0,0
1.205142,0,0,0,0
1.206690,0,0,0,0
1.208236,0,0,0,0
1.209827,0,0,0,0
1.211389,0,0,0,0
1.212937,0,0,0,0
1.214488,0,0,0,0
1.216038,0,0,0,0
1.217586,0,0,0,0
1.219140,0,0,0,0
1.220688,0,0,0,0
1.222128,0,0,0,0
1.223652,0,0,0,0
1.225201,0,0,0,0
1.226751,0,0,0,0
1.228300,0,0,0,0
1.229850,0,0,0,0
1.231391,0,0,0,0
1.232944,0,0,0,0
1.234362,0,0,0,0
1.235880,0,0,0,0
1.237426,0,0,0,0
1.238971,0,0,0,0
1.240519,0,0,0,0
1.242109,0,0,0,0
1.243671,0,0,0,0
1.245219,0,0,0,0
1.246766,0,0,0,0
1.248431,0,0,0,0
1.249981,0,0,0,0
1.251528,0,0,0,0
1.253075,0,0,0,0
1.254635,0,0,0,0
1.256184,0,0,0,0
1.257773,0,0,0,0
1.259373,0,0,0,0
1.260919,0,0,0,0
1.262467,0,0,0,0
1.264015,0,0,0,0
1.265575,0,0,0,0
1.267127,0,0,0,0
1.268672,0,0,0,0
1.270223,0,0,0,0
1.271771,0,0,0,0
1.273317,0,0,0,0
1.274909,0,0,0,0
1.276470,0,0,0,0
